dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,paq2piq,False,5,0.0561256408691406,51.502689361572266
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,paq2piq,False,1,0.0053513050079345,66.92859649658203
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,paq2piq,False,3,0.0046100616455078,60.673641204833984
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,paq2piq,False,7,0.0036849975585937,51.85380554199219
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,paq2piq,False,7,0.0036735534667968,51.101524353027344
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,paq2piq,False,1,0.0038139820098876,69.56759643554688
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,paq2piq,False,10,0.003627061843872,46.77479934692383
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,paq2piq,False,5,0.0036053657531738,50.88825225830078
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,paq2piq,False,3,0.0037078857421875,64.25724792480469
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,paq2piq,False,3,0.00368332862854,61.88005828857422
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,paq2piq,False,7,0.0036048889160156,51.95669174194336
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,paq2piq,False,10,0.0036051273345947,48.24848556518555
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,paq2piq,False,5,0.0037140846252441,49.71271133422852
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,paq2piq,False,1,0.003807783126831,69.94676208496094
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,paq2piq,False,7,0.0036263465881347,50.19449615478516
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,paq2piq,False,10,0.0036344528198242,45.65834045410156
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,paq2piq,False,15,0.0036673545837402,48.700340270996094
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,paq2piq,False,10,0.0035939216613769,46.10004425048828
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,paq2piq,False,1,0.003770112991333,67.97306060791016
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,paq2piq,False,7,0.0035910606384277,47.931636810302734
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,paq2piq,False,15,0.0037534236907958,72.77385711669922
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,paq2piq,False,7,0.0037031173706054,51.94795227050781
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,paq2piq,False,5,0.0036218166351318,49.152618408203125
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,paq2piq,False,0,0.0038270950317382,63.15254592895508
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,paq2piq,False,7,0.0036516189575195,49.6320686340332
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,paq2piq,False,10,0.0036618709564208,52.95414733886719
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,paq2piq,False,5,0.0036590099334716,55.02608871459961
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244,paq2piq,False,1,0.0038409233093261,68.34984588623047
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229,paq2piq,False,7,0.0036361217498779,52.89868927001953
deblurred_erco,0035_lp_dnn_10_keyboard_10_n03085013_7573,paq2piq,False,10,0.0036752223968505,49.33588790893555
deblurred_erco,0036_lp_dnn_3_keyboard_10_n03085013_24578,paq2piq,False,3,0.003678560256958,59.0771713256836
deblurred_erco,0037_lp_dnn_15_truck_10_n03417042_1336,paq2piq,False,15,0.003676414489746,44.38066101074219
deblurred_erco,0038_lp_dnn_3_knife_10_n03041632_7495,paq2piq,False,3,0.0036959648132324,57.67240905761719
deblurred_erco,0039_lp_dnn_0_car_10_n03100240_9625,paq2piq,False,0,0.0037577152252197,72.32361602783203
deblurred_erco,0040_lp_dnn_10_elephant_10_n02504458_6107,paq2piq,False,10,0.003648042678833,46.90201568603516
deblurred_erco,0041_lp_dnn_0_bicycle_10_n03792782_33649,paq2piq,False,0,0.003871202468872,66.09882354736328
deblurred_erco,0042_lp_dnn_1_clock_10_n03196217_8282,paq2piq,False,1,0.0037665367126464,72.21488189697266
deblurred_erco,0043_lp_dnn_7_keyboard_10_n03085013_21534,paq2piq,False,7,0.003610610961914,51.39869689941406
deblurred_erco,0044_lp_dnn_15_elephant_10_n02504013_22813,paq2piq,False,15,0.0035700798034667,42.73969268798828
deblurred_erco,0045_lp_dnn_10_truck_10_n03796401_16425,paq2piq,False,10,0.0036690235137939,50.31349563598633
deblurred_erco,0046_lp_dnn_15_airplane_10_n02690373_9427,paq2piq,False,15,0.0037708282470703,54.40331268310547
deblurred_erco,0047_lp_dnn_7_bird_10_n02009912_11907,paq2piq,False,7,0.0036969184875488,58.896522521972656
deblurred_erco,0048_lp_dnn_1_airplane_10_n02690373_5773,paq2piq,False,1,0.0037200450897216,72.10801696777344
deblurred_erco,0050_lp_dnn_1_bird_10_n01819313_18188,paq2piq,False,1,0.0038909912109375,69.48076629638672
deblurred_erco,0051_lp_dnn_5_car_10_n04285008_7428,paq2piq,False,5,0.0036478042602539,54.725624084472656
deblurred_erco,0052_lp_dnn_7_bottle_10_n04591713_6923,paq2piq,False,7,0.0036375522613525,48.64703369140625
deblurred_erco,0053_lp_dnn_0_knife_10_n03041632_22570,paq2piq,False,0,0.0038087368011474,71.39668273925781
deblurred_erco,0054_lp_dnn_0_bear_10_n02132136_7586,paq2piq,False,0,0.003962755203247,71.3050537109375
deblurred_erco,0055_lp_dnn_5_clock_10_n04548280_9144,paq2piq,False,5,0.0037028789520263,63.17732238769531
deblurred_erco,0056_lp_dnn_0_bottle_10_n04591713_2680,paq2piq,False,0,0.0038638114929199,72.06617736816406
deblurred_erco,0057_lp_dnn_3_cat_10_n02123045_1596,paq2piq,False,3,0.0036840438842773,63.90245819091797
