dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,pi,True,5,1.6499724388122559,6.746870448158639
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,pi,True,1,1.6236257553100586,3.2180323073410655
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,pi,True,3,1.6359467506408691,5.756477096333308
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,pi,True,7,1.6270906925201416,8.942760428635843
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,pi,True,7,1.6258649826049805,9.600127820410178
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,pi,True,1,1.6413459777832031,2.638094345132502
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,pi,True,10,1.6114649772644043,9.51625036504437
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,pi,True,5,1.6480612754821777,7.044387964725434
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,pi,True,3,1.618074655532837,5.843874125433226
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,pi,True,3,1.6533312797546387,5.895582784564047
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,pi,True,7,1.6258227825164795,9.657109430136861
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,pi,True,10,1.6108760833740234,10.225260500014933
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,pi,True,5,1.6413500308990479,7.0688350183013124
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,pi,True,1,1.6488440036773682,2.8088715220082996
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,pi,True,7,1.639927625656128,7.841684871141506
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,pi,True,10,1.6290290355682373,8.530895453441417
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,pi,True,15,1.6304357051849365,10.122749384263116
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,pi,True,10,1.6357922554016113,8.768081573104386
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,pi,True,1,1.638152837753296,3.1171048592438773
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,pi,True,7,1.643918752670288,8.706750332935616
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,pi,True,15,1.624697208404541,3.9855335847505096
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,pi,True,7,1.6389615535736084,5.896237001147682
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,pi,True,5,1.6373083591461182,8.350581021953342
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,pi,True,0,1.618859052658081,3.269334579704567
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,pi,True,7,1.6449463367462158,7.846123218495219
