dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253.png,sseq,True,5,0.040412,51.5305600087783
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320.png,sseq,True,1,0.041156,26.5376280387036
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652.png,sseq,True,3,0.044678,44.2774651175412
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578.png,sseq,True,7,0.04205,56.3266567586303
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842.png,sseq,True,7,0.040482,56.9392873987694
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14.png,sseq,True,1,0.050901,23.9347661160306
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920.png,sseq,True,10,0.044935,54.7709066441187
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952.png,sseq,True,5,0.041062,52.8623960395034
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441.png,sseq,True,3,0.041139,42.8884296047605
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792.png,sseq,True,3,0.040279,44.3601922998214
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458.png,sseq,True,7,0.041925,59.6181633276941
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176.png,sseq,True,10,0.046029,58.1041089197343
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580.png,sseq,True,5,0.041386,51.6770950757968
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900.png,sseq,True,1,0.051536,12.9582533031617
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384.png,sseq,True,7,0.043571,49.4630755187065
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618.png,sseq,True,10,0.040819,41.4214588592036
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463.png,sseq,True,15,0.039926,25.7979376474044
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459.png,sseq,True,10,0.040482,52.6347693655691
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206.png,sseq,True,1,0.039746,31.1896246424672
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633.png,sseq,True,7,0.039233,55.1110106362973
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416.png,sseq,True,15,0.039183,26.5242993541693
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503.png,sseq,True,7,0.039259,51.6232013714633
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797.png,sseq,True,5,0.038743,53.5148055973048
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237.png,sseq,True,0,0.039114,23.2559082629796
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587.png,sseq,True,7,0.038789,55.8480600318806
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238.png,sseq,True,10,0.039378,60.444969759631
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332.png,sseq,True,5,0.039755,56.5440081944629
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244.png,sseq,True,1,0.039466,30.4733775761447
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229.png,sseq,True,7,0.039219,55.1626710709097
deblurred_erco,0035_lp_dnn_10_keyboard_10_n03085013_7573.png,sseq,True,10,0.038844,52.7816171131686
deblurred_erco,0036_lp_dnn_3_keyboard_10_n03085013_24578.png,sseq,True,3,0.039032,45.1653664105286
deblurred_erco,0037_lp_dnn_15_truck_10_n03417042_1336.png,sseq,True,15,0.039362,59.0384367223428
deblurred_erco,0038_lp_dnn_3_knife_10_n03041632_7495.png,sseq,True,3,0.038955,42.7481708967663
deblurred_erco,0039_lp_dnn_0_car_10_n03100240_9625.png,sseq,True,0,0.038928,31.5239678034087
deblurred_erco,0040_lp_dnn_10_elephant_10_n02504458_6107.png,sseq,True,10,0.038607,54.6356990166256
deblurred_erco,0041_lp_dnn_0_bicycle_10_n03792782_33649.png,sseq,True,0,0.039479,28.4191913970624
deblurred_erco,0042_lp_dnn_1_clock_10_n03196217_8282.png,sseq,True,1,0.038742,23.6777185443836
deblurred_erco,0043_lp_dnn_7_keyboard_10_n03085013_21534.png,sseq,True,7,0.038754,49.156905039505
deblurred_erco,0044_lp_dnn_15_elephant_10_n02504013_22813.png,sseq,True,15,0.038576,55.4293067280498
deblurred_erco,0045_lp_dnn_10_truck_10_n03796401_16425.png,sseq,True,10,0.038689,55.9028201593823
deblurred_erco,0046_lp_dnn_15_airplane_10_n02690373_9427.png,sseq,True,15,0.03896,42.3411490353253
deblurred_erco,0047_lp_dnn_7_bird_10_n02009912_11907.png,sseq,True,7,0.039643,39.6572570531784
deblurred_erco,0048_lp_dnn_1_airplane_10_n02690373_5773.png,sseq,True,1,0.038966,31.8600508566244
deblurred_erco,0050_lp_dnn_1_bird_10_n01819313_18188.png,sseq,True,1,0.039003,28.4918078136711
deblurred_erco,0051_lp_dnn_5_car_10_n04285008_7428.png,sseq,True,5,0.038732,48.7990132163634
deblurred_erco,0052_lp_dnn_7_bottle_10_n04591713_6923.png,sseq,True,7,0.038663,51.8971948640714
deblurred_erco,0053_lp_dnn_0_knife_10_n03041632_22570.png,sseq,True,0,0.038941,25.6873887973177
deblurred_erco,0054_lp_dnn_0_bear_10_n02132136_7586.png,sseq,True,0,0.039474,3.68454141309619
deblurred_erco,0055_lp_dnn_5_clock_10_n04548280_9144.png,sseq,True,5,0.038881,51.1984951140809
deblurred_erco,0056_lp_dnn_0_bottle_10_n04591713_2680.png,sseq,True,0,0.039376,28.0212207937231
deblurred_erco,0057_lp_dnn_3_cat_10_n02123045_1596.png,sseq,True,3,0.038941,41.0459574546005
deblurred_erco,0058_lp_dnn_10_cat_10_n02123597_19450.png,sseq,True,10,0.039108,51.3764894457975
deblurred_erco,0059_lp_dnn_15_chair_10_n03376595_3462.png,sseq,True,15,0.040271,54.9615434694645
deblurred_erco,0060_lp_dnn_3_bottle_10_n04591713_3683.png,sseq,True,3,0.039591,40.1776989412332
deblurred_erco,0061_lp_dnn_7_clock_10_n03196217_4309.png,sseq,True,7,0.038698,49.7915959515271
