dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_nr-flive,False,5,0.014115333557128906,0.6740036606788635
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_nr-flive,False,1,0.013370037078857422,0.6924089789390564
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_nr-flive,False,3,0.01314234733581543,0.6760502457618713
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_nr-flive,False,7,0.013040304183959961,0.7039369940757751
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_nr-flive,False,7,0.0130462646484375,0.6909552812576294
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,topiq_nr-flive,False,1,0.01320338249206543,0.6862422823905945
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_nr-flive,False,10,0.012990713119506836,0.6619837880134583
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,topiq_nr-flive,False,5,0.013049602508544922,0.6414275765419006
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_nr-flive,False,3,0.013093709945678711,0.6888505220413208
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_nr-flive,False,3,0.013085603713989258,0.678297758102417
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_nr-flive,False,7,0.012995243072509766,0.7071167826652527
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_nr-flive,False,10,0.012952804565429688,0.6560116410255432
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_nr-flive,False,5,0.012999296188354492,0.6908312439918518
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_nr-flive,False,1,0.013162612915039062,0.7192662954330444
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_nr-flive,False,7,0.01300501823425293,0.6899428963661194
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_nr-flive,False,10,0.013080835342407227,0.6257503628730774
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_nr-flive,False,15,0.013073921203613281,0.5813503265380859
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_nr-flive,False,10,0.012878656387329102,0.630381166934967
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_nr-flive,False,1,0.013102531433105469,0.7006632685661316
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_nr-flive,False,7,0.012927055358886719,0.661843478679657
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_nr-flive,False,15,0.01307368278503418,0.6714134216308594
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,topiq_nr-flive,False,7,0.013054847717285156,0.6291542649269104
