dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_nr,False,5,0.2078495025634765,0.097534604370594
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_nr,False,1,0.0141224861145019,0.5433942079544067
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_nr,False,3,0.0133850574493408,0.2758770287036896
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_nr,False,7,0.0131444931030273,0.2116927802562713
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_nr,False,7,0.013155460357666,0.0942757278680801
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,topiq_nr,False,1,0.0132927894592285,0.5420141220092773
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_nr,False,10,0.0137469768524169,0.040768951177597
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,topiq_nr,False,5,0.01426362991333,0.1240030899643898
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_nr,False,3,0.013723611831665,0.2960765063762665
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_nr,False,3,0.0133020877838134,0.2533299028873443
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_nr,False,7,0.0131187438964843,0.1998926997184753
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_nr,False,10,0.0130975246429443,0.0843227356672287
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_nr,False,5,0.013136863708496,0.0856741592288017
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_nr,False,1,0.0132293701171875,0.5208067893981934
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_nr,False,7,0.0130825042724609,0.1219956949353218
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_nr,False,10,0.013150930404663,0.0694708675146102
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_nr,False,15,0.0132715702056884,0.0803231075406074
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_nr,False,10,0.0130538940429687,0.0335815101861953
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_nr,False,1,0.0132064819335937,0.3966193199157715
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_nr,False,7,0.0130689144134521,0.0390522554516792
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_nr,False,15,0.013230562210083,0.5752968192100525
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,topiq_nr,False,7,0.0131287574768066,0.1446675658226013
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_nr,False,5,0.0130510330200195,0.0601588636636734
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_nr,False,0,0.0134022235870361,0.4595612585544586
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,topiq_nr,False,7,0.0132226943969726,0.035384677350521
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_nr,False,10,0.0132429599761962,0.1216702982783317
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_nr,False,5,0.0131821632385253,0.1234331801533699
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_nr,False,1,0.0132548809051513,0.4333745539188385
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229,topiq_nr,False,7,0.0130805969238281,0.111847199499607
