dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,tres-flive,False,5,0.2829830646514892,79.97638702392578
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,tres-flive,False,1,0.2818686962127685,78.38078308105469
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,tres-flive,False,3,0.283893346786499,75.61969757080078
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,tres-flive,False,7,0.284449815750122,80.6467056274414
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,tres-flive,False,7,0.2831664085388183,78.50496673583984
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,tres-flive,False,1,0.2841041088104248,80.31218719482422
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,tres-flive,False,10,0.281895637512207,79.74767303466797
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,tres-flive,False,5,0.2829456329345703,78.51439666748047
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,tres-flive,False,3,0.2843928337097168,78.38836669921875
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,tres-flive,False,3,0.2861287593841553,75.70317077636719
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,tres-flive,False,7,0.2838332653045654,85.91146087646484
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,tres-flive,False,10,0.2828245162963867,83.11298370361328
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,tres-flive,False,5,0.2849464416503906,75.79583740234375
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,tres-flive,False,1,0.2859878540039062,79.90372467041016
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,tres-flive,False,7,0.2830595970153808,75.68639373779297
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,tres-flive,False,10,0.2839610576629638,77.31591796875
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,tres-flive,False,15,0.2834336757659912,75.326416015625
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,tres-flive,False,10,0.2849953174591064,82.06673431396484
