subj,object_response,category,condition,imagename
squeezenet1_0,oven,truck,5,0003_lp_dnn_5_truck_10_n04467665_34253.png
squeezenet1_0,clock,clock,1,0004_lp_dnn_1_clock_10_n04548280_5320.png
squeezenet1_0,dog,dog,3,0005_lp_dnn_3_dog_10_n02108915_3652.png
squeezenet1_0,keyboard,keyboard,7,0006_lp_dnn_7_keyboard_10_n04505470_578.png
squeezenet1_0,keyboard,cat,7,0007_lp_dnn_7_cat_10_n02123597_3842.png
squeezenet1_0,bear,bear,1,0008_lp_dnn_1_bear_10_n02134418_14.png
squeezenet1_0,bottle,knife,10,0009_lp_dnn_10_knife_10_n03041632_29920.png
squeezenet1_0,oven,bird,5,0010_lp_dnn_5_bird_10_n01795545_952.png
squeezenet1_0,bear,bear,3,0011_lp_dnn_3_bear_10_n02132136_6441.png
squeezenet1_0,bear,bird,3,0012_lp_dnn_3_bird_10_n01829413_8792.png
squeezenet1_0,keyboard,keyboard,7,0013_lp_dnn_7_keyboard_10_n04505470_4458.png
squeezenet1_0,keyboard,chair,10,0014_lp_dnn_10_chair_10_n03376595_9176.png
squeezenet1_0,oven,oven,5,0017_lp_dnn_5_oven_10_n04111531_1580.png
squeezenet1_0,elephant,elephant,1,0018_lp_dnn_1_elephant_10_n02504458_900.png
squeezenet1_0,knife,dog,7,0019_lp_dnn_7_dog_10_n02106662_2384.png
squeezenet1_0,clock,truck,10,0020_lp_dnn_10_truck_10_n03796401_22618.png
squeezenet1_0,knife,elephant,15,0021_lp_dnn_15_elephant_10_n02504013_5463.png
squeezenet1_0,oven,chair,10,0022_lp_dnn_10_chair_10_n04429376_16459.png
squeezenet1_0,cat,cat,1,0023_lp_dnn_1_cat_10_n02123045_12206.png
squeezenet1_0,oven,truck,7,0024_lp_dnn_7_truck_10_n03417042_2633.png
squeezenet1_0,knife,keyboard,15,0025_lp_dnn_15_keyboard_10_n03085013_24416.png
squeezenet1_0,clock,car,7,0026_lp_dnn_7_car_10_n02814533_44503.png
squeezenet1_0,bear,elephant,5,0027_lp_dnn_5_elephant_10_n02504458_5797.png
squeezenet1_0,chair,chair,0,0028_lp_dnn_0_chair_10_n04429376_8237.png
squeezenet1_0,keyboard,cat,7,0029_lp_dnn_7_cat_10_n02123159_587.png
squeezenet1_0,knife,bird,10,0030_lp_dnn_10_bird_10_n02028035_17238.png
squeezenet1_0,boat,boat,5,0032_lp_dnn_5_boat_10_n04273569_22332.png
squeezenet1_0,elephant,elephant,1,0033_lp_dnn_1_elephant_10_n02504013_1244.png
squeezenet1_0,clock,bicycle,7,0034_lp_dnn_7_bicycle_10_n03792782_30229.png
squeezenet1_0,keyboard,keyboard,10,0035_lp_dnn_10_keyboard_10_n03085013_7573.png
squeezenet1_0,keyboard,keyboard,3,0036_lp_dnn_3_keyboard_10_n03085013_24578.png
squeezenet1_0,keyboard,truck,15,0037_lp_dnn_15_truck_10_n03417042_1336.png
squeezenet1_0,keyboard,knife,3,0038_lp_dnn_3_knife_10_n03041632_7495.png
squeezenet1_0,car,car,0,0039_lp_dnn_0_car_10_n03100240_9625.png
squeezenet1_0,knife,elephant,10,0040_lp_dnn_10_elephant_10_n02504458_6107.png
squeezenet1_0,bicycle,bicycle,0,0041_lp_dnn_0_bicycle_10_n03792782_33649.png
squeezenet1_0,clock,clock,1,0042_lp_dnn_1_clock_10_n03196217_8282.png
squeezenet1_0,keyboard,keyboard,7,0043_lp_dnn_7_keyboard_10_n03085013_21534.png
squeezenet1_0,knife,elephant,15,0044_lp_dnn_15_elephant_10_n02504013_22813.png
squeezenet1_0,keyboard,truck,10,0045_lp_dnn_10_truck_10_n03796401_16425.png
squeezenet1_0,knife,airplane,15,0046_lp_dnn_15_airplane_10_n02690373_9427.png
squeezenet1_0,keyboard,bird,7,0047_lp_dnn_7_bird_10_n02009912_11907.png
squeezenet1_0,airplane,airplane,1,0048_lp_dnn_1_airplane_10_n02690373_5773.png
squeezenet1_0,bird,bird,1,0050_lp_dnn_1_bird_10_n01819313_18188.png
squeezenet1_0,keyboard,car,5,0051_lp_dnn_5_car_10_n04285008_7428.png
squeezenet1_0,oven,bottle,7,0052_lp_dnn_7_bottle_10_n04591713_6923.png
squeezenet1_0,chair,knife,0,0053_lp_dnn_0_knife_10_n03041632_22570.png
squeezenet1_0,dog,bear,0,0054_lp_dnn_0_bear_10_n02132136_7586.png
squeezenet1_0,oven,clock,5,0055_lp_dnn_5_clock_10_n04548280_9144.png
squeezenet1_0,chair,bottle,0,0056_lp_dnn_0_bottle_10_n04591713_2680.png
squeezenet1_0,knife,cat,3,0057_lp_dnn_3_cat_10_n02123045_1596.png
squeezenet1_0,keyboard,cat,10,0058_lp_dnn_10_cat_10_n02123597_19450.png
squeezenet1_0,knife,chair,15,0059_lp_dnn_15_chair_10_n03376595_3462.png
squeezenet1_0,keyboard,bottle,3,0060_lp_dnn_3_bottle_10_n04591713_3683.png
squeezenet1_0,clock,clock,7,0061_lp_dnn_7_clock_10_n03196217_4309.png
squeezenet1_0,knife,bear,15,0062_lp_dnn_15_bear_10_n02134084_4923.png
squeezenet1_0,chair,chair,1,0063_lp_dnn_1_chair_10_n04429376_5238.png
squeezenet1_0,clock,clock,0,0064_lp_dnn_0_clock_10_n03196217_2414.png
squeezenet1_0,bird,bird,3,0065_lp_dnn_3_bird_10_n01797886_2711.png
squeezenet1_0,knife,truck,15,0066_lp_dnn_15_truck_10_n04467665_68463.png
squeezenet1_0,truck,truck,0,0067_lp_dnn_0_truck_10_n03417042_10099.png
squeezenet1_0,knife,bear,10,0068_lp_dnn_10_bear_10_n02134418_3793.png
squeezenet1_0,keyboard,bottle,10,0069_lp_dnn_10_bottle_10_n03937543_9524.png
squeezenet1_0,dog,cat,3,0070_lp_dnn_3_cat_10_n02123394_1038.png
squeezenet1_0,keyboard,dog,5,0071_lp_dnn_5_dog_10_n02110185_7886.png
squeezenet1_0,clock,clock,3,0072_lp_dnn_3_clock_10_n02708093_4912.png
squeezenet1_0,keyboard,dog,15,0073_lp_dnn_15_dog_10_n02108422_932.png
squeezenet1_0,truck,truck,0,0074_lp_dnn_0_truck_10_n04467665_18621.png
squeezenet1_0,truck,truck,1,0075_lp_dnn_1_truck_10_n04467665_50932.png
squeezenet1_0,dog,dog,1,0076_lp_dnn_1_dog_10_n02102480_7293.png
squeezenet1_0,bottle,bottle,1,0077_lp_dnn_1_bottle_10_n04591713_4764.png
squeezenet1_0,knife,clock,15,0078_lp_dnn_15_clock_10_n02708093_274.png
squeezenet1_0,keyboard,bottle,5,0079_lp_dnn_5_bottle_10_n04557648_29772.png
squeezenet1_0,knife,car,15,0080_lp_dnn_15_car_10_n03100240_22499.png
squeezenet1_0,clock,clock,3,0081_lp_dnn_3_clock_10_n02708093_6252.png
squeezenet1_0,knife,airplane,10,0082_lp_dnn_10_airplane_10_n02690373_5427.png
squeezenet1_0,keyboard,dog,15,0083_lp_dnn_15_dog_10_n02107142_46045.png
squeezenet1_0,clock,bicycle,3,0085_lp_dnn_3_bicycle_10_n03792782_12421.png
squeezenet1_0,airplane,airplane,0,0086_lp_dnn_0_airplane_10_n02690373_1310.png
squeezenet1_0,clock,oven,15,0087_lp_dnn_15_oven_10_n04111531_8793.png
squeezenet1_0,airplane,airplane,5,0088_lp_dnn_5_airplane_10_n02690373_633.png
squeezenet1_0,knife,clock,5,0089_lp_dnn_5_clock_10_n02708093_2307.png
squeezenet1_0,knife,oven,10,0090_lp_dnn_10_oven_10_n04111531_13795.png
squeezenet1_0,truck,boat,3,0091_lp_dnn_3_boat_10_n03662601_1427.png
squeezenet1_0,keyboard,boat,5,0092_lp_dnn_5_boat_10_n04612504_15944.png
squeezenet1_0,oven,elephant,7,0094_lp_dnn_7_elephant_10_n02504458_1848.png
squeezenet1_0,oven,oven,5,0095_lp_dnn_5_oven_10_n04111531_4155.png
squeezenet1_0,car,car,0,0096_lp_dnn_0_car_10_n03100240_8327.png
squeezenet1_0,chair,chair,0,0097_lp_dnn_0_chair_10_n04429376_24319.png
squeezenet1_0,chair,chair,3,0098_lp_dnn_3_chair_10_n03376595_5112.png
squeezenet1_0,cat,cat,1,0099_lp_dnn_1_cat_10_n02124075_2268.png
squeezenet1_0,boat,boat,3,0100_lp_dnn_3_boat_10_n04273569_1137.png
squeezenet1_0,chair,chair,1,0101_lp_dnn_1_chair_10_n02791124_15383.png
squeezenet1_0,knife,clock,15,0102_lp_dnn_15_clock_10_n04548280_8998.png
squeezenet1_0,dog,dog,0,0103_lp_dnn_0_dog_10_n02097047_2800.png
squeezenet1_0,keyboard,bicycle,15,0104_lp_dnn_15_bicycle_10_n03792782_18294.png
squeezenet1_0,elephant,elephant,0,0105_lp_dnn_0_elephant_10_n02504013_24486.png
squeezenet1_0,keyboard,airplane,7,0106_lp_dnn_7_airplane_10_n02690373_2923.png
squeezenet1_0,airplane,airplane,3,0107_lp_dnn_3_airplane_10_n02690373_15392.png
squeezenet1_0,oven,oven,5,0108_lp_dnn_5_oven_10_n04111531_6080.png
squeezenet1_0,knife,bear,15,0109_lp_dnn_15_bear_10_n02134084_22736.png
squeezenet1_0,knife,knife,1,0110_lp_dnn_1_knife_10_n03041632_33326.png
squeezenet1_0,keyboard,bicycle,7,0113_lp_dnn_7_bicycle_10_n03792782_5416.png
squeezenet1_0,keyboard,knife,7,0114_lp_dnn_7_knife_10_n03041632_25772.png
squeezenet1_0,keyboard,bicycle,10,0115_lp_dnn_10_bicycle_10_n03792782_7108.png
squeezenet1_0,chair,chair,0,0116_lp_dnn_0_chair_10_n03376595_1981.png
squeezenet1_0,oven,oven,15,0117_lp_dnn_15_oven_10_n04111531_6508.png
squeezenet1_0,keyboard,bird,15,0118_lp_dnn_15_bird_10_n01843383_2843.png
squeezenet1_0,keyboard,cat,5,0119_lp_dnn_5_cat_10_n02123597_5887.png
squeezenet1_0,bird,bird,1,0121_lp_dnn_1_bird_10_n01530575_10332.png
squeezenet1_0,keyboard,elephant,15,0122_lp_dnn_15_elephant_10_n02504013_5887.png
squeezenet1_0,keyboard,cat,3,0123_lp_dnn_3_cat_10_n02124075_8693.png
squeezenet1_0,oven,boat,15,0124_lp_dnn_15_boat_10_n04612504_26151.png
squeezenet1_0,oven,cat,7,0125_lp_dnn_7_cat_10_n02125311_53412.png
squeezenet1_0,oven,knife,7,0126_lp_dnn_7_knife_10_n03041632_46914.png
squeezenet1_0,knife,bicycle,15,0127_lp_dnn_15_bicycle_10_n03792782_5629.png
squeezenet1_0,dog,dog,3,0129_lp_dnn_3_dog_10_n02101006_5024.png
squeezenet1_0,knife,oven,15,0130_lp_dnn_15_oven_10_n04111531_2350.png
squeezenet1_0,knife,airplane,7,0131_lp_dnn_7_airplane_10_n02690373_4839.png
squeezenet1_0,oven,car,5,0132_lp_dnn_5_car_10_n03100240_2075.png
squeezenet1_0,oven,cat,5,0133_lp_dnn_5_cat_10_n02123159_3729.png
squeezenet1_0,oven,knife,10,0134_lp_dnn_10_knife_10_n03041632_3079.png
squeezenet1_0,keyboard,elephant,15,0135_lp_dnn_15_elephant_10_n02504013_2052.png
squeezenet1_0,oven,keyboard,15,0137_lp_dnn_15_keyboard_10_n03085013_7955.png
squeezenet1_0,keyboard,cat,10,0139_lp_dnn_10_cat_10_n02125311_44401.png
squeezenet1_0,knife,airplane,10,0140_lp_dnn_10_airplane_10_n02690373_10657.png
squeezenet1_0,bottle,bird,5,0141_lp_dnn_5_bird_10_n02025239_7919.png
squeezenet1_0,keyboard,keyboard,5,0144_lp_dnn_5_keyboard_10_n04505470_4371.png
squeezenet1_0,keyboard,keyboard,0,0145_lp_dnn_0_keyboard_10_n03085013_14237.png
squeezenet1_0,keyboard,clock,0,0146_lp_dnn_0_clock_10_n03196217_6163.png
squeezenet1_0,knife,chair,15,0147_lp_dnn_15_chair_10_n02791124_3857.png
squeezenet1_0,truck,truck,0,0149_lp_dnn_0_truck_10_n04467665_17101.png
squeezenet1_0,chair,chair,1,0150_lp_dnn_1_chair_10_n04429376_19354.png
squeezenet1_0,knife,knife,0,0151_lp_dnn_0_knife_10_n03041632_42156.png
squeezenet1_0,car,car,1,0152_lp_dnn_1_car_10_n04285008_39.png
squeezenet1_0,boat,boat,1,0153_lp_dnn_1_boat_10_n03662601_1319.png
squeezenet1_0,oven,truck,7,0154_lp_dnn_7_truck_10_n03796401_4119.png
squeezenet1_0,bottle,bottle,15,0155_lp_dnn_15_bottle_10_n03937543_2333.png
squeezenet1_0,knife,bottle,3,0156_lp_dnn_3_bottle_10_n04591713_7134.png
squeezenet1_0,dog,dog,0,0157_lp_dnn_0_dog_10_n02107312_3673.png
squeezenet1_0,oven,oven,3,0158_lp_dnn_3_oven_10_n04111531_8373.png
squeezenet1_0,oven,car,3,0159_lp_dnn_3_car_10_n03100240_13707.png
squeezenet1_0,chair,chair,1,0160_lp_dnn_1_chair_10_n02791124_241.png
squeezenet1_0,oven,airplane,7,0161_lp_dnn_7_airplane_10_n02690373_5628.png
squeezenet1_0,keyboard,keyboard,7,0163_lp_dnn_7_keyboard_10_n04505470_4501.png
squeezenet1_0,bird,bird,1,0164_lp_dnn_1_bird_10_n02033041_11415.png
squeezenet1_0,bottle,knife,1,0165_lp_dnn_1_knife_10_n03041632_6446.png
squeezenet1_0,bird,bird,0,0166_lp_dnn_0_bird_10_n02011460_3892.png
squeezenet1_0,cat,cat,1,0167_lp_dnn_1_cat_10_n02125311_3174.png
squeezenet1_0,oven,dog,10,0168_lp_dnn_10_dog_10_n02088364_7448.png
squeezenet1_0,cat,cat,1,0169_lp_dnn_1_cat_10_n02123394_4299.png
squeezenet1_0,knife,keyboard,15,0170_lp_dnn_15_keyboard_10_n03085013_23731.png
squeezenet1_0,keyboard,knife,5,0171_lp_dnn_5_knife_10_n03041632_29285.png
squeezenet1_0,keyboard,keyboard,0,0172_lp_dnn_0_keyboard_10_n03085013_12164.png
squeezenet1_0,keyboard,bird,5,0173_lp_dnn_5_bird_10_n01582220_9023.png
squeezenet1_0,clock,bottle,3,0174_lp_dnn_3_bottle_10_n03983396_12728.png
squeezenet1_0,bear,dog,7,0175_lp_dnn_7_dog_10_n02111277_50807.png
squeezenet1_0,oven,boat,5,0176_lp_dnn_5_boat_10_n04273569_2037.png
squeezenet1_0,knife,boat,10,0178_lp_dnn_10_boat_10_n03662601_12034.png
squeezenet1_0,knife,airplane,15,0179_lp_dnn_15_airplane_10_n02690373_5845.png
squeezenet1_0,keyboard,truck,5,0180_lp_dnn_5_truck_10_n03417042_12128.png
squeezenet1_0,clock,keyboard,10,0181_lp_dnn_10_keyboard_10_n03085013_2432.png
squeezenet1_0,chair,chair,5,0182_lp_dnn_5_chair_10_n03376595_9692.png
squeezenet1_0,keyboard,chair,3,0183_lp_dnn_3_chair_10_n03376595_12583.png
squeezenet1_0,bear,bear,0,0184_lp_dnn_0_bear_10_n02133161_2135.png
squeezenet1_0,oven,airplane,10,0185_lp_dnn_10_airplane_10_n02690373_5176.png
