dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,ahiq,False,5,0.5899753570556641,-0.0394689515233039
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,ahiq,False,1,0.598548412322998,0.5255886912345886
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,ahiq,False,3,0.5947978496551514,0.1822936683893203
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,ahiq,False,7,0.5954186916351318,-0.1149749532341957
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,ahiq,False,7,0.5913772583007812,-0.1164193376898765
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,ahiq,False,1,0.5972776412963867,0.4216639697551727
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,ahiq,False,10,0.5936338901519775,-0.2716379761695862
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,ahiq,False,5,0.5940685272216797,0.024284828454256
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,ahiq,False,3,0.5942678451538086,0.1857566684484481
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,ahiq,False,3,0.5951864719390869,0.1123148575425148
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,ahiq,False,7,0.5955138206481934,-0.1633480042219162
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,ahiq,False,10,0.5951597690582275,-0.2768183648586273
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,ahiq,False,5,0.5950608253479004,-0.0325289629399776
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,ahiq,False,1,0.5963587760925293,0.4913012981414795
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,ahiq,False,7,0.5962958335876465,-0.0086570745334029
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,ahiq,False,10,0.5954551696777344,-0.1137029454112052
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,ahiq,False,15,0.5950634479522705,-0.2850285470485687
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,ahiq,False,10,0.5965092182159424,-0.1699635535478592
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,ahiq,False,1,0.596052885055542,0.5177382826805115
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,ahiq,False,7,0.5970003604888916,-0.1876464784145355
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,ahiq,False,15,0.5959305763244629,-0.2488872110843658
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,ahiq,False,7,0.5970718860626221,-0.0334991030395031
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,ahiq,False,5,0.5958197116851807,-0.0462210141122341
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,ahiq,False,0,0.5980355739593506,0.5272744297981262
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,ahiq,False,7,0.5964810848236084,-0.1970154494047165
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,ahiq,False,10,0.5977489948272705,-0.1999711692333221
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,ahiq,False,5,0.5973048210144043,0.0300636421889066
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,ahiq,False,1,0.5987474918365479,0.5255643725395203
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,ahiq,False,7,0.5970792770385742,-0.2687121927738189
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,ahiq,False,10,0.5990087985992432,-0.2955825328826904
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,ahiq,False,3,0.5959227085113525,0.215814933180809
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,ahiq,False,15,0.5990896224975586,-0.3108371198177337
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,ahiq,False,3,0.5978388786315918,0.2547238767147064
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,ahiq,False,0,0.5986332893371582,0.549508810043335
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,ahiq,False,10,0.5974042415618896,-0.1921602934598922
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,ahiq,False,0,0.6001846790313721,0.5859786868095398
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,ahiq,False,1,0.5977602005004883,0.4670937061309814
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,ahiq,False,7,0.5990526676177979,-0.1792988926172256
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,ahiq,False,15,0.5986025333404541,-0.279565155506134
