dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,ckdn,False,5,0.0057151317596435,0.3303465247154236
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,ckdn,False,1,0.0054540634155273,0.517497181892395
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,ckdn,False,3,0.0053446292877197,0.4348500967025757
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,ckdn,False,7,0.0052940845489501,0.2663494944572449
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,ckdn,False,7,0.0052742958068847,0.2857205867767334
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,ckdn,False,1,0.005495548248291,0.4593373537063598
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,ckdn,False,10,0.0053343772888183,0.2393580675125122
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,ckdn,False,5,0.0051186084747314,0.324860006570816
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,ckdn,False,3,0.0052535533905029,0.3448237180709839
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,ckdn,False,3,0.0054190158843994,0.3411499261856079
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,ckdn,False,7,0.0051088333129882,0.2760994732379913
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,ckdn,False,10,0.0049579143524169,0.207306757569313
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,ckdn,False,5,0.0052685737609863,0.313677430152893
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,ckdn,False,1,0.005364179611206,0.5358385443687439
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,ckdn,False,7,0.0052874088287353,0.3061919212341308
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,ckdn,False,10,0.0051538944244384,0.3046086430549621
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,ckdn,False,15,0.0052399635314941,0.2197954058647155
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,ckdn,False,10,0.0052406787872314,0.2285288572311401
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,ckdn,False,1,0.0054383277893066,0.442330926656723
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,ckdn,False,7,0.0052917003631591,0.2871120274066925
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,ckdn,False,15,0.0050520896911621,0.2856402397155761
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,ckdn,False,7,0.0049426555633544,0.3394991457462311
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,ckdn,False,5,0.0051512718200683,0.3064614236354828
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,ckdn,False,0,0.0055906772613525,0.505916953086853
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,ckdn,False,7,0.0053811073303222,0.2407224625349044
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,ckdn,False,10,0.0052130222320556,0.239313542842865
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,ckdn,False,5,0.0051069259643554,0.3458008170127868
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,ckdn,False,1,0.0055320262908935,0.5347054600715637
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,ckdn,False,7,0.0052301883697509,0.286726176738739
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,ckdn,False,10,0.0051753520965576,0.2208394408226013
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,ckdn,False,3,0.0052142143249511,0.4051445126533508
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,ckdn,False,15,0.0051939487457275,0.2232857495546341
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,ckdn,False,3,0.0051324367523193,0.3998697698116302
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,ckdn,False,0,0.0051398277282714,0.5941289663314819
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,ckdn,False,10,0.0050690174102783,0.2410304844379425
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,ckdn,False,0,0.0053205490112304,0.5576192736625671
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,ckdn,False,1,0.0052254199981689,0.5916517972946167
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,ckdn,False,7,0.0051720142364501,0.2483588457107544
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,ckdn,False,15,0.0054373741149902,0.2003248482942581
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,ckdn,False,10,0.0052907466888427,0.227682963013649
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,ckdn,False,15,0.0051629543304443,0.2897831499576568
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,ckdn,False,7,0.0050733089447021,0.3419157266616821
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,ckdn,False,1,0.0051884651184082,0.5301079154014587
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,ckdn,False,1,0.0055146217346191,0.5633995532989502
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,ckdn,False,5,0.0052437782287597,0.2817848324775696
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,ckdn,False,7,0.0053815841674804,0.25290247797966
deblurred_nb3,0053_lp_dnn_0_knife_10_n03041632_22570,ckdn,False,0,0.0052528381347656,0.6273317933082581
deblurred_nb3,0054_lp_dnn_0_bear_10_n02132136_7586,ckdn,False,0,0.0052266120910644,0.6514174938201904
deblurred_nb3,0055_lp_dnn_5_clock_10_n04548280_9144,ckdn,False,5,0.0051038265228271,0.3511911630630493
deblurred_nb3,0056_lp_dnn_0_bottle_10_n04591713_2680,ckdn,False,0,0.0052301883697509,0.5953201651573181
deblurred_nb3,0057_lp_dnn_3_cat_10_n02123045_1596,ckdn,False,3,0.0052297115325927,0.3470905423164367
deblurred_nb3,0058_lp_dnn_10_cat_10_n02123597_19450,ckdn,False,10,0.0050618648529052,0.2543878555297851
deblurred_nb3,0059_lp_dnn_15_chair_10_n03376595_3462,ckdn,False,15,0.004913330078125,0.3949781358242035
deblurred_nb3,0060_lp_dnn_3_bottle_10_n04591713_3683,ckdn,False,3,0.0051124095916748,0.3402718007564544
deblurred_nb3,0061_lp_dnn_7_clock_10_n03196217_4309,ckdn,False,7,0.0047736167907714,0.3631152808666229
deblurred_nb3,0062_lp_dnn_15_bear_10_n02134084_4923,ckdn,False,15,0.0051355361938476,0.2294317632913589
deblurred_nb3,0063_lp_dnn_1_chair_10_n04429376_5238,ckdn,False,1,0.0053687095642089,0.5300326347351074
deblurred_nb3,0064_lp_dnn_0_clock_10_n03196217_2414,ckdn,False,0,0.0052199363708496,0.6063180565834045
deblurred_nb3,0065_lp_dnn_3_bird_10_n01797886_2711,ckdn,False,3,0.0053668022155761,0.2432718575000763
deblurred_nb3,0066_lp_dnn_15_truck_10_n04467665_68463,ckdn,False,15,0.0048422813415527,0.3288560211658478
deblurred_nb3,0067_lp_dnn_0_truck_10_n03417042_10099,ckdn,False,0,0.0050828456878662,0.6537898778915405
deblurred_nb3,0068_lp_dnn_10_bear_10_n02134418_3793,ckdn,False,10,0.005096435546875,0.2418557554483413
deblurred_nb3,0069_lp_dnn_10_bottle_10_n03937543_9524,ckdn,False,10,0.0050902366638183,0.2136287540197372
deblurred_nb3,0070_lp_dnn_3_cat_10_n02123394_1038,ckdn,False,3,0.0049107074737548,0.3696848452091217
