dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,dists,True,5,0.0071246623992919,0.3553913235664367
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,dists,True,1,0.0069842338562011,0.1326305866241455
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,dists,True,3,0.0069227218627929,0.3004380464553833
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,dists,True,7,0.0068693161010742,0.40180504322052
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,dists,True,7,0.006854772567749,0.3573424816131592
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,dists,True,1,0.0070772171020507,0.1023184061050415
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,dists,True,10,0.0069169998168945,0.4276781678199768
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,dists,True,5,0.0067033767700195,0.3736883401870727
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,dists,True,3,0.0068356990814208,0.3417588472366333
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,dists,True,3,0.0070087909698486,0.2925313711166382
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,dists,True,7,0.0068006515502929,0.378248393535614
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,dists,True,10,0.0067064762115478,0.4668543934822082
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,dists,True,5,0.0069584846496582,0.3539014458656311
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,dists,True,1,0.0069408416748046,0.1471019983291626
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,dists,True,7,0.0069639682769775,0.397122323513031
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,dists,True,10,0.006749153137207,0.410993218421936
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,dists,True,15,0.0068204402923583,0.5224500894546509
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,dists,True,10,0.0068345069885253,0.4516637921333313
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,dists,True,1,0.0069456100463867,0.0838211774826049
