dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,lpips-vgg,True,5,0.009881973266601562,0.5237847566604614
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,lpips-vgg,True,1,0.009830236434936523,0.16132813692092896
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,lpips-vgg,True,3,0.009715080261230469,0.47914940118789673
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,lpips-vgg,True,7,0.009652853012084961,0.5307327508926392
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,lpips-vgg,True,7,0.009610891342163086,0.49219393730163574
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,lpips-vgg,True,1,0.009886980056762695,0.16286304593086243
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,lpips-vgg,True,10,0.00967264175415039,0.6023054122924805
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,lpips-vgg,True,5,0.009429216384887695,0.5125012993812561
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,lpips-vgg,True,3,0.009610414505004883,0.6490128040313721
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,lpips-vgg,True,3,0.009791851043701172,0.4291402995586395
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,lpips-vgg,True,7,0.009631633758544922,0.5080363750457764
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,lpips-vgg,True,10,0.009455442428588867,0.773360013961792
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,lpips-vgg,True,5,0.009732246398925781,0.5698366761207581
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,lpips-vgg,True,1,0.009794473648071289,0.2037237286567688
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,lpips-vgg,True,7,0.009652137756347656,0.6368779540061951
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,lpips-vgg,True,10,0.009487152099609375,0.5957214832305908
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,lpips-vgg,True,15,0.009630441665649414,0.8305140733718872
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,lpips-vgg,True,10,0.009636163711547852,0.6806039810180664
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,lpips-vgg,True,1,0.009755849838256836,0.11334747821092606
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,lpips-vgg,True,7,0.009660720825195312,0.6238993406295776
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,lpips-vgg,True,15,0.009496212005615234,0.7575473785400391
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,lpips-vgg,True,7,0.009502172470092773,0.6177095174789429
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,lpips-vgg,True,5,0.009619474411010742,0.705650806427002
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,lpips-vgg,True,0,0.010054349899291992,0.0317998006939888
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,lpips-vgg,True,7,0.009400367736816406,0.6654905080795288
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,lpips-vgg,True,10,0.009083271026611328,0.7199511528015137
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,lpips-vgg,True,5,0.00895071029663086,0.6074584722518921
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,lpips-vgg,True,1,0.00944972038269043,0.17213359475135803
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,lpips-vgg,True,7,0.00906682014465332,0.5680809020996094
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,lpips-vgg,True,10,0.008974552154541016,0.7107387781143188
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,lpips-vgg,True,3,0.009151697158813477,0.49738937616348267
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,lpips-vgg,True,15,0.009180784225463867,0.7441932559013367
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,lpips-vgg,True,3,0.009245872497558594,0.40541332960128784
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,lpips-vgg,True,0,0.009515523910522461,0.007517586927860975
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,lpips-vgg,True,10,0.009070873260498047,0.7838841080665588
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,lpips-vgg,True,0,0.009656429290771484,0.019186614081263542
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,lpips-vgg,True,1,0.009187936782836914,0.205514594912529
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,lpips-vgg,True,7,0.009029626846313477,0.534534752368927
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,lpips-vgg,True,15,0.009217500686645508,0.8324498534202576
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,lpips-vgg,True,10,0.009166479110717773,0.631569504737854
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,lpips-vgg,True,15,0.009001970291137695,0.7434645295143127
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,lpips-vgg,True,7,0.008882522583007812,0.5417247414588928
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,lpips-vgg,True,1,0.00902700424194336,0.2730908989906311
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,lpips-vgg,True,1,0.00961446762084961,0.12597905099391937
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,lpips-vgg,True,5,0.009109973907470703,0.48282766342163086
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,lpips-vgg,True,7,0.009257316589355469,0.6170690059661865
deblurred_nb3,0053_lp_dnn_0_knife_10_n03041632_22570,lpips-vgg,True,0,0.009581327438354492,0.004920203238725662
deblurred_nb3,0054_lp_dnn_0_bear_10_n02132136_7586,lpips-vgg,True,0,0.009653568267822266,0.012463821098208427
