dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,mad,True,5,0.10351443290710449,216.1404951500324
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,mad,True,1,0.1037895679473877,71.25654510564476
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,mad,True,3,0.10369229316711426,78.4894891223027
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,mad,True,7,0.10365414619445801,235.49766898786538
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,mad,True,7,0.1036844253540039,173.26975832131885
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,mad,True,1,0.10396742820739746,44.973221089463834
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,mad,True,10,0.1037285327911377,224.09962786628455
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,mad,True,5,0.1037590503692627,186.8616276035606
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,mad,True,3,0.10384249687194824,132.49172997635736
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,mad,True,3,0.10399484634399414,152.35734593046723
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,mad,True,7,0.1039435863494873,200.32680148834984
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,mad,True,10,0.10366535186767578,245.3573227085366
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,mad,True,5,0.1038966178894043,195.87497945671626
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,mad,True,1,0.10394430160522461,63.173928890143586
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,mad,True,7,0.10384821891784668,205.3770690104848
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,mad,True,10,0.10368633270263672,247.4420206282607
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,mad,True,15,0.1037454605102539,209.44960806823147
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,mad,True,10,0.10375547409057617,211.22736831551566
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,mad,True,1,0.10396504402160645,44.63917909068332
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,mad,True,7,0.10381364822387695,227.89525671273068
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,mad,True,15,0.1036372184753418,203.45466609491473
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,mad,True,7,0.10361194610595703,219.22624045221943
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,mad,True,5,0.10374665260314941,159.6054464075948
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,mad,True,0,0.10438299179077148,35.96252558327965
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,mad,True,7,0.1039583683013916,200.50619364555985
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,mad,True,10,0.10376334190368652,201.9908534761945
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,mad,True,5,0.10366010665893555,143.67817417158932
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,mad,True,1,0.10409092903137207,27.505264421407862
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,mad,True,7,0.10377144813537598,257.6836925734236
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,mad,True,10,0.10364723205566406,266.0984928094511
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,mad,True,3,0.10371518135070801,159.64838316285514
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,mad,True,15,0.10379242897033691,263.2368245457409
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,mad,True,3,0.10383987426757812,149.504298376723
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,mad,True,0,0.10420107841491699,10.890302526649567
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,mad,True,10,0.10373425483703613,198.87544679818313
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,mad,True,0,0.10436272621154785,47.90112071291788
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,mad,True,1,0.10389089584350586,92.9851514931189
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,mad,True,7,0.10370922088623047,223.9024107437295
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,mad,True,15,0.10392260551452637,232.98964723177778
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,mad,True,10,0.1038353443145752,225.95687851348407
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,mad,True,15,0.10369467735290527,241.14861385088545
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,mad,True,7,0.10355854034423828,255.9709397050365
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,mad,True,1,0.10365486145019531,66.19814623431537
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,mad,True,1,0.10413122177124023,43.457680555019195
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,mad,True,5,0.10381460189819336,226.22047744413078
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,mad,True,7,0.10387754440307617,237.63700184772762
deblurred_nb3,0053_lp_dnn_0_knife_10_n03041632_22570,mad,True,0,0.10422039031982422,10.164934899339027
deblurred_nb3,0054_lp_dnn_0_bear_10_n02132136_7586,mad,True,0,0.10431599617004395,17.240722528850505
deblurred_nb3,0055_lp_dnn_5_clock_10_n04548280_9144,mad,True,5,0.10390043258666992,195.98521357416558
deblurred_nb3,0056_lp_dnn_0_bottle_10_n04591713_2680,mad,True,0,0.10434198379516602,37.71198869215404
deblurred_nb3,0057_lp_dnn_3_cat_10_n02123045_1596,mad,True,3,0.10401129722595215,142.9080277525453
deblurred_nb3,0058_lp_dnn_10_cat_10_n02123597_19450,mad,True,10,0.10381102561950684,212.71980417537708
deblurred_nb3,0059_lp_dnn_15_chair_10_n03376595_3462,mad,True,15,0.10366582870483398,206.58279323181196
deblurred_nb3,0060_lp_dnn_3_bottle_10_n04591713_3683,mad,True,3,0.10385465621948242,173.08811930101797
deblurred_nb3,0061_lp_dnn_7_clock_10_n03196217_4309,mad,True,7,0.1033792495727539,118.63264398935192
deblurred_nb3,0062_lp_dnn_15_bear_10_n02134084_4923,mad,True,15,0.10382580757141113,198.56510062859562
deblurred_nb3,0063_lp_dnn_1_chair_10_n04429376_5238,mad,True,1,0.10412311553955078,61.247743432234316
deblurred_nb3,0064_lp_dnn_0_clock_10_n03196217_2414,mad,True,0,0.10433793067932129,0.7491149015112183
deblurred_nb3,0065_lp_dnn_3_bird_10_n01797886_2711,mad,True,3,0.10410165786743164,163.9968987883604
deblurred_nb3,0066_lp_dnn_15_truck_10_n04467665_68463,mad,True,15,0.1035609245300293,208.79741024502187
deblurred_nb3,0067_lp_dnn_0_truck_10_n03417042_10099,mad,True,0,0.10413122177124023,6.070851350185835
deblurred_nb3,0068_lp_dnn_10_bear_10_n02134418_3793,mad,True,10,0.10384106636047363,156.10511900611974
deblurred_nb3,0069_lp_dnn_10_bottle_10_n03937543_9524,mad,True,10,0.10389161109924316,219.88045717429137
deblurred_nb3,0070_lp_dnn_3_cat_10_n02123394_1038,mad,True,3,0.10367441177368164,159.4934944798246
deblurred_nb3,0071_lp_dnn_5_dog_10_n02110185_7886,mad,True,5,0.1037743091583252,148.5261814596273
deblurred_nb3,0072_lp_dnn_3_clock_10_n02708093_4912,mad,True,3,0.10368657112121582,177.16804833124857
deblurred_nb3,0073_lp_dnn_15_dog_10_n02108422_932,mad,True,15,0.10387635231018066,216.4359646604595
deblurred_nb3,0074_lp_dnn_0_truck_10_n04467665_18621,mad,True,0,0.10428714752197266,5.3972860942818714
deblurred_nb3,0075_lp_dnn_1_truck_10_n04467665_50932,mad,True,1,0.10408473014831543,57.416826101945446
deblurred_nb3,0076_lp_dnn_1_dog_10_n02102480_7293,mad,True,1,0.10409879684448242,55.192689684450855
deblurred_nb3,0077_lp_dnn_1_bottle_10_n04591713_4764,mad,True,1,0.10378146171569824,60.12888413726516
deblurred_nb3,0078_lp_dnn_15_clock_10_n02708093_274,mad,True,15,0.10386013984680176,193.88963500917885
deblurred_nb3,0079_lp_dnn_5_bottle_10_n04557648_29772,mad,True,5,0.10396385192871094,215.12666513070204
deblurred_nb3,0080_lp_dnn_15_car_10_n03100240_22499,mad,True,15,0.1037747859954834,231.474802003889
deblurred_nb3,0081_lp_dnn_3_clock_10_n02708093_6252,mad,True,3,0.10359358787536621,245.29542403045662
deblurred_nb3,0082_lp_dnn_10_airplane_10_n02690373_5427,mad,True,10,0.10364222526550293,232.98266222569987
deblurred_nb3,0083_lp_dnn_15_dog_10_n02107142_46045,mad,True,15,0.10384273529052734,242.63424940973852
deblurred_nb3,0085_lp_dnn_3_bicycle_10_n03792782_12421,mad,True,3,0.10404205322265625,193.43361675926042
deblurred_nb3,0086_lp_dnn_0_airplane_10_n02690373_1310,mad,True,0,0.10387158393859863,8.808160067594667
deblurred_nb3,0087_lp_dnn_15_oven_10_n04111531_8793,mad,True,15,0.10384082794189453,256.5731460769249
deblurred_nb3,0088_lp_dnn_5_airplane_10_n02690373_633,mad,True,5,0.10371112823486328,195.14309602645295
deblurred_nb3,0089_lp_dnn_5_clock_10_n02708093_2307,mad,True,5,0.10402154922485352,196.37733422544505
deblurred_nb3,0090_lp_dnn_10_oven_10_n04111531_13795,mad,True,10,0.10370755195617676,209.85933078305666
deblurred_nb3,0091_lp_dnn_3_boat_10_n03662601_1427,mad,True,3,0.1036367416381836,156.57802965168673
deblurred_nb3,0092_lp_dnn_5_boat_10_n04612504_15944,mad,True,5,0.10390996932983398,193.0875596096618
deblurred_nb3,0094_lp_dnn_7_elephant_10_n02504458_1848,mad,True,7,0.10390090942382812,193.08541935942029
deblurred_nb3,0095_lp_dnn_5_oven_10_n04111531_4155,mad,True,5,0.10374927520751953,226.08332836034913
deblurred_nb3,0096_lp_dnn_0_car_10_n03100240_8327,mad,True,0,0.1042332649230957,3.385345244244697
deblurred_nb3,0097_lp_dnn_0_chair_10_n04429376_24319,mad,True,0,0.10433387756347656,13.165030712851479
deblurred_nb3,0098_lp_dnn_3_chair_10_n03376595_5112,mad,True,3,0.10383725166320801,148.89738599185688
deblurred_nb3,0099_lp_dnn_1_cat_10_n02124075_2268,mad,True,1,0.1040201187133789,58.13344380988688
deblurred_nb3,0100_lp_dnn_3_boat_10_n04273569_1137,mad,True,3,0.1036522388458252,106.573994180905
deblurred_nb3,0101_lp_dnn_1_chair_10_n02791124_15383,mad,True,1,0.10400795936584473,88.89792970915461
deblurred_nb3,0102_lp_dnn_15_clock_10_n04548280_8998,mad,True,15,0.10349845886230469,263.6254110009975
deblurred_nb3,0103_lp_dnn_0_dog_10_n02097047_2800,mad,True,0,0.10423803329467773,14.344504972087407
deblurred_nb3,0104_lp_dnn_15_bicycle_10_n03792782_18294,mad,True,15,0.10388660430908203,234.1989782316444
deblurred_nb3,0105_lp_dnn_0_elephant_10_n02504013_24486,mad,True,0,0.10402989387512207,40.920097321503086
deblurred_nb3,0106_lp_dnn_7_airplane_10_n02690373_2923,mad,True,7,0.10365653038024902,216.00739335625804
deblurred_nb3,0107_lp_dnn_3_airplane_10_n02690373_15392,mad,True,3,0.10362911224365234,159.1429947365057
deblurred_nb3,0108_lp_dnn_5_oven_10_n04111531_6080,mad,True,5,0.10426855087280273,194.6138228674227
deblurred_nb3,0109_lp_dnn_15_bear_10_n02134084_22736,mad,True,15,0.10414910316467285,171.39082303215224
deblurred_nb3,0110_lp_dnn_1_knife_10_n03041632_33326,mad,True,1,0.10446429252624512,73.17383362371538
deblurred_nb3,0113_lp_dnn_7_bicycle_10_n03792782_5416,mad,True,7,0.10441803932189941,237.2893483782944
deblurred_nb3,0114_lp_dnn_7_knife_10_n03041632_25772,mad,True,7,0.1043553352355957,222.60907963853907
deblurred_nb3,0115_lp_dnn_10_bicycle_10_n03792782_7108,mad,True,10,0.10431575775146484,208.06441406307005
deblurred_nb3,0116_lp_dnn_0_chair_10_n03376595_1981,mad,True,0,0.10478019714355469,19.57987523376258
deblurred_nb3,0117_lp_dnn_15_oven_10_n04111531_6508,mad,True,15,0.10419750213623047,246.84775697646037
deblurred_nb3,0118_lp_dnn_15_bird_10_n01843383_2843,mad,True,15,0.10414624214172363,326.44309510572384
deblurred_nb3,0119_lp_dnn_5_cat_10_n02123597_5887,mad,True,5,0.10440278053283691,138.7474314003831
deblurred_nb3,0121_lp_dnn_1_bird_10_n01530575_10332,mad,True,1,0.10441946983337402,81.97540691039404
deblurred_nb3,0122_lp_dnn_15_elephant_10_n02504013_5887,mad,True,15,0.10430622100830078,231.35900694123103
deblurred_nb3,0123_lp_dnn_3_cat_10_n02124075_8693,mad,True,3,0.10436534881591797,138.5270342773647
deblurred_nb3,0124_lp_dnn_15_boat_10_n04612504_26151,mad,True,15,0.10407090187072754,208.79926365955976
deblurred_nb3,0125_lp_dnn_7_cat_10_n02125311_53412,mad,True,7,0.10408449172973633,207.67789163161655
deblurred_nb3,0126_lp_dnn_7_knife_10_n03041632_46914,mad,True,7,0.10413432121276855,145.6363334206683
deblurred_nb3,0127_lp_dnn_15_bicycle_10_n03792782_5629,mad,True,15,0.10420989990234375,258.6897986708108
deblurred_nb3,0129_lp_dnn_3_dog_10_n02101006_5024,mad,True,3,0.10427355766296387,153.85055298999526
deblurred_nb3,0130_lp_dnn_15_oven_10_n04111531_2350,mad,True,15,0.10403156280517578,314.44234753597146
deblurred_nb3,0131_lp_dnn_7_airplane_10_n02690373_4839,mad,True,7,0.10397839546203613,208.81237664014986
deblurred_nb3,0132_lp_dnn_5_car_10_n03100240_2075,mad,True,5,0.10420584678649902,214.1672874396968
deblurred_nb3,0133_lp_dnn_5_cat_10_n02123159_3729,mad,True,5,0.10432815551757812,168.50847730322238
deblurred_nb3,0134_lp_dnn_10_knife_10_n03041632_3079,mad,True,10,0.10431170463562012,235.30769525376041
deblurred_nb3,0135_lp_dnn_15_elephant_10_n02504013_2052,mad,True,15,0.10422873497009277,223.65703083213032
deblurred_nb3,0137_lp_dnn_15_keyboard_10_n03085013_7955,mad,True,15,0.10404109954833984,217.42449095250882
deblurred_nb3,0139_lp_dnn_10_cat_10_n02125311_44401,mad,True,10,0.10430073738098145,185.0976553609761
deblurred_nb3,0140_lp_dnn_10_airplane_10_n02690373_10657,mad,True,10,0.1038961410522461,203.7529683223852
deblurred_nb3,0141_lp_dnn_5_bird_10_n02025239_7919,mad,True,5,0.10441446304321289,198.3709956290533
deblurred_nb3,0144_lp_dnn_5_keyboard_10_n04505470_4371,mad,True,5,0.10418581962585449,228.35946833788648
