dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,nlpd,True,5,0.012517452239990234,0.6151762008666992
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,nlpd,True,1,0.012433528900146484,0.1642313003540039
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,nlpd,True,3,0.012374401092529297,0.30773282051086426
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,nlpd,True,7,0.01229095458984375,0.627264678478241
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,nlpd,True,7,0.012310504913330078,0.41519880294799805
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,nlpd,True,1,0.012558221817016602,0.1679932177066803
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,nlpd,True,10,0.012326478958129883,0.6255637407302856
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,nlpd,True,5,0.012091636657714844,0.5189385414123535
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,nlpd,True,3,0.012350320816040039,0.4889209270477295
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,nlpd,True,3,0.012446880340576172,0.3855258822441101
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,nlpd,True,7,0.012224674224853516,0.5305955410003662
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,nlpd,True,10,0.012103557586669922,0.8831491470336914
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,nlpd,True,5,0.012377738952636719,0.602383017539978
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,nlpd,True,1,0.012393712997436523,0.24187633395195007
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,nlpd,True,7,0.012323379516601562,0.6101832389831543
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,nlpd,True,10,0.012221574783325195,0.651197612285614
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,nlpd,True,15,0.012240886688232422,0.8547880053520203
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,nlpd,True,10,0.012329339981079102,0.853746771812439
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,nlpd,True,1,0.01239466667175293,0.11988608539104462
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,nlpd,True,7,0.012319087982177734,0.6847149729728699
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,nlpd,True,15,0.012150287628173828,0.5835901498794556
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,nlpd,True,7,0.012089967727661133,0.6579573154449463
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,nlpd,True,5,0.012287616729736328,0.599918007850647
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,nlpd,True,0,0.012781858444213867,0.10190822929143906
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,nlpd,True,7,0.012440681457519531,0.7533973455429077
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,nlpd,True,10,0.012212276458740234,0.6150718927383423
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,nlpd,True,5,0.012153148651123047,0.46704626083374023
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,nlpd,True,1,0.012580394744873047,0.1918329894542694
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,nlpd,True,7,0.012220621109008789,0.7413866519927979
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,nlpd,True,10,0.012103557586669922,0.8507706522941589
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,nlpd,True,3,0.012214899063110352,0.4073312282562256
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,nlpd,True,15,0.012299776077270508,0.8687151670455933
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,nlpd,True,3,0.012323617935180664,0.3717363774776459
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,nlpd,True,0,0.0127105712890625,0.03576543927192688
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,nlpd,True,10,0.012219905853271484,0.7059097290039062
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,nlpd,True,0,0.012882232666015625,0.1256968080997467
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,nlpd,True,1,0.012393951416015625,0.21859726309776306
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,nlpd,True,7,0.012276887893676758,0.6459188461303711
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,nlpd,True,15,0.01238393783569336,0.9365290403366089
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,nlpd,True,10,0.01232004165649414,0.7629047632217407
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,nlpd,True,15,0.012195825576782227,0.6659671068191528
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,nlpd,True,7,0.012050390243530273,0.4647265672683716
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,nlpd,True,1,0.012191057205200195,0.1654825210571289
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,nlpd,True,1,0.012557506561279297,0.210289865732193
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,nlpd,True,5,0.012290716171264648,0.5452008247375488
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,nlpd,True,7,0.012350082397460938,0.6500717401504517
deblurred_nb3,0053_lp_dnn_0_knife_10_n03041632_22570,nlpd,True,0,0.012668132781982422,0.030596695840358734
deblurred_nb3,0054_lp_dnn_0_bear_10_n02132136_7586,nlpd,True,0,0.012847423553466797,0.07309597730636597
deblurred_nb3,0055_lp_dnn_5_clock_10_n04548280_9144,nlpd,True,5,0.012268543243408203,0.6671527624130249
deblurred_nb3,0056_lp_dnn_0_bottle_10_n04591713_2680,nlpd,True,0,0.012760162353515625,0.09065236896276474
deblurred_nb3,0057_lp_dnn_3_cat_10_n02123045_1596,nlpd,True,3,0.012493133544921875,0.4177703857421875
deblurred_nb3,0058_lp_dnn_10_cat_10_n02123597_19450,nlpd,True,10,0.012256383895874023,0.6462483406066895
deblurred_nb3,0059_lp_dnn_15_chair_10_n03376595_3462,nlpd,True,15,0.012063980102539062,0.5178842544555664
deblurred_nb3,0060_lp_dnn_3_bottle_10_n04591713_3683,nlpd,True,3,0.01240229606628418,0.37662920355796814
deblurred_nb3,0061_lp_dnn_7_clock_10_n03196217_4309,nlpd,True,7,0.011893272399902344,0.4323102831840515
deblurred_nb3,0062_lp_dnn_15_bear_10_n02134084_4923,nlpd,True,15,0.01233053207397461,0.7530666589736938
deblurred_nb3,0063_lp_dnn_1_chair_10_n04429376_5238,nlpd,True,1,0.012634992599487305,0.22285810112953186
deblurred_nb3,0064_lp_dnn_0_clock_10_n03196217_2414,nlpd,True,0,0.012796640396118164,0.017870813608169556
deblurred_nb3,0065_lp_dnn_3_bird_10_n01797886_2711,nlpd,True,3,0.012546300888061523,0.5197305083274841
deblurred_nb3,0066_lp_dnn_15_truck_10_n04467665_68463,nlpd,True,15,0.011990547180175781,0.5784100294113159
deblurred_nb3,0067_lp_dnn_0_truck_10_n03417042_10099,nlpd,True,0,0.012581348419189453,0.029465720057487488
deblurred_nb3,0068_lp_dnn_10_bear_10_n02134418_3793,nlpd,True,10,0.012288808822631836,0.5893782377243042
deblurred_nb3,0069_lp_dnn_10_bottle_10_n03937543_9524,nlpd,True,10,0.012362957000732422,0.7255901098251343
deblurred_nb3,0070_lp_dnn_3_cat_10_n02123394_1038,nlpd,True,3,0.012073040008544922,0.4593108296394348
deblurred_nb3,0071_lp_dnn_5_dog_10_n02110185_7886,nlpd,True,5,0.01224827766418457,0.4441469609737396
deblurred_nb3,0072_lp_dnn_3_clock_10_n02708093_4912,nlpd,True,3,0.012079477310180664,0.26082199811935425
deblurred_nb3,0073_lp_dnn_15_dog_10_n02108422_932,nlpd,True,15,0.012361764907836914,0.8518643379211426
deblurred_nb3,0074_lp_dnn_0_truck_10_n04467665_18621,nlpd,True,0,0.012834787368774414,0.030709892511367798
deblurred_nb3,0075_lp_dnn_1_truck_10_n04467665_50932,nlpd,True,1,0.012531757354736328,0.16627803444862366
deblurred_nb3,0076_lp_dnn_1_dog_10_n02102480_7293,nlpd,True,1,0.012599706649780273,0.21321499347686768
deblurred_nb3,0077_lp_dnn_1_bottle_10_n04591713_4764,nlpd,True,1,0.01216578483581543,0.12218307703733444
deblurred_nb3,0078_lp_dnn_15_clock_10_n02708093_274,nlpd,True,15,0.012392759323120117,0.7191562652587891
deblurred_nb3,0079_lp_dnn_5_bottle_10_n04557648_29772,nlpd,True,5,0.012378215789794922,0.5791416168212891
deblurred_nb3,0080_lp_dnn_15_car_10_n03100240_22499,nlpd,True,15,0.012212276458740234,0.7247811555862427
deblurred_nb3,0081_lp_dnn_3_clock_10_n02708093_6252,nlpd,True,3,0.012019157409667969,0.5451781749725342
deblurred_nb3,0082_lp_dnn_10_airplane_10_n02690373_5427,nlpd,True,10,0.0120697021484375,0.6747245788574219
deblurred_nb3,0083_lp_dnn_15_dog_10_n02107142_46045,nlpd,True,15,0.012308120727539062,0.8797450065612793
deblurred_nb3,0085_lp_dnn_3_bicycle_10_n03792782_12421,nlpd,True,3,0.012447595596313477,0.4502186179161072
deblurred_nb3,0086_lp_dnn_0_airplane_10_n02690373_1310,nlpd,True,0,0.01228475570678711,0.05251184105873108
deblurred_nb3,0087_lp_dnn_15_oven_10_n04111531_8793,nlpd,True,15,0.012043237686157227,0.8809417486190796
deblurred_nb3,0088_lp_dnn_5_airplane_10_n02690373_633,nlpd,True,5,0.012277603149414062,0.3849121928215027
deblurred_nb3,0089_lp_dnn_5_clock_10_n02708093_2307,nlpd,True,5,0.012431621551513672,0.5032467842102051
deblurred_nb3,0090_lp_dnn_10_oven_10_n04111531_13795,nlpd,True,10,0.012209415435791016,0.7319998741149902
deblurred_nb3,0091_lp_dnn_3_boat_10_n03662601_1427,nlpd,True,3,0.012138843536376953,0.44687503576278687
deblurred_nb3,0092_lp_dnn_5_boat_10_n04612504_15944,nlpd,True,5,0.01238870620727539,0.5853382349014282
deblurred_nb3,0094_lp_dnn_7_elephant_10_n02504458_1848,nlpd,True,7,0.012348413467407227,0.5883092284202576
deblurred_nb3,0095_lp_dnn_5_oven_10_n04111531_4155,nlpd,True,5,0.012211322784423828,0.6581117510795593
