dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,pieapp,True,5,0.0082027912139892,5.482737064361572
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,pieapp,True,1,0.0081021785736083,0.8876164555549622
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,pieapp,True,3,0.0167653560638427,1.874796986579895
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,pieapp,True,7,0.0082595348358154,6.777165412902832
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,pieapp,True,7,0.0080122947692871,3.621701717376709
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,pieapp,True,1,0.0080571174621582,0.756359338760376
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,pieapp,True,10,0.0078394412994384,5.8368449211120605
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,pieapp,True,5,0.0076403617858886,4.3333048820495605
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,pieapp,True,3,0.0077893733978271,3.883144617080689
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,pieapp,True,3,0.0080344676971435,3.149702787399292
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,pieapp,True,7,0.0077912807464599,7.262736797332764
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,pieapp,True,10,0.0077519416809082,7.527706146240234
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,pieapp,True,5,0.0080218315124511,4.327574253082275
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,pieapp,True,1,0.0080513954162597,0.8612383604049683
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,pieapp,True,7,0.0079905986785888,4.6600213050842285
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,pieapp,True,10,0.0078351497650146,5.037797927856445
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,pieapp,True,15,0.0078222751617431,4.554520130157471
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,pieapp,True,10,0.0078592300415039,5.979834079742432
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,pieapp,True,1,0.0079402923583984,0.5712316632270813
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,pieapp,True,7,0.0079755783081054,6.088967323303223
