dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,ssim,False,5,0.0065162181854248,0.5677843213320595
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,ssim,False,1,0.0063481330871582,0.9263292355808052
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,ssim,False,3,0.0062792301177978,0.7775339042525453
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,ssim,False,7,0.0062024593353271,0.5257844245750268
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,ssim,False,7,0.0061926841735839,0.6996749813455001
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,ssim,False,1,0.0063998699188232,0.8957329022229644
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,ssim,False,10,0.0062494277954101,0.5668143599749322
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,ssim,False,5,0.0060212612152099,0.6042281436535399
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,ssim,False,3,0.0061864852905273,0.3314505846148524
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,ssim,False,3,0.0063540935516357,0.7224376334048886
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,ssim,False,7,0.006134033203125,0.5738513508420063
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,ssim,False,10,0.0060517787933349,0.1556342969532782
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,ssim,False,5,0.0062830448150634,0.522571333146294
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,ssim,False,1,0.006291389465332,0.8559402154709589
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,ssim,False,7,0.0062212944030761,0.5331537676627968
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,ssim,False,10,0.0060977935791015,0.6124067989361662
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,ssim,False,15,0.0062108039855957,0.2320920061705843
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,ssim,False,10,0.0061695575714111,0.3263833752636663
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,ssim,False,1,0.0062909126281738,0.9588028102521988
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,ssim,False,7,0.0060176849365234,0.4450424656330309
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,ssim,False,15,0.0058810710906982,0.4615274932238593
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,ssim,False,7,0.0058512687683105,0.5147961061475043
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,ssim,False,5,0.0059819221496582,0.3729481527071872
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,ssim,False,0,0.0061702728271484,1.0
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,ssim,False,7,0.0060908794403076,0.3678181469197412
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,ssim,False,10,0.0059287548065185,0.4194188723863411
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,ssim,False,5,0.0058207511901855,0.5022102348438195
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,ssim,False,1,0.0062432289123535,0.8543979578086394
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,ssim,False,7,0.005936861038208,0.4911803067092868
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,ssim,False,10,0.0058636665344238,0.3498567767883639
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,ssim,False,3,0.0058958530426025,0.5647883094699239
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,ssim,False,15,0.0059914588928222,0.3886500797433109
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,ssim,False,3,0.0060024261474609,0.8123062770554949
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,ssim,False,0,0.0061290264129638,1.0
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,ssim,False,10,0.0059268474578857,0.3343011406283798
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,ssim,False,0,0.0062718391418457,1.0
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,ssim,False,1,0.0061919689178466,0.9702385390885684
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,ssim,False,7,0.0059285163879394,0.6497657096310682
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,ssim,False,15,0.0060794353485107,0.2316779578882171
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,ssim,False,10,0.0060012340545654,0.4587811347817188
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,ssim,False,15,0.0058732032775878,0.558910533993003
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,ssim,False,7,0.0057904720306396,0.7454997801055194
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,ssim,False,1,0.0058815479278564,0.9522681844589632
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,ssim,False,1,0.0062294006347656,0.8868881973767777
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,ssim,False,5,0.0059444904327392,0.5345430002426319
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,ssim,False,7,0.0060548782348632,0.4638770734271227
deblurred_nb3,0053_lp_dnn_0_knife_10_n03041632_22570,ssim,False,0,0.0060751438140869,1.0
deblurred_nb3,0054_lp_dnn_0_bear_10_n02132136_7586,ssim,False,0,0.0061116218566894,1.0
