dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,stlpips-vgg,True,5,0.007190465927124,0.7267810106277466
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,stlpips-vgg,True,1,0.0072672367095947,0.1705426573753357
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,stlpips-vgg,True,3,0.0072126388549804,0.4159538745880127
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,stlpips-vgg,True,7,0.0071525573730468,0.8120980262756348
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,stlpips-vgg,True,7,0.0071268081665039,0.6187137365341187
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,stlpips-vgg,True,1,0.0073680877685546,0.185764655470848
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,stlpips-vgg,True,10,0.0071909427642822,0.7320052981376648
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,stlpips-vgg,True,5,0.0070016384124755,0.5945051312446594
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,stlpips-vgg,True,3,0.0071139335632324,0.828033447265625
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,stlpips-vgg,True,3,0.0072686672210693,0.5049112439155579
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,stlpips-vgg,True,7,0.007098913192749,0.4923864603042602
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,stlpips-vgg,True,10,0.0069901943206787,1.0413904190063477
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,stlpips-vgg,True,5,0.007232666015625,0.7965250015258789
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,stlpips-vgg,True,1,0.0073175430297851,0.2741087675094604
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,stlpips-vgg,True,7,0.0071558952331542,0.7079863548278809
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,stlpips-vgg,True,10,0.0070266723632812,0.7306751012802124
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,stlpips-vgg,True,15,0.0071024894714355,0.9935470819473268
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,stlpips-vgg,True,10,0.0071027278900146,0.9657714366912842
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,stlpips-vgg,True,1,0.0072205066680908,0.072397693991661
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,stlpips-vgg,True,7,0.007145881652832,0.8729801177978516
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,stlpips-vgg,True,15,0.0070042610168457,0.851408839225769
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,stlpips-vgg,True,7,0.0069735050201416,0.8039281964302063
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,stlpips-vgg,True,5,0.0071139335632324,0.9027879238128662
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,stlpips-vgg,True,0,0.0072951316833496,0.0
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,stlpips-vgg,True,7,0.0072429180145263,0.880977988243103
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,stlpips-vgg,True,10,0.0070672035217285,0.8648970723152161
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,stlpips-vgg,True,5,0.0069475173950195,0.6952787637710571
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,stlpips-vgg,True,1,0.0073564052581787,0.2564689517021179
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,stlpips-vgg,True,7,0.0071382522583007,0.8222228288650513
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,stlpips-vgg,True,10,0.0070111751556396,0.9472768306732178
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,stlpips-vgg,True,3,0.007037878036499,0.6876956820487976
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,stlpips-vgg,True,15,0.0071170330047607,0.9384734034538268
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,stlpips-vgg,True,3,0.0071582794189453,0.3837714195251465
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,stlpips-vgg,True,0,0.0072152614593505,0.0
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,stlpips-vgg,True,10,0.0070667266845703,0.929025411605835
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,stlpips-vgg,True,0,0.0072901248931884,0.0
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,stlpips-vgg,True,1,0.0071911811828613,0.1603007018566131
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,stlpips-vgg,True,7,0.0070469379425048,0.4959670305252075
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,stlpips-vgg,True,15,0.0072057247161865,1.0413503646850586
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,stlpips-vgg,True,10,0.0071477890014648,0.8179744482040405
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,stlpips-vgg,True,15,0.007012128829956,0.7225347757339478
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,stlpips-vgg,True,7,0.0069198608398437,0.5875066518783569
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,stlpips-vgg,True,1,0.0070304870605468,0.1456067264080047
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,stlpips-vgg,True,1,0.0074241161346435,0.240804448723793
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,stlpips-vgg,True,5,0.0070703029632568,0.6922755837440491
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,stlpips-vgg,True,7,0.0072009563446044,0.8436192274093628
deblurred_nb3,0053_lp_dnn_0_knife_10_n03041632_22570,stlpips-vgg,True,0,0.007214069366455,0.0
deblurred_nb3,0054_lp_dnn_0_bear_10_n02132136_7586,stlpips-vgg,True,0,0.0072627067565917,0.0
deblurred_nb3,0055_lp_dnn_5_clock_10_n04548280_9144,stlpips-vgg,True,5,0.007129430770874,0.7966242432594299
deblurred_nb3,0056_lp_dnn_0_bottle_10_n04591713_2680,stlpips-vgg,True,0,0.0072968006134033,0.0
deblurred_nb3,0057_lp_dnn_3_cat_10_n02123045_1596,stlpips-vgg,True,3,0.0072925090789794,0.6215922832489014
deblurred_nb3,0058_lp_dnn_10_cat_10_n02123597_19450,stlpips-vgg,True,10,0.0071055889129638,0.6814507246017456
deblurred_nb3,0059_lp_dnn_15_chair_10_n03376595_3462,stlpips-vgg,True,15,0.0069620609283447,0.4116365313529968
deblurred_nb3,0060_lp_dnn_3_bottle_10_n04591713_3683,stlpips-vgg,True,3,0.0071725845336914,0.5376033186912537
deblurred_nb3,0061_lp_dnn_7_clock_10_n03196217_4309,stlpips-vgg,True,7,0.0068135261535644,0.3340563178062439
deblurred_nb3,0062_lp_dnn_15_bear_10_n02134084_4923,stlpips-vgg,True,15,0.0071809291839599,0.8961105942726135
deblurred_nb3,0063_lp_dnn_1_chair_10_n04429376_5238,stlpips-vgg,True,1,0.0074124336242675,0.3020008504390716
deblurred_nb3,0064_lp_dnn_0_clock_10_n03196217_2414,stlpips-vgg,True,0,0.0072720050811767,0.0
deblurred_nb3,0065_lp_dnn_3_bird_10_n01797886_2711,stlpips-vgg,True,3,0.0074260234832763,0.8499650359153748
deblurred_nb3,0066_lp_dnn_15_truck_10_n04467665_68463,stlpips-vgg,True,15,0.0068941116333007,0.6320101022720337
deblurred_nb3,0067_lp_dnn_0_truck_10_n03417042_10099,stlpips-vgg,True,0,0.0071408748626708,0.0
deblurred_nb3,0068_lp_dnn_10_bear_10_n02134418_3793,stlpips-vgg,True,10,0.0071535110473632,0.6423191428184509
deblurred_nb3,0069_lp_dnn_10_bottle_10_n03937543_9524,stlpips-vgg,True,10,0.0071578025817871,0.6346734762191772
deblurred_nb3,0070_lp_dnn_3_cat_10_n02123394_1038,stlpips-vgg,True,3,0.0069572925567626,0.4983602166175842
