dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,stlpips,True,5,0.0043156147003173,0.7064006328582764
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,stlpips,True,1,0.0042042732238769,0.0691321864724159
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,stlpips,True,3,0.0041489601135253,0.3212718963623047
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,stlpips,True,7,0.0040583610534667,0.7524762153625488
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,stlpips,True,7,0.0040574073791503,0.576945424079895
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,stlpips,True,1,0.004267930984497,0.0764612257480621
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,stlpips,True,10,0.0041484832763671,0.6903589367866516
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,stlpips,True,5,0.0038692951202392,0.5462300777435303
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,stlpips,True,3,0.0040309429168701,0.6906366944313049
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,stlpips,True,3,0.0041913986206054,0.495475709438324
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,stlpips,True,7,0.0040020942687988,0.4105307459831238
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,stlpips,True,10,0.0038759708404541,0.923974633216858
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,stlpips,True,5,0.0042741298675537,0.6828767657279968
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,stlpips,True,1,0.0041465759277343,0.1082303673028945
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,stlpips,True,7,0.0040631294250488,0.701752781867981
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,stlpips,True,10,0.0039527416229248,0.732927143573761
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,stlpips,True,15,0.0040023326873779,0.9179510474205016
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,stlpips,True,10,0.0040192604064941,0.8870664834976196
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,stlpips,True,1,0.0041460990905761,0.0576276406645774
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,stlpips,True,7,0.0040674209594726,0.8301888108253479
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,stlpips,True,15,0.0039150714874267,0.8514740467071533
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,stlpips,True,7,0.0038928985595703,0.7278889417648315
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,stlpips,True,5,0.0040295124053955,0.729511022567749
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,stlpips,True,0,0.0042140483856201,0.0
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,stlpips,True,7,0.0042216777801513,0.751924455165863
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,stlpips,True,10,0.0041146278381347,0.900754451751709
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,stlpips,True,5,0.0038654804229736,0.702505350112915
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,stlpips,True,1,0.0042750835418701,0.1082073673605918
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,stlpips,True,7,0.0039870738983154,0.7893072366714478
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,stlpips,True,10,0.0039036273956298,0.982335090637207
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,stlpips,True,3,0.0039443969726562,0.5839667916297913
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,stlpips,True,15,0.0040211677551269,0.9107711315155028
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,stlpips,True,3,0.0040414333343505,0.42270427942276
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,stlpips,True,0,0.0040919780731201,0.0
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,stlpips,True,10,0.0039763450622558,0.9057289361953736
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,stlpips,True,0,0.0042178630828857,0.0
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,stlpips,True,1,0.0041236877441406,0.0471655167639255
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,stlpips,True,7,0.003941535949707,0.4152293801307678
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,stlpips,True,15,0.0042273998260498,0.9454641342163086
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,stlpips,True,10,0.0040712356567382,0.7935611009597778
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,stlpips,True,15,0.0039176940917968,0.6622828245162964
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,stlpips,True,7,0.0038440227508544,0.6098685264587402
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,stlpips,True,1,0.0039119720458984,0.0402706936001777
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,stlpips,True,1,0.004288911819458,0.1437972784042358
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,stlpips,True,5,0.0039882659912109,0.6723700165748596
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,stlpips,True,7,0.0041031837463378,0.7721384763717651
deblurred_nb3,0053_lp_dnn_0_knife_10_n03041632_22570,stlpips,True,0,0.0041339397430419,0.0
deblurred_nb3,0054_lp_dnn_0_bear_10_n02132136_7586,stlpips,True,0,0.0041782855987548,0.0
deblurred_nb3,0055_lp_dnn_5_clock_10_n04548280_9144,stlpips,True,5,0.0040547847747802,0.7255519032478333
deblurred_nb3,0056_lp_dnn_0_bottle_10_n04591713_2680,stlpips,True,0,0.0042717456817626,0.0
deblurred_nb3,0057_lp_dnn_3_cat_10_n02123045_1596,stlpips,True,3,0.0042097568511962,0.545897901058197
deblurred_nb3,0058_lp_dnn_10_cat_10_n02123597_19450,stlpips,True,10,0.0041685104370117,0.6320008039474487
deblurred_nb3,0059_lp_dnn_15_chair_10_n03376595_3462,stlpips,True,15,0.0038723945617675,0.3985401690006256
