dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_fr-pipal,False,5,0.019382715225219727,0.18340341746807098
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_fr-pipal,False,1,0.018749475479125977,0.7093225717544556
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_fr-pipal,False,3,0.018569231033325195,0.5078307390213013
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_fr-pipal,False,7,0.01856088638305664,0.1477515697479248
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_fr-pipal,False,7,0.01853156089782715,0.20911790430545807
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,topiq_fr-pipal,False,1,0.018851757049560547,0.6922118067741394
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_fr-pipal,False,10,0.018566370010375977,0.13058774173259735
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,topiq_fr-pipal,False,5,0.018358707427978516,0.24458344280719757
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_fr-pipal,False,3,0.01858973503112793,0.42882123589515686
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_fr-pipal,False,3,0.018680810928344727,0.4052965044975281
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_fr-pipal,False,7,0.018709659576416016,0.19288544356822968
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_fr-pipal,False,10,0.0184018611907959,0.16973040997982025
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_fr-pipal,False,5,0.01862931251525879,0.2603771388530731
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_fr-pipal,False,1,0.018849849700927734,0.7063077092170715
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_fr-pipal,False,7,0.01856851577758789,0.165177121758461
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_fr-pipal,False,10,0.018496274948120117,0.11570890992879868
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_fr-pipal,False,15,0.018737316131591797,0.07504812628030777
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_fr-pipal,False,10,0.01864767074584961,0.1244906559586525
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_fr-pipal,False,1,0.01877427101135254,0.7081207036972046
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_fr-pipal,False,7,0.018769502639770508,0.1574064940214157
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_fr-pipal,False,15,0.0184934139251709,0.11084385961294174
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,topiq_fr-pipal,False,7,0.01837015151977539,0.1441977322101593
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_fr-pipal,False,5,0.01871013641357422,0.29371941089630127
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_fr-pipal,False,0,0.01920604705810547,0.7639050483703613
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,topiq_fr-pipal,False,7,0.018704652786254883,0.17881257832050323
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_fr-pipal,False,10,0.01843714714050293,0.10618976503610611
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_fr-pipal,False,5,0.01827263832092285,0.25733238458633423
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_fr-pipal,False,1,0.01892375946044922,0.711078941822052
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,topiq_fr-pipal,False,7,0.01841592788696289,0.17041869461536407
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,topiq_fr-pipal,False,10,0.018604278564453125,0.1072022095322609
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,topiq_fr-pipal,False,3,0.01850581169128418,0.36963629722595215
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,topiq_fr-pipal,False,15,0.018490076065063477,0.09796743094921112
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,topiq_fr-pipal,False,3,0.018731355667114258,0.36669468879699707
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,topiq_fr-pipal,False,0,0.019016265869140625,0.8141956925392151
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,topiq_fr-pipal,False,10,0.018512964248657227,0.14549198746681213
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,topiq_fr-pipal,False,0,0.019313812255859375,0.7293640375137329
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,topiq_fr-pipal,False,1,0.01879119873046875,0.673715353012085
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,topiq_fr-pipal,False,7,0.018440723419189453,0.16183911263942719
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,topiq_fr-pipal,False,15,0.018597126007080078,0.12296056002378464
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,topiq_fr-pipal,False,10,0.01857924461364746,0.12974244356155396
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,topiq_fr-pipal,False,15,0.018440961837768555,0.09204132854938507
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,topiq_fr-pipal,False,7,0.018332481384277344,0.1672990322113037
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,topiq_fr-pipal,False,1,0.018468856811523438,0.6722463369369507
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,topiq_fr-pipal,False,1,0.018823862075805664,0.7312717437744141
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,topiq_fr-pipal,False,5,0.018424034118652344,0.18152937293052673
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,topiq_fr-pipal,False,7,0.018557310104370117,0.17599251866340637
deblurred_nb3,0053_lp_dnn_0_knife_10_n03041632_22570,topiq_fr-pipal,False,0,0.019022464752197266,0.77469801902771
deblurred_nb3,0054_lp_dnn_0_bear_10_n02132136_7586,topiq_fr-pipal,False,0,0.019327402114868164,0.8790671825408936
deblurred_nb3,0055_lp_dnn_5_clock_10_n04548280_9144,topiq_fr-pipal,False,5,0.01862788200378418,0.24829794466495514
deblurred_nb3,0056_lp_dnn_0_bottle_10_n04591713_2680,topiq_fr-pipal,False,0,0.018981456756591797,0.787903904914856
deblurred_nb3,0057_lp_dnn_3_cat_10_n02123045_1596,topiq_fr-pipal,False,3,0.018720626831054688,0.375885009765625
deblurred_nb3,0058_lp_dnn_10_cat_10_n02123597_19450,topiq_fr-pipal,False,10,0.018455982208251953,0.13128094375133514
deblurred_nb3,0059_lp_dnn_15_chair_10_n03376595_3462,topiq_fr-pipal,False,15,0.0184018611907959,0.09651651233434677
deblurred_nb3,0060_lp_dnn_3_bottle_10_n04591713_3683,topiq_fr-pipal,False,3,0.018672943115234375,0.377153217792511
deblurred_nb3,0061_lp_dnn_7_clock_10_n03196217_4309,topiq_fr-pipal,False,7,0.018229961395263672,0.24029619991779327
deblurred_nb3,0062_lp_dnn_15_bear_10_n02134084_4923,topiq_fr-pipal,False,15,0.018546342849731445,0.11458492279052734
deblurred_nb3,0063_lp_dnn_1_chair_10_n04429376_5238,topiq_fr-pipal,False,1,0.018867969512939453,0.7234257459640503
deblurred_nb3,0064_lp_dnn_0_clock_10_n03196217_2414,topiq_fr-pipal,False,0,0.019016504287719727,0.8775860667228699
deblurred_nb3,0065_lp_dnn_3_bird_10_n01797886_2711,topiq_fr-pipal,False,3,0.018871307373046875,0.39365577697753906
deblurred_nb3,0066_lp_dnn_15_truck_10_n04467665_68463,topiq_fr-pipal,False,15,0.018316268920898438,0.0756259635090828
deblurred_nb3,0067_lp_dnn_0_truck_10_n03417042_10099,topiq_fr-pipal,False,0,0.018819570541381836,0.8323904275894165
deblurred_nb3,0068_lp_dnn_10_bear_10_n02134418_3793,topiq_fr-pipal,False,10,0.0186769962310791,0.15926527976989746
deblurred_nb3,0069_lp_dnn_10_bottle_10_n03937543_9524,topiq_fr-pipal,False,10,0.01898670196533203,0.10963484644889832
deblurred_nb3,0070_lp_dnn_3_cat_10_n02123394_1038,topiq_fr-pipal,False,3,0.018721342086791992,0.37948930263519287
deblurred_nb3,0071_lp_dnn_5_dog_10_n02110185_7886,topiq_fr-pipal,False,5,0.018555641174316406,0.28234273195266724
deblurred_nb3,0072_lp_dnn_3_clock_10_n02708093_4912,topiq_fr-pipal,False,3,0.018715620040893555,0.36933308839797974
deblurred_nb3,0073_lp_dnn_15_dog_10_n02108422_932,topiq_fr-pipal,False,15,0.01862025260925293,0.11493758112192154
deblurred_nb3,0074_lp_dnn_0_truck_10_n04467665_18621,topiq_fr-pipal,False,0,0.018970251083374023,0.8271602988243103
deblurred_nb3,0075_lp_dnn_1_truck_10_n04467665_50932,topiq_fr-pipal,False,1,0.01894831657409668,0.6966080069541931
deblurred_nb3,0076_lp_dnn_1_dog_10_n02102480_7293,topiq_fr-pipal,False,1,0.018955230712890625,0.7043429613113403
deblurred_nb3,0077_lp_dnn_1_bottle_10_n04591713_4764,topiq_fr-pipal,False,1,0.018398761749267578,0.6975628733634949
deblurred_nb3,0078_lp_dnn_15_clock_10_n02708093_274,topiq_fr-pipal,False,15,0.018579483032226562,0.10600731521844864
deblurred_nb3,0079_lp_dnn_5_bottle_10_n04557648_29772,topiq_fr-pipal,False,5,0.018729448318481445,0.25191932916641235
deblurred_nb3,0080_lp_dnn_15_car_10_n03100240_22499,topiq_fr-pipal,False,15,0.01856207847595215,0.10558927804231644
deblurred_nb3,0081_lp_dnn_3_clock_10_n02708093_6252,topiq_fr-pipal,False,3,0.018531322479248047,0.32429325580596924
deblurred_nb3,0082_lp_dnn_10_airplane_10_n02690373_5427,topiq_fr-pipal,False,10,0.018385887145996094,0.1306339055299759
deblurred_nb3,0083_lp_dnn_15_dog_10_n02107142_46045,topiq_fr-pipal,False,15,0.01853632926940918,0.10334057360887527
deblurred_nb3,0085_lp_dnn_3_bicycle_10_n03792782_12421,topiq_fr-pipal,False,3,0.01873469352722168,0.34081852436065674
deblurred_nb3,0086_lp_dnn_0_airplane_10_n02690373_1310,topiq_fr-pipal,False,0,0.018512725830078125,0.7846718430519104
deblurred_nb3,0087_lp_dnn_15_oven_10_n04111531_8793,topiq_fr-pipal,False,15,0.01819014549255371,0.08205738663673401
deblurred_nb3,0088_lp_dnn_5_airplane_10_n02690373_633,topiq_fr-pipal,False,5,0.018314838409423828,0.22584892809391022
deblurred_nb3,0089_lp_dnn_5_clock_10_n02708093_2307,topiq_fr-pipal,False,5,0.0185391902923584,0.24068289995193481
deblurred_nb3,0090_lp_dnn_10_oven_10_n04111531_13795,topiq_fr-pipal,False,10,0.018436670303344727,0.1510632336139679
deblurred_nb3,0091_lp_dnn_3_boat_10_n03662601_1427,topiq_fr-pipal,False,3,0.018404006958007812,0.3271775245666504
deblurred_nb3,0092_lp_dnn_5_boat_10_n04612504_15944,topiq_fr-pipal,False,5,0.01867818832397461,0.2584633231163025
deblurred_nb3,0094_lp_dnn_7_elephant_10_n02504458_1848,topiq_fr-pipal,False,7,0.0185697078704834,0.20707732439041138
deblurred_nb3,0095_lp_dnn_5_oven_10_n04111531_4155,topiq_fr-pipal,False,5,0.018450260162353516,0.1899692416191101
deblurred_nb3,0096_lp_dnn_0_car_10_n03100240_8327,topiq_fr-pipal,False,0,0.019007444381713867,0.867902398109436
deblurred_nb3,0097_lp_dnn_0_chair_10_n04429376_24319,topiq_fr-pipal,False,0,0.018987178802490234,0.8438817262649536
deblurred_nb3,0098_lp_dnn_3_chair_10_n03376595_5112,topiq_fr-pipal,False,3,0.018582820892333984,0.40139782428741455
deblurred_nb3,0099_lp_dnn_1_cat_10_n02124075_2268,topiq_fr-pipal,False,1,0.018690109252929688,0.688122034072876
deblurred_nb3,0100_lp_dnn_3_boat_10_n04273569_1137,topiq_fr-pipal,False,3,0.018379688262939453,0.4347558915615082
deblurred_nb3,0101_lp_dnn_1_chair_10_n02791124_15383,topiq_fr-pipal,False,1,0.01870870590209961,0.7157210111618042
