dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,vif,False,5,0.03469276428222656,0.09615260362625122
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,vif,False,1,0.03463125228881836,0.6520738005638123
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,vif,False,3,0.034542083740234375,0.29179632663726807
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,vif,False,7,0.03466057777404785,0.08449611812829971
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,vif,False,7,0.0343625545501709,0.11585600674152374
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,vif,False,1,0.034886837005615234,0.6650551557540894
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,vif,False,10,0.0345768928527832,0.0664491131901741
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,vif,False,5,0.03436899185180664,0.1106209009885788
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,vif,False,3,0.03455829620361328,0.14160653948783875
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,vif,False,3,0.03453564643859863,0.23626409471035004
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,vif,False,7,0.03431391716003418,0.12336394190788269
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,vif,False,10,0.03443002700805664,0.0224166102707386
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,vif,False,5,0.03455185890197754,0.09108157455921173
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,vif,False,1,0.03449249267578125,0.661109447479248
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,vif,False,7,0.034461021423339844,0.06669820100069046
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,vif,False,10,0.0344548225402832,0.05549129098653793
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,vif,False,15,0.0343775749206543,0.012180144898593426
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,vif,False,10,0.03465080261230469,0.02393476292490959
