dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,vsi,False,5,0.009787797927856445,0.8949173333631584
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,vsi,False,1,0.009712696075439453,0.9879230852496558
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,vsi,False,3,0.009628772735595703,0.9623217446753141
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,vsi,False,7,0.009531736373901367,0.8950973133094853
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,vsi,False,7,0.00948476791381836,0.9434798668611436
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,vsi,False,1,0.009793758392333984,0.985598259447998
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,vsi,False,10,0.009604454040527344,0.897430229282903
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,vsi,False,5,0.009314775466918945,0.8854756260080123
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,vsi,False,3,0.009519577026367188,0.8577256013332895
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,vsi,False,3,0.009711503982543945,0.9453576927747775
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,vsi,False,7,0.009533882141113281,0.9189646618837299
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,vsi,False,10,0.00934290885925293,0.7652062552836514
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,vsi,False,5,0.009644269943237305,0.8646965794172857
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,vsi,False,1,0.00961446762084961,0.9798556708320043
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,vsi,False,7,0.009570598602294922,0.9215149123360282
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,vsi,False,10,0.009354591369628906,0.9150998437083981
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,vsi,False,15,0.009419441223144531,0.778980713336044
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,vsi,False,10,0.009438276290893555,0.8054356330711724
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,vsi,False,1,0.009581565856933594,0.9908680827831094
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,vsi,False,7,0.00948023796081543,0.8741667172689322
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,vsi,False,15,0.009291648864746094,0.8355671008600294
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,vsi,False,7,0.009336471557617188,0.8824919462453658
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,vsi,False,5,0.009457111358642578,0.857374919585182
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,vsi,False,0,0.009937763214111328,0.9956691843801527
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,vsi,False,7,0.00957489013671875,0.8479197692403536
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,vsi,False,10,0.009369850158691406,0.8479433208690057
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,vsi,False,5,0.009225130081176758,0.8978824331874053
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,vsi,False,1,0.009737253189086914,0.9813218079535587
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,vsi,False,7,0.00937962532043457,0.8397685062723496
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,vsi,False,10,0.009284257888793945,0.7919714091002324
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,vsi,False,3,0.009311437606811523,0.9243966385036094
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,vsi,False,15,0.009461641311645508,0.8070648281252454
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,vsi,False,3,0.009541034698486328,0.9603739963856511
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,vsi,False,0,0.009802579879760742,0.985772525584781
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,vsi,False,10,0.009360313415527344,0.8383287964570415
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,vsi,False,0,0.009944438934326172,0.9944919812516855
