dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa+,False,5,0.08257365226745605,0.10422845929861069
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa+,False,1,0.012451887130737305,0.44018393754959106
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa+,False,3,0.01217031478881836,0.1949508786201477
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa+,False,7,0.011987924575805664,0.12163133174180984
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa+,False,7,0.01195216178894043,0.18426527082920074
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa+,False,1,0.012110471725463867,0.4363532066345215
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa+,False,10,0.011979818344116211,0.09751706570386887
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa+,False,5,0.011923789978027344,0.12790091335773468
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa+,False,3,0.011995553970336914,0.18353959918022156
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa+,False,3,0.011980295181274414,0.2595975399017334
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa+,False,7,0.011894464492797852,0.16247500479221344
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa+,False,10,0.01196742057800293,0.10108346492052078
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa+,False,5,0.011937856674194336,0.1345343291759491
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa+,False,1,0.012078046798706055,0.5775484442710876
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa+,False,7,0.011887311935424805,0.07976311445236206
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa+,False,10,0.011885404586791992,0.17160414159297943
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa+,False,15,0.011840343475341797,0.1698179692029953
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,clipiqa+,False,10,0.011881828308105469,0.1718507558107376
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,clipiqa+,False,1,0.012043237686157227,0.5030288100242615
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,clipiqa+,False,7,0.011902093887329102,0.09923859685659409
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,clipiqa+,False,15,0.011826038360595703,0.18110841512680054
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,clipiqa+,False,7,0.011861085891723633,0.1749877780675888
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,clipiqa+,False,5,0.011984109878540039,0.10769527405500412
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,clipiqa+,False,0,0.012145280838012695,0.3340102434158325
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,clipiqa+,False,7,0.01196908950805664,0.0734187662601471
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,clipiqa+,False,10,0.011846542358398438,0.15552160143852234
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,clipiqa+,False,5,0.011906862258911133,0.1291324347257614
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,clipiqa+,False,1,0.012119531631469727,0.5486723184585571
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,clipiqa+,False,7,0.011900901794433594,0.20456790924072266
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,clipiqa+,False,10,0.011961221694946289,0.14985938370227814
