dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa+_rn50_512,False,5,0.0884559154510498,0.08061084896326065
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa+_rn50_512,False,1,0.012917757034301758,0.35625985264778137
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa+_rn50_512,False,3,0.01227879524230957,0.1638573855161667
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa+_rn50_512,False,7,0.012082099914550781,0.11807926744222641
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa+_rn50_512,False,7,0.012010335922241211,0.1894420087337494
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa+_rn50_512,False,1,0.012218713760375977,0.3888663649559021
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa+_rn50_512,False,10,0.011991262435913086,0.13409079611301422
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa+_rn50_512,False,5,0.01197052001953125,0.09822722524404526
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa+_rn50_512,False,3,0.01207113265991211,0.1344570517539978
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa+_rn50_512,False,3,0.012038707733154297,0.1706218719482422
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa+_rn50_512,False,7,0.012033700942993164,0.17993661761283875
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa+_rn50_512,False,10,0.011913776397705078,0.11972096562385559
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa+_rn50_512,False,5,0.011970996856689453,0.13364318013191223
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa+_rn50_512,False,1,0.012119054794311523,0.5149391293525696
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa+_rn50_512,False,7,0.011945724487304688,0.09764403849840164
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa+_rn50_512,False,10,0.011934518814086914,0.16746264696121216
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa+_rn50_512,False,15,0.011916160583496094,0.20004042983055115
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,clipiqa+_rn50_512,False,10,0.011934757232666016,0.2178863137960434
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,clipiqa+_rn50_512,False,1,0.012131929397583008,0.3867713510990143
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,clipiqa+_rn50_512,False,7,0.012290716171264648,0.11160076409578323
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,clipiqa+_rn50_512,False,15,0.011803627014160156,0.2366037219762802
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,clipiqa+_rn50_512,False,7,0.011896610260009766,0.1231885477900505
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,clipiqa+_rn50_512,False,5,0.012007951736450195,0.08022619783878326
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,clipiqa+_rn50_512,False,0,0.012180805206298828,0.23765814304351807
