dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa+_vitL14_512,False,5,0.2655508518218994,0.2153143137693405
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa+_vitL14_512,False,1,0.0344610214233398,0.4560364186763763
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa+_vitL14_512,False,3,0.033860445022583,0.237637773156166
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa+_vitL14_512,False,7,0.0342190265655517,0.2073720544576645
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa+_vitL14_512,False,7,0.0341877937316894,0.1915898770093917
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa+_vitL14_512,False,1,0.0340187549591064,0.3809512257575989
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa+_vitL14_512,False,10,0.0343034267425537,0.1569691896438598
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa+_vitL14_512,False,5,0.0342016220092773,0.1618293821811676
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa+_vitL14_512,False,3,0.0342304706573486,0.141438603401184
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa+_vitL14_512,False,3,0.0459346771240234,0.1955454796552658
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa+_vitL14_512,False,7,0.0343275070190429,0.287032276391983
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa+_vitL14_512,False,10,0.0340392589569091,0.2280423194169998
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa+_vitL14_512,False,5,0.0342497825622558,0.2771507501602173
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa+_vitL14_512,False,1,0.0342090129852294,0.4731663167476654
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa+_vitL14_512,False,7,0.0340781211853027,0.2513708770275116
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa+_vitL14_512,False,10,0.0342774391174316,0.2428312450647354
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa+_vitL14_512,False,15,0.0341930389404296,0.21909199655056
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,clipiqa+_vitL14_512,False,10,0.0342140197753906,0.179645374417305
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,clipiqa+_vitL14_512,False,1,0.0341324806213378,0.3945485353469848
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,clipiqa+_vitL14_512,False,7,0.0341472625732421,0.158632293343544
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,clipiqa+_vitL14_512,False,15,0.0344998836517334,0.3359294831752777
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,clipiqa+_vitL14_512,False,7,0.0342798233032226,0.3538859784603119
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,clipiqa+_vitL14_512,False,5,0.034083604812622,0.1222655847668647
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,clipiqa+_vitL14_512,False,0,0.0343732833862304,0.4945032298564911
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,clipiqa+_vitL14_512,False,7,0.0341684818267822,0.1461091339588165
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,clipiqa+_vitL14_512,False,10,0.0338916778564453,0.2418693751096725
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,clipiqa+_vitL14_512,False,5,0.0343656539916992,0.2649558186531067
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,clipiqa+_vitL14_512,False,1,0.0342798233032226,0.4786273539066314
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,clipiqa+_vitL14_512,False,7,0.033954381942749,0.239137589931488
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,clipiqa+_vitL14_512,False,10,0.034360647201538,0.2116267830133438
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,clipiqa+_vitL14_512,False,3,0.0343904495239257,0.1291188150644302
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,clipiqa+_vitL14_512,False,15,0.0340032577514648,0.199160099029541
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,clipiqa+_vitL14_512,False,3,0.03407883644104,0.2679503262042999
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,clipiqa+_vitL14_512,False,0,0.0344676971435546,0.5511910915374756
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,clipiqa+_vitL14_512,False,10,0.0340945720672607,0.1701519340276718
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,clipiqa+_vitL14_512,False,0,0.0341565608978271,0.2662529349327087
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,clipiqa+_vitL14_512,False,1,0.034219741821289,0.6370083093643188
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,clipiqa+_vitL14_512,False,7,0.0343904495239257,0.2851487398147583
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,clipiqa+_vitL14_512,False,15,0.0340857505798339,0.2228180170059204
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,clipiqa+_vitL14_512,False,10,0.0341799259185791,0.1905136406421661
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,clipiqa+_vitL14_512,False,15,0.0341484546661376,0.3112906813621521
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,clipiqa+_vitL14_512,False,7,0.0341920852661132,0.2100166231393814
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,clipiqa+_vitL14_512,False,1,0.0343761444091796,0.4167433381080627
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,clipiqa+_vitL14_512,False,1,0.0339932441711425,0.3320544064044952
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,clipiqa+_vitL14_512,False,5,0.0342049598693847,0.399762213230133
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,clipiqa+_vitL14_512,False,7,0.0342128276824951,0.1669217944145202
deblurred_nb3,0053_lp_dnn_0_knife_10_n03041632_22570,clipiqa+_vitL14_512,False,0,0.0340254306793212,0.5663996338844299
deblurred_nb3,0054_lp_dnn_0_bear_10_n02132136_7586,clipiqa+_vitL14_512,False,0,0.0343878269195556,0.3955848813056946
deblurred_nb3,0055_lp_dnn_5_clock_10_n04548280_9144,clipiqa+_vitL14_512,False,5,0.034233808517456,0.1778573095798492
deblurred_nb3,0056_lp_dnn_0_bottle_10_n04591713_2680,clipiqa+_vitL14_512,False,0,0.0340492725372314,0.6796742677688599
deblurred_nb3,0057_lp_dnn_3_cat_10_n02123045_1596,clipiqa+_vitL14_512,False,3,0.034311294555664,0.1753140240907669
deblurred_nb3,0058_lp_dnn_10_cat_10_n02123597_19450,clipiqa+_vitL14_512,False,10,0.0345964431762695,0.2550403773784637
deblurred_nb3,0059_lp_dnn_15_chair_10_n03376595_3462,clipiqa+_vitL14_512,False,15,0.0341019630432128,0.359684556722641
deblurred_nb3,0060_lp_dnn_3_bottle_10_n04591713_3683,clipiqa+_vitL14_512,False,3,0.0341618061065673,0.3375962674617767
deblurred_nb3,0061_lp_dnn_7_clock_10_n03196217_4309,clipiqa+_vitL14_512,False,7,0.0344445705413818,0.2215884625911712
deblurred_nb3,0062_lp_dnn_15_bear_10_n02134084_4923,clipiqa+_vitL14_512,False,15,0.0339219570159912,0.2097445875406265
deblurred_nb3,0063_lp_dnn_1_chair_10_n04429376_5238,clipiqa+_vitL14_512,False,1,0.0340662002563476,0.2770590484142303
deblurred_nb3,0064_lp_dnn_0_clock_10_n03196217_2414,clipiqa+_vitL14_512,False,0,0.0342209339141845,0.6406646370887756
deblurred_nb3,0065_lp_dnn_3_bird_10_n01797886_2711,clipiqa+_vitL14_512,False,3,0.0342216491699218,0.2068967074155807
deblurred_nb3,0066_lp_dnn_15_truck_10_n04467665_68463,clipiqa+_vitL14_512,False,15,0.0340120792388916,0.3879851400852203
deblurred_nb3,0067_lp_dnn_0_truck_10_n03417042_10099,clipiqa+_vitL14_512,False,0,0.0343759059906005,0.8063010573387146
deblurred_nb3,0068_lp_dnn_10_bear_10_n02134418_3793,clipiqa+_vitL14_512,False,10,0.0342168807983398,0.1785423457622528
deblurred_nb3,0069_lp_dnn_10_bottle_10_n03937543_9524,clipiqa+_vitL14_512,False,10,0.0382328033447265,0.1897833049297332
deblurred_nb3,0070_lp_dnn_3_cat_10_n02123394_1038,clipiqa+_vitL14_512,False,3,0.0361649990081787,0.3139948844909668
deblurred_nb3,0071_lp_dnn_5_dog_10_n02110185_7886,clipiqa+_vitL14_512,False,5,0.0341417789459228,0.2642523050308227
deblurred_nb3,0072_lp_dnn_3_clock_10_n02708093_4912,clipiqa+_vitL14_512,False,3,0.034456729888916,0.3376376330852508
deblurred_nb3,0073_lp_dnn_15_dog_10_n02108422_932,clipiqa+_vitL14_512,False,15,0.0343062877655029,0.2462990581989288
deblurred_nb3,0074_lp_dnn_0_truck_10_n04467665_18621,clipiqa+_vitL14_512,False,0,0.034003734588623,0.7234560251235962
deblurred_nb3,0075_lp_dnn_1_truck_10_n04467665_50932,clipiqa+_vitL14_512,False,1,0.0342023372650146,0.5667256116867065
deblurred_nb3,0076_lp_dnn_1_dog_10_n02102480_7293,clipiqa+_vitL14_512,False,1,0.034590721130371,0.4594870507717132
deblurred_nb3,0077_lp_dnn_1_bottle_10_n04591713_4764,clipiqa+_vitL14_512,False,1,0.0339946746826171,0.4705800414085388
deblurred_nb3,0078_lp_dnn_15_clock_10_n02708093_274,clipiqa+_vitL14_512,False,15,0.0341327190399169,0.1768861711025238
deblurred_nb3,0079_lp_dnn_5_bottle_10_n04557648_29772,clipiqa+_vitL14_512,False,5,0.0345137119293212,0.1805975437164306
deblurred_nb3,0080_lp_dnn_15_car_10_n03100240_22499,clipiqa+_vitL14_512,False,15,0.0343220233917236,0.1562748402357101
deblurred_nb3,0081_lp_dnn_3_clock_10_n02708093_6252,clipiqa+_vitL14_512,False,3,0.0340299606323242,0.4283643960952759
deblurred_nb3,0082_lp_dnn_10_airplane_10_n02690373_5427,clipiqa+_vitL14_512,False,10,0.0344891548156738,0.1997103989124298
deblurred_nb3,0083_lp_dnn_15_dog_10_n02107142_46045,clipiqa+_vitL14_512,False,15,0.0342774391174316,0.2802199721336365
deblurred_nb3,0085_lp_dnn_3_bicycle_10_n03792782_12421,clipiqa+_vitL14_512,False,3,0.0340738296508789,0.2407716214656829
deblurred_nb3,0086_lp_dnn_0_airplane_10_n02690373_1310,clipiqa+_vitL14_512,False,0,0.0340228080749511,0.5937521457672119
deblurred_nb3,0087_lp_dnn_15_oven_10_n04111531_8793,clipiqa+_vitL14_512,False,15,0.0345156192779541,0.2341144531965255
deblurred_nb3,0088_lp_dnn_5_airplane_10_n02690373_633,clipiqa+_vitL14_512,False,5,0.0460832118988037,0.2375013381242752
deblurred_nb3,0089_lp_dnn_5_clock_10_n02708093_2307,clipiqa+_vitL14_512,False,5,0.0343015193939209,0.1906901746988296
deblurred_nb3,0090_lp_dnn_10_oven_10_n04111531_13795,clipiqa+_vitL14_512,False,10,0.0343267917633056,0.1876307725906372
