dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa,False,5,0.116586685180664,0.0889980867505073
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa,False,1,0.0198981761932373,0.4270759522914886
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa,False,3,0.0256407260894775,0.2231603115797042
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa,False,7,0.0257806777954101,0.1421209424734115
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa,False,7,0.0257637500762939,0.2019398659467697
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa,False,1,0.0168557167053222,0.6989372372627258
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa,False,10,0.0160531997680664,0.185234248638153
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa,False,5,0.0254116058349609,0.1901992261409759
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa,False,3,0.0255379676818847,0.1852475255727768
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa,False,3,0.0236127376556396,0.3089334964752197
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa,False,7,0.0256569385528564,0.1618083268404007
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa,False,10,0.0371181964874267,0.1661510616540908
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa,False,5,0.0175755023956298,0.1449855715036392
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa,False,1,0.0255603790283203,0.6408130526542664
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa,False,7,0.0256960391998291,0.1737657636404037
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa,False,10,0.0255706310272216,0.2276675999164581
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa,False,15,0.0174000263214111,0.2296828776597976
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,clipiqa,False,10,0.0174551010131835,0.2357286512851715
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,clipiqa,False,1,0.0175795555114746,0.2653528153896332
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,clipiqa,False,7,0.0256752967834472,0.2171419113874435
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,clipiqa,False,15,0.0167498588562011,0.2643089890480041
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,clipiqa,False,7,0.0170910358428955,0.1800304949283599
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,clipiqa,False,5,0.0259323120117187,0.1484095007181167
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,clipiqa,False,0,0.0168690681457519,0.5281917452812195
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,clipiqa,False,7,0.0162935256958007,0.1116247400641441
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,clipiqa,False,10,0.0258045196533203,0.2472287863492965
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,clipiqa,False,5,0.0171756744384765,0.2679195404052734
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,clipiqa,False,1,0.0171947479248046,0.6490506529808044
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,clipiqa,False,7,0.0256924629211425,0.2215996235609054
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,clipiqa,False,10,0.0256848335266113,0.220846801996231
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,clipiqa,False,3,0.0257773399353027,0.269851952791214
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,clipiqa,False,15,0.0255942344665527,0.1825274676084518
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,clipiqa,False,3,0.0255868434906005,0.2449250668287277
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,clipiqa,False,0,0.0257456302642822,0.4644343554973602
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,clipiqa,False,10,0.0170338153839111,0.1267019510269165
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,clipiqa,False,0,0.0445959568023681,0.2455526441335678
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,clipiqa,False,1,0.0301136970520019,0.4836747348308563
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,clipiqa,False,7,0.020029067993164,0.1595264226198196
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,clipiqa,False,15,0.0199294090270996,0.2302427142858505
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,clipiqa,False,10,0.0471048355102539,0.1914557665586471
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,clipiqa,False,15,0.0252742767333984,0.2763569951057434
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,clipiqa,False,7,0.0252223014831542,0.2295947521924972
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,clipiqa,False,1,0.0166666507720947,0.535559356212616
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,clipiqa,False,1,0.0232379436492919,0.6624266505241394
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,clipiqa,False,5,0.0250742435455322,0.1092300787568092
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,clipiqa,False,7,0.0252919197082519,0.1125617027282714
deblurred_nb3,0053_lp_dnn_0_knife_10_n03041632_22570,clipiqa,False,0,0.024857759475708,0.6359152793884277
deblurred_nb3,0054_lp_dnn_0_bear_10_n02132136_7586,clipiqa,False,0,0.0250294208526611,0.7021985054016113
deblurred_nb3,0055_lp_dnn_5_clock_10_n04548280_9144,clipiqa,False,5,0.0236134529113769,0.0832397863268852
deblurred_nb3,0056_lp_dnn_0_bottle_10_n04591713_2680,clipiqa,False,0,0.0239686965942382,0.6347883343696594
deblurred_nb3,0057_lp_dnn_3_cat_10_n02123045_1596,clipiqa,False,3,0.0253314971923828,0.1791127026081085
deblurred_nb3,0058_lp_dnn_10_cat_10_n02123597_19450,clipiqa,False,10,0.0250835418701171,0.203445702791214
deblurred_nb3,0059_lp_dnn_15_chair_10_n03376595_3462,clipiqa,False,15,0.0167510509490966,0.3148772716522217
deblurred_nb3,0060_lp_dnn_3_bottle_10_n04591713_3683,clipiqa,False,3,0.0252790451049804,0.1506330072879791
deblurred_nb3,0061_lp_dnn_7_clock_10_n03196217_4309,clipiqa,False,7,0.0167465209960937,0.3284043669700622
deblurred_nb3,0062_lp_dnn_15_bear_10_n02134084_4923,clipiqa,False,15,0.0255553722381591,0.315161794424057
deblurred_nb3,0063_lp_dnn_1_chair_10_n04429376_5238,clipiqa,False,1,0.0167324542999267,0.3749256730079651
deblurred_nb3,0064_lp_dnn_0_clock_10_n03196217_2414,clipiqa,False,0,0.0251691341400146,0.6542019844055176
deblurred_nb3,0065_lp_dnn_3_bird_10_n01797886_2711,clipiqa,False,3,0.0250976085662841,0.1381036192178726
deblurred_nb3,0066_lp_dnn_15_truck_10_n04467665_68463,clipiqa,False,15,0.0249719619750976,0.2803724408149719
deblurred_nb3,0067_lp_dnn_0_truck_10_n03417042_10099,clipiqa,False,0,0.0213868618011474,0.7288222908973694
deblurred_nb3,0068_lp_dnn_10_bear_10_n02134418_3793,clipiqa,False,10,0.0249626636505126,0.2065930664539337
deblurred_nb3,0069_lp_dnn_10_bottle_10_n03937543_9524,clipiqa,False,10,0.0250012874603271,0.1341287791728973
deblurred_nb3,0070_lp_dnn_3_cat_10_n02123394_1038,clipiqa,False,3,0.0249021053314209,0.2888148427009582
deblurred_nb3,0071_lp_dnn_5_dog_10_n02110185_7886,clipiqa,False,5,0.0247900485992431,0.1930053681135177
deblurred_nb3,0072_lp_dnn_3_clock_10_n02708093_4912,clipiqa,False,3,0.0251941680908203,0.2377561330795288
deblurred_nb3,0073_lp_dnn_15_dog_10_n02108422_932,clipiqa,False,15,0.0246889591217041,0.2182050496339798
deblurred_nb3,0074_lp_dnn_0_truck_10_n04467665_18621,clipiqa,False,0,0.022458791732788,0.5657259821891785
deblurred_nb3,0075_lp_dnn_1_truck_10_n04467665_50932,clipiqa,False,1,0.016951560974121,0.4254573285579681
deblurred_nb3,0076_lp_dnn_1_dog_10_n02102480_7293,clipiqa,False,1,0.0251171588897705,0.5531815886497498
deblurred_nb3,0077_lp_dnn_1_bottle_10_n04591713_4764,clipiqa,False,1,0.0170373916625976,0.4373443126678467
deblurred_nb3,0078_lp_dnn_15_clock_10_n02708093_274,clipiqa,False,15,0.0250070095062255,0.2156469374895095
deblurred_nb3,0079_lp_dnn_5_bottle_10_n04557648_29772,clipiqa,False,5,0.024871826171875,0.0886647328734397
deblurred_nb3,0080_lp_dnn_15_car_10_n03100240_22499,clipiqa,False,15,0.0249354839324951,0.2400879859924316
deblurred_nb3,0081_lp_dnn_3_clock_10_n02708093_6252,clipiqa,False,3,0.0250532627105712,0.3143104016780853
deblurred_nb3,0082_lp_dnn_10_airplane_10_n02690373_5427,clipiqa,False,10,0.0255453586578369,0.1941522657871246
deblurred_nb3,0083_lp_dnn_15_dog_10_n02107142_46045,clipiqa,False,15,0.0188772678375244,0.2104237824678421
deblurred_nb3,0085_lp_dnn_3_bicycle_10_n03792782_12421,clipiqa,False,3,0.0159084796905517,0.1569618582725525
deblurred_nb3,0086_lp_dnn_0_airplane_10_n02690373_1310,clipiqa,False,0,0.0171012878417968,0.6842272877693176
deblurred_nb3,0087_lp_dnn_15_oven_10_n04111531_8793,clipiqa,False,15,0.0396575927734375,0.2256765663623809
deblurred_nb3,0088_lp_dnn_5_airplane_10_n02690373_633,clipiqa,False,5,0.0392494201660156,0.1254018396139145
deblurred_nb3,0089_lp_dnn_5_clock_10_n02708093_2307,clipiqa,False,5,0.0176372528076171,0.1767313778400421
deblurred_nb3,0090_lp_dnn_10_oven_10_n04111531_13795,clipiqa,False,10,0.0249779224395751,0.1620783656835556
deblurred_nb3,0091_lp_dnn_3_boat_10_n03662601_1427,clipiqa,False,3,0.0264594554901123,0.1829117536544799
