dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,cnniqa,False,5,0.015200614929199219,0.28997185826301575
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,cnniqa,False,1,0.015049934387207031,0.45996230840682983
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,cnniqa,False,3,0.014750003814697266,0.3953505754470825
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,cnniqa,False,7,0.014715909957885742,0.1751999706029892
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,cnniqa,False,7,0.014678478240966797,0.1885330229997635
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,cnniqa,False,1,0.014887571334838867,0.49148523807525635
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,cnniqa,False,10,0.01475667953491211,0.2671963572502136
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,cnniqa,False,5,0.014681577682495117,0.3831809163093567
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,cnniqa,False,3,0.014772176742553711,0.3172265589237213
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,cnniqa,False,3,0.014772415161132812,0.3081910014152527
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,cnniqa,False,7,0.014661312103271484,0.13268600404262543
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,cnniqa,False,10,0.01468038558959961,0.254545658826828
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,cnniqa,False,5,0.014725685119628906,0.29554855823516846
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,cnniqa,False,1,0.014944314956665039,0.4536498486995697
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,cnniqa,False,7,0.014688968658447266,0.22830505669116974
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,cnniqa,False,10,0.01466822624206543,0.2848038971424103
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,cnniqa,False,15,0.014641046524047852,0.3116203248500824
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,cnniqa,False,10,0.014668941497802734,0.3238070607185364
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,cnniqa,False,1,0.014825582504272461,0.43172788619995117
