dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,maniqa-kadid,False,5,0.8305046558380127,0.1292216032743454
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,maniqa-kadid,False,1,0.8576834201812744,0.2932761609554291
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,maniqa-kadid,False,3,0.8591914176940918,0.2021283358335495
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,maniqa-kadid,False,7,0.8574714660644531,0.13605666160583496
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,maniqa-kadid,False,7,0.8583569526672363,0.16413331031799316
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,maniqa-kadid,False,1,0.8605895042419434,0.2623043358325958
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,maniqa-kadid,False,10,0.8553452491760254,0.15768814086914062
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,maniqa-kadid,False,5,0.8525021076202393,0.2002013921737671
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,maniqa-kadid,False,3,0.8573868274688721,0.17978167533874512
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,maniqa-kadid,False,3,0.8580102920532227,0.1917128562927246
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,maniqa-kadid,False,7,0.8576483726501465,0.2311418354511261
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,maniqa-kadid,False,10,0.8593349456787109,0.15101413428783417
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,maniqa-kadid,False,5,0.85845947265625,0.15160271525382996
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,maniqa-kadid,False,1,0.8596413135528564,0.3084241449832916
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,maniqa-kadid,False,7,0.8588430881500244,0.16781862080097198
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,maniqa-kadid,False,10,0.8584613800048828,0.18794094026088715
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,maniqa-kadid,False,15,0.8572409152984619,0.10715562850236893
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,maniqa-kadid,False,10,0.8570051193237305,0.15434791147708893
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,maniqa-kadid,False,1,0.8580467700958252,0.25697261095046997
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,maniqa-kadid,False,7,0.8589560985565186,0.18950925767421722
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,maniqa-kadid,False,15,0.8568079471588135,0.09288644790649414
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,maniqa-kadid,False,7,0.8590075969696045,0.1585913896560669
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,maniqa-kadid,False,5,0.8595576286315918,0.14062944054603577
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,maniqa-kadid,False,0,0.8626275062561035,0.32803311944007874
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,maniqa-kadid,False,7,0.857759952545166,0.14887970685958862
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,maniqa-kadid,False,10,0.8588559627532959,0.1387561708688736
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,maniqa-kadid,False,5,0.8591687679290771,0.19687558710575104
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,maniqa-kadid,False,1,0.863760232925415,0.3009808659553528
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,maniqa-kadid,False,7,0.8588569164276123,0.20196211338043213
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,maniqa-kadid,False,10,0.8589508533477783,0.13223865628242493
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,maniqa-kadid,False,3,0.860370397567749,0.23050457239151
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,maniqa-kadid,False,15,0.861396074295044,0.12113805115222931
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,maniqa-kadid,False,3,0.8613550662994385,0.19827251136302948
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,maniqa-kadid,False,0,0.8624439239501953,0.35680076479911804
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,maniqa-kadid,False,10,0.8598332405090332,0.11849768459796906
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,maniqa-kadid,False,0,0.8609068393707275,0.25220629572868347
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,maniqa-kadid,False,1,0.8606648445129395,0.2982993721961975
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,maniqa-kadid,False,7,0.8612167835235596,0.21129384636878967
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,maniqa-kadid,False,15,0.860975980758667,0.10057007521390915
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,maniqa-kadid,False,10,0.8620338439941406,0.16471435129642487
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,maniqa-kadid,False,15,0.861058235168457,0.1219162717461586
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,maniqa-kadid,False,7,0.8616313934326172,0.17859815061092377
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,maniqa-kadid,False,1,0.8608763217926025,0.29438653588294983
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,maniqa-kadid,False,1,0.8621289730072021,0.2719515562057495
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,maniqa-kadid,False,5,0.8616342544555664,0.16203637421131134
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,maniqa-kadid,False,7,0.8642783164978027,0.13092002272605896
deblurred_nb3,0053_lp_dnn_0_knife_10_n03041632_22570,maniqa-kadid,False,0,0.863795280456543,0.2863181233406067
deblurred_nb3,0054_lp_dnn_0_bear_10_n02132136_7586,maniqa-kadid,False,0,0.864670991897583,0.2981509268283844
deblurred_nb3,0055_lp_dnn_5_clock_10_n04548280_9144,maniqa-kadid,False,5,0.8645060062408447,0.16073068976402283
deblurred_nb3,0056_lp_dnn_0_bottle_10_n04591713_2680,maniqa-kadid,False,0,0.8655235767364502,0.3295270800590515
deblurred_nb3,0057_lp_dnn_3_cat_10_n02123045_1596,maniqa-kadid,False,3,0.8632488250732422,0.2009326070547104
deblurred_nb3,0058_lp_dnn_10_cat_10_n02123597_19450,maniqa-kadid,False,10,0.8620209693908691,0.15915830433368683
deblurred_nb3,0059_lp_dnn_15_chair_10_n03376595_3462,maniqa-kadid,False,15,0.8620128631591797,0.13639017939567566
deblurred_nb3,0060_lp_dnn_3_bottle_10_n04591713_3683,maniqa-kadid,False,3,0.8624730110168457,0.20180122554302216
deblurred_nb3,0061_lp_dnn_7_clock_10_n03196217_4309,maniqa-kadid,False,7,0.8615856170654297,0.20030058920383453
deblurred_nb3,0062_lp_dnn_15_bear_10_n02134084_4923,maniqa-kadid,False,15,0.8677277565002441,0.13263453543186188
deblurred_nb3,0063_lp_dnn_1_chair_10_n04429376_5238,maniqa-kadid,False,1,0.8646574020385742,0.2687540054321289
deblurred_nb3,0064_lp_dnn_0_clock_10_n03196217_2414,maniqa-kadid,False,0,0.8639369010925293,0.37974730134010315
deblurred_nb3,0065_lp_dnn_3_bird_10_n01797886_2711,maniqa-kadid,False,3,0.8636424541473389,0.1683932989835739
deblurred_nb3,0066_lp_dnn_15_truck_10_n04467665_68463,maniqa-kadid,False,15,0.8632802963256836,0.11823566257953644
deblurred_nb3,0067_lp_dnn_0_truck_10_n03417042_10099,maniqa-kadid,False,0,0.8660101890563965,0.3749188482761383
deblurred_nb3,0068_lp_dnn_10_bear_10_n02134418_3793,maniqa-kadid,False,10,0.8644206523895264,0.18305648863315582
deblurred_nb3,0069_lp_dnn_10_bottle_10_n03937543_9524,maniqa-kadid,False,10,0.862736701965332,0.12932032346725464
deblurred_nb3,0070_lp_dnn_3_cat_10_n02123394_1038,maniqa-kadid,False,3,0.863950252532959,0.1710011512041092
deblurred_nb3,0071_lp_dnn_5_dog_10_n02110185_7886,maniqa-kadid,False,5,0.8634223937988281,0.21655826270580292
deblurred_nb3,0072_lp_dnn_3_clock_10_n02708093_4912,maniqa-kadid,False,3,0.86185622215271,0.21762824058532715
