dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,maniqa-pipal,False,5,0.8302290439605713,0.22682949900627136
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,maniqa-pipal,False,1,0.856713056564331,0.6293942928314209
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,maniqa-pipal,False,3,0.8572854995727539,0.2791396975517273
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,maniqa-pipal,False,7,0.860032320022583,0.29809069633483887
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,maniqa-pipal,False,7,0.8585770130157471,0.2234247773885727
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,maniqa-pipal,False,1,0.8561317920684814,0.5550881624221802
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,maniqa-pipal,False,10,0.856947660446167,0.2308531105518341
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,maniqa-pipal,False,5,0.8519158363342285,0.28399255871772766
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,maniqa-pipal,False,3,0.8570742607116699,0.33058440685272217
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,maniqa-pipal,False,3,0.8595297336578369,0.2736693322658539
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,maniqa-pipal,False,7,0.8577845096588135,0.32464852929115295
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,maniqa-pipal,False,10,0.8574097156524658,0.2509457767009735
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,maniqa-pipal,False,5,0.8587303161621094,0.19224542379379272
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,maniqa-pipal,False,1,0.8568000793457031,0.6046687364578247
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,maniqa-pipal,False,7,0.856952428817749,0.22859331965446472
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,maniqa-pipal,False,10,0.8552570343017578,0.2449742704629898
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,maniqa-pipal,False,15,0.8566584587097168,0.2781713604927063
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,maniqa-pipal,False,10,0.8586628437042236,0.24392640590667725
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,maniqa-pipal,False,1,0.85959792137146,0.534998893737793
