dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,maniqa,False,5,0.8827114105224609,0.1635933667421341
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,maniqa,False,1,0.8773243427276611,0.2504507899284363
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,maniqa,False,3,0.8757643699645996,0.100674994289875
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,maniqa,False,7,0.8759970664978027,0.231753408908844
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,maniqa,False,7,0.8758478164672852,0.0937582105398178
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,maniqa,False,1,0.8758976459503174,0.1541456580162048
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,maniqa,False,10,0.877605676651001,0.0993448197841644
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,maniqa,False,5,0.8783268928527832,0.1677599102258682
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,maniqa,False,3,0.8757188320159912,0.226696103811264
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,maniqa,False,3,0.8763480186462402,0.097145564854145
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,maniqa,False,7,0.8765342235565186,0.2809968292713165
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,maniqa,False,10,0.8764958381652832,0.1480036377906799
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,maniqa,False,5,0.8767318725585938,0.1475409120321273
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,maniqa,False,1,0.8756442070007324,0.2314341217279434
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,maniqa,False,7,0.8770713806152344,0.0907765477895736
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,maniqa,False,10,0.8777267932891846,0.1558965146541595
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,maniqa,False,15,0.8768496513366699,0.1847087740898132
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,maniqa,False,10,0.8770778179168701,0.1647141128778457
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,maniqa,False,1,0.8742003440856934,0.2171680927276611
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,maniqa,False,7,0.8759019374847412,0.1769423335790634
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,maniqa,False,15,0.880429744720459,0.2211173623800277
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,maniqa,False,7,0.8761422634124756,0.1591032445430755
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,maniqa,False,5,0.8766152858734131,0.1529332995414734
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,maniqa,False,0,0.8771400451660156,0.3198762536048889
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,maniqa,False,7,0.8754589557647705,0.131873220205307
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,maniqa,False,10,0.8771822452545166,0.1914481073617935
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,maniqa,False,5,0.8774328231811523,0.297995924949646
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,maniqa,False,1,0.877504825592041,0.252595990896225
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,maniqa,False,7,0.8761963844299316,0.1882846057415008
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,maniqa,False,10,0.878124475479126,0.2349223047494888
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,maniqa,False,3,0.8767561912536621,0.2002765536308288
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,maniqa,False,15,0.876237154006958,0.1874575167894363
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,maniqa,False,3,0.8756544589996338,0.1493564844131469
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,maniqa,False,0,0.8768496513366699,0.3131396472454071
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,maniqa,False,10,0.8776650428771973,0.1973239481449127
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,maniqa,False,0,0.8760414123535156,0.1995799690485
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,maniqa,False,1,0.8781301975250244,0.4329239130020141
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,maniqa,False,7,0.8771152496337891,0.2460857927799224
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,maniqa,False,15,0.8770735263824463,0.1894622445106506
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,maniqa,False,10,0.8767423629760742,0.1643520295619964
