dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,musiq-ava,False,5,0.0405852794647216,2.69314193725586
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,musiq-ava,False,1,0.0278818607330322,3.1602163314819336
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,musiq-ava,False,3,0.04939866065979,3.145005226135254
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,musiq-ava,False,7,0.0402126312255859,3.1882970333099365
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,musiq-ava,False,7,0.0403501987457275,2.9190456867218018
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,musiq-ava,False,1,0.0399093627929687,3.776755332946777
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,musiq-ava,False,10,0.0334491729736328,3.62396502494812
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,musiq-ava,False,5,0.0439786911010742,2.9570600986480717
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,musiq-ava,False,3,0.0403258800506591,2.892462730407715
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,musiq-ava,False,3,0.0401725769042968,3.4276833534240723
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,musiq-ava,False,7,0.0399811267852783,2.8238673210144043
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,musiq-ava,False,10,0.0339770317077636,3.205762386322021
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,musiq-ava,False,5,0.0438814163208007,2.9503607749938965
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,musiq-ava,False,1,0.0402197837829589,4.007748603820801
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,musiq-ava,False,7,0.040400743484497,3.655041456222534
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,musiq-ava,False,10,0.0398571491241455,3.565447807312012
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,musiq-ava,False,15,0.0337226390838623,3.472949743270874
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,musiq-ava,False,10,0.0440661907196044,3.340012311935425
