dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,musiq-spaq,False,5,0.0472621917724609,26.74190330505371
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,musiq-spaq,False,1,0.0403366088867187,41.92029571533203
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,musiq-spaq,False,3,0.0403168201446533,29.43487548828125
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,musiq-spaq,False,7,0.0397322177886962,27.631935119628903
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,musiq-spaq,False,7,0.0336406230926513,29.73757553100586
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,musiq-spaq,False,1,0.0441031455993652,46.0446662902832
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,musiq-spaq,False,10,0.0401623249053955,28.23768615722656
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,musiq-spaq,False,5,0.0403082370758056,23.61648941040039
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,musiq-spaq,False,3,0.0400207042694091,30.160335540771484
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,musiq-spaq,False,3,0.0336265563964843,34.65888214111328
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,musiq-spaq,False,7,0.0439355373382568,26.860626220703125
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,musiq-spaq,False,10,0.0403640270233154,25.231056213378903
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,musiq-spaq,False,5,0.0402166843414306,31.11910057067871
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,musiq-spaq,False,1,0.0399484634399414,55.38413238525391
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,musiq-spaq,False,7,0.0337276458740234,27.175508499145508
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,musiq-spaq,False,10,0.0437934398651123,23.58964729309082
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,musiq-spaq,False,15,0.0402355194091796,23.711244583129883
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,musiq-spaq,False,10,0.0403156280517578,25.803878784179688
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,musiq-spaq,False,1,0.0399091243743896,53.64237594604492
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,musiq-spaq,False,7,0.0338027477264404,25.49753189086914
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,musiq-spaq,False,15,0.0442667007446289,19.961212158203125
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,musiq-spaq,False,7,0.0401268005371093,20.799057006835938
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,musiq-spaq,False,5,0.0403392314910888,24.87436294555664
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,musiq-spaq,False,0,0.0401256084442138,49.498321533203125
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,musiq-spaq,False,7,0.0333821773529052,23.471492767333984
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,musiq-spaq,False,10,0.043910264968872,25.492164611816406
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,musiq-spaq,False,5,0.0401005744934082,21.41480255126953
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,musiq-spaq,False,1,0.0401067733764648,50.037254333496094
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,musiq-spaq,False,7,0.0399520397186279,26.151268005371094
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,musiq-spaq,False,10,0.0334715843200683,29.142616271972656
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,musiq-spaq,False,3,0.0438158512115478,28.70044708251953
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,musiq-spaq,False,15,0.040147066116333,22.11023330688477
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,musiq-spaq,False,3,0.0402982234954834,31.194822311401367
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,musiq-spaq,False,0,0.0398013591766357,54.4747428894043
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,musiq-spaq,False,10,0.0334644317626953,23.646921157836918
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,musiq-spaq,False,0,0.0440821647644043,47.916465759277344
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,musiq-spaq,False,1,0.0400521755218505,56.94710540771485
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,musiq-spaq,False,7,0.0402777194976806,21.31356430053711
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,musiq-spaq,False,15,0.0398783683776855,24.104766845703125
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,musiq-spaq,False,10,0.033555269241333,26.82160377502441
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,musiq-spaq,False,15,0.0440073013305664,22.09622001647949
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,musiq-spaq,False,7,0.0403075218200683,24.645471572875977
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,musiq-spaq,False,1,0.0401549339294433,58.0787467956543
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,musiq-spaq,False,1,0.0397369861602783,55.91764068603516
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,musiq-spaq,False,5,0.0337355136871337,22.890155792236328
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,musiq-spaq,False,7,0.0439209938049316,27.21792221069336
deblurred_nb3,0053_lp_dnn_0_knife_10_n03041632_22570,musiq-spaq,False,0,0.0403392314910888,71.52134704589844
deblurred_nb3,0054_lp_dnn_0_bear_10_n02132136_7586,musiq-spaq,False,0,0.040283203125,61.78635787963867
deblurred_nb3,0055_lp_dnn_5_clock_10_n04548280_9144,musiq-spaq,False,5,0.0395972728729248,32.63233947753906
