dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,nima-vgg16-ava,False,5,0.004479169845581055,4.676992416381836
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,nima-vgg16-ava,False,1,0.004367828369140625,4.40183687210083
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,nima-vgg16-ava,False,3,0.004163026809692383,4.7586517333984375
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,nima-vgg16-ava,False,7,0.004109382629394531,5.334737777709961
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,nima-vgg16-ava,False,7,0.004088640213012695,4.424134254455566
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,nima-vgg16-ava,False,1,0.00425267219543457,4.726863384246826
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,nima-vgg16-ava,False,10,0.004078865051269531,4.567549228668213
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,nima-vgg16-ava,False,5,0.004062175750732422,4.621800422668457
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,nima-vgg16-ava,False,3,0.004149198532104492,4.466472625732422
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,nima-vgg16-ava,False,3,0.004150867462158203,4.6267595291137695
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,nima-vgg16-ava,False,7,0.003939151763916016,4.992455959320068
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,nima-vgg16-ava,False,10,0.003943443298339844,4.502688884735107
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,nima-vgg16-ava,False,5,0.003993511199951172,5.133935928344727
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,nima-vgg16-ava,False,1,0.00413203239440918,4.627936363220215
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,nima-vgg16-ava,False,7,0.003952741622924805,4.9167680740356445
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,nima-vgg16-ava,False,10,0.0039365291595458984,4.148245811462402
