dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,nima,False,5,0.1025402545928955,4.243059158325195
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,nima,False,1,0.0292379856109619,3.550009727478028
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,nima,False,3,0.0341684818267822,4.416731834411621
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,nima,False,7,0.0342590808868408,3.707512855529785
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,nima,False,7,0.0354089736938476,4.709395408630371
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,nima,False,1,0.0281572341918945,4.377960205078125
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,nima,False,10,0.0320913791656494,4.278200149536133
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,nima,False,5,0.0324814319610595,4.994239807128906
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,nima,False,3,0.0345242023468017,3.660597562789917
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,nima,False,3,0.032987356185913,4.240189075469971
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,nima,False,7,0.0329484939575195,3.881561279296875
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,nima,False,10,0.0330345630645751,4.037814140319824
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,nima,False,5,0.0330228805541992,4.117944717407227
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,nima,False,1,0.0330121517181396,4.237162113189697
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,nima,False,7,0.0327386856079101,4.240218639373779
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,nima,False,10,0.0325891971588134,3.620451450347901
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,nima,False,15,0.033268928527832,3.3314270973205566
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,nima,False,10,0.0254302024841308,3.945281982421875
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,nima,False,1,0.0351879596710205,3.3061842918396
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,nima,False,7,0.0330045223236084,4.410986423492432
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,nima,False,15,0.0330150127410888,2.957426071166992
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,nima,False,7,0.0329341888427734,3.932861089706421
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,nima,False,5,0.0328936576843261,4.180902481079102
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,nima,False,0,0.0328564643859863,3.579351663589477
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,nima,False,7,0.0331943035125732,3.922539234161377
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,nima,False,10,0.0327208042144775,3.506774425506592
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,nima,False,5,0.0330009460449218,3.7122416496276855
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,nima,False,1,0.032947301864624,3.7965846061706543
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,nima,False,7,0.0331311225891113,3.935871839523315
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,nima,False,10,0.0323851108551025,3.379305362701416
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,nima,False,3,0.0329904556274414,3.499427318572998
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,nima,False,15,0.0329325199127197,3.337251663208008
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,nima,False,3,0.0329129695892334,4.238020896911621
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,nima,False,0,0.0324840545654296,4.092637062072754
