dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,niqe,True,5,0.02646183967590332,11.703833364652516
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,niqe,True,1,0.025130033493041992,4.447835320756844
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,niqe,True,3,0.025470733642578125,9.902046971340551
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,niqe,True,7,0.02505326271057129,15.517983279680555
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,niqe,True,7,0.0253753662109375,12.22273539655799
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,niqe,True,1,0.026137828826904297,4.148582389580002
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,niqe,True,10,0.022742271423339844,11.99380272364185
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,niqe,True,5,0.02291393280029297,10.702379520874278
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,niqe,True,3,0.023504972457885742,7.916275183094674
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,niqe,True,3,0.02261948585510254,8.06117004289189
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,niqe,True,7,0.022548913955688477,14.297500439952724
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,niqe,True,10,0.023451805114746094,13.86332884989689
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,niqe,True,5,0.0231475830078125,10.564018631553624
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,niqe,True,1,0.023506879806518555,2.820838848723501
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,niqe,True,7,0.022136688232421875,10.629663306736065
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,niqe,True,10,0.02289438247680664,13.315105364767984
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,niqe,True,15,0.021799564361572266,13.839353141668088
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,niqe,True,10,0.02318263053894043,12.384931695075137
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,niqe,True,1,0.02334308624267578,5.106224020623034
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,niqe,True,7,0.0230410099029541,11.368501191276543
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,niqe,True,15,0.022002696990966797,13.5942163020537
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,niqe,True,7,0.023213863372802734,11.099173343999645
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,niqe,True,5,0.022962331771850586,10.3227982982758
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,niqe,True,0,0.023314476013183594,3.747263713962531
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,niqe,True,7,0.0230557918548584,11.239563501531517
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,niqe,True,10,0.02211594581604004,11.922416493820363
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,niqe,True,5,0.023386478424072266,13.11646560486002
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,niqe,True,1,0.022998809814453125,3.828863760738448
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,niqe,True,7,0.022965431213378906,11.47788362617987
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,niqe,True,10,0.022977113723754883,12.453286873551813
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,niqe,True,3,0.022841930389404297,11.090369960587974
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,niqe,True,15,0.02263164520263672,12.3566135302022
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,niqe,True,3,0.022277116775512695,11.533816583955517
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,niqe,True,0,0.02248692512512207,3.385239258874911
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,niqe,True,10,0.022756338119506836,12.882619355209194
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,niqe,True,0,0.02318263053894043,3.4896375563920516
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,niqe,True,1,0.023185253143310547,10.684609769973704
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,niqe,True,7,0.023184537887573242,11.400532128402231
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,niqe,True,15,0.02291417121887207,13.321233758958348
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,niqe,True,10,0.02281665802001953,12.027583050093623
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,niqe,True,15,0.02323770523071289,16.0347874687788
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,niqe,True,7,0.022730588912963867,11.473060432687948
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,niqe,True,1,0.022808074951171875,7.25317078908674
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,niqe,True,1,0.022716522216796875,5.651327995601071
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,niqe,True,5,0.023047447204589844,10.863093386053194
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,niqe,True,7,0.023377180099487305,11.841848055101483
