dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,nrqm,False,5,1.6280081272125244,2.173262357711792
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,nrqm,False,1,1.684581279754639,6.787339210510254
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,nrqm,False,3,1.6536190509796145,2.4516141414642334
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,nrqm,False,7,1.6646485328674316,2.4631335735321045
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,nrqm,False,7,1.6546251773834229,1.615593671798706
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,nrqm,False,1,1.7107386589050293,7.9626922607421875
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,nrqm,False,10,1.6592028141021729,1.4157004356384275
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,nrqm,False,5,1.6863999366760254,1.4852339029312134
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,nrqm,False,3,1.71952223777771,2.858460664749145
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,nrqm,False,3,1.7309834957122805,3.9561245441436768
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,nrqm,False,7,1.61370587348938,2.503635168075561
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,nrqm,False,10,1.6348063945770264,1.470550537109375
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,nrqm,False,5,1.6646032333374023,2.3081836700439453
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,nrqm,False,1,1.695958375930786,8.296173095703125
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,nrqm,False,7,1.6250507831573486,1.841331958770752
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,nrqm,False,10,1.6607272624969482,1.1342220306396484
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,nrqm,False,15,1.656898021697998,1.701081395149231
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,nrqm,False,10,1.6414790153503418,1.440507888793945
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,nrqm,False,1,1.7050251960754397,6.866839408874512
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,nrqm,False,7,1.6289193630218506,1.1069459915161133
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,nrqm,False,15,1.6422326564788818,1.8888448476791384
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,nrqm,False,7,1.64941143989563,1.46065354347229
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,nrqm,False,5,1.7075245380401611,2.0677201747894287
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,nrqm,False,0,1.6468122005462646,8.227527618408203
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,nrqm,False,7,1.619617223739624,2.114651918411255
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,nrqm,False,10,1.6068878173828125,1.8795812129974363
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,nrqm,False,5,1.6793065071105957,1.648605465888977
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,nrqm,False,1,1.6790802478790283,8.399734497070312
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,nrqm,False,7,1.664412021636963,2.143611431121826
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,nrqm,False,10,1.611114740371704,1.6684671640396118
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,nrqm,False,3,1.6757867336273191,3.804498672485352
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,nrqm,False,15,1.6125032901763916,1.6075340509414673
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,nrqm,False,3,1.67177152633667,3.5626065731048584
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,nrqm,False,0,1.6908888816833496,8.609025955200195
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,nrqm,False,10,1.5868022441864014,1.5132240056991575
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,nrqm,False,0,1.6672093868255615,8.304666519165039
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,nrqm,False,1,1.631383180618286,4.575765132904053
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,nrqm,False,7,1.680771827697754,2.1762115955352783
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,nrqm,False,15,1.6027917861938477,1.607324242591858
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,nrqm,False,10,1.6464290618896484,1.011264443397522
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,nrqm,False,15,1.6262359619140625,1.8592407703399656
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,nrqm,False,7,1.6544041633605957,1.9630659818649288
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,nrqm,False,1,1.669646978378296,5.930006504058838
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,nrqm,False,1,1.7064588069915771,9.04931640625
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,nrqm,False,5,1.6708543300628662,2.993652582168579
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,nrqm,False,7,1.673940896987915,2.2830941677093506
deblurred_nb3,0053_lp_dnn_0_knife_10_n03041632_22570,nrqm,False,0,1.6951663494110107,8.884037971496582
deblurred_nb3,0054_lp_dnn_0_bear_10_n02132136_7586,nrqm,False,0,1.650322437286377,8.904753684997559
deblurred_nb3,0055_lp_dnn_5_clock_10_n04548280_9144,nrqm,False,5,1.6742968559265137,1.933459043502808
deblurred_nb3,0056_lp_dnn_0_bottle_10_n04591713_2680,nrqm,False,0,1.6876652240753174,8.725522994995117
deblurred_nb3,0057_lp_dnn_3_cat_10_n02123045_1596,nrqm,False,3,1.6759085655212402,3.887797355651856
deblurred_nb3,0058_lp_dnn_10_cat_10_n02123597_19450,nrqm,False,10,1.6384270191192627,1.1231449842453003
deblurred_nb3,0059_lp_dnn_15_chair_10_n03376595_3462,nrqm,False,15,1.6615312099456787,1.6723448038101196
