dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,paq2piq,False,5,0.0432400703430175,47.6289176940918
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,paq2piq,False,1,0.0078730583190917,65.8145523071289
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,paq2piq,False,3,0.0029582977294921,45.25699615478516
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,paq2piq,False,7,0.0031609535217285,48.21419143676758
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,paq2piq,False,7,0.0030696392059326,43.80867004394531
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,paq2piq,False,1,0.0032477378845214,67.42113494873047
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,paq2piq,False,10,0.0030689239501953,41.81592559814453
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,paq2piq,False,5,0.0030727386474609,46.10837173461914
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,paq2piq,False,3,0.0031352043151855,52.0591926574707
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,paq2piq,False,3,0.0031659603118896,52.7602767944336
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,paq2piq,False,7,0.003063678741455,48.95244216918945
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,paq2piq,False,10,0.0030603408813476,41.71389389038086
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,paq2piq,False,5,0.0031099319458007,43.80999374389648
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,paq2piq,False,1,0.0032236576080322,68.11451721191406
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,paq2piq,False,7,0.0030598640441894,42.40068817138672
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,paq2piq,False,10,0.0030553340911865,40.72278594970703
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,paq2piq,False,15,0.0030438899993896,39.84844207763672
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,paq2piq,False,10,0.0031661987304687,42.39665985107422
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,paq2piq,False,1,0.0032145977020263,65.82466888427734
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,paq2piq,False,7,0.0030848979949951,42.15332412719727
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,paq2piq,False,15,0.0033743381500244,47.40549087524414
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,paq2piq,False,7,0.0063152313232421,44.46651840209961
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,paq2piq,False,5,0.0029165744781494,44.439414978027344
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,paq2piq,False,0,0.0033118724822998,64.20611572265625
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,paq2piq,False,7,0.0030939579010009,43.627777099609375
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,paq2piq,False,10,0.0030033588409423,40.80131530761719
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,paq2piq,False,5,0.0030505657196044,48.53745651245117
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,paq2piq,False,1,0.0032737255096435,66.22132110595703
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,paq2piq,False,7,0.0030953884124755,44.66231918334961
