dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253.png,sseq,True,5,0.055002,46.179054309996
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320.png,sseq,True,1,0.043207,33.293845869553
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652.png,sseq,True,3,0.039701,54.5885935695646
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578.png,sseq,True,7,0.040242,58.420515699528
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842.png,sseq,True,7,0.040943,61.882984079175
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14.png,sseq,True,1,0.042308,27.2685245293894
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920.png,sseq,True,10,0.040806,62.5207302425823
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952.png,sseq,True,5,0.039988,58.4623232458725
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441.png,sseq,True,3,0.039676,45.963007138929
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792.png,sseq,True,3,0.039809,47.1770348292798
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458.png,sseq,True,7,0.039633,60.8499629201156
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176.png,sseq,True,10,0.039921,62.7373718817168
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580.png,sseq,True,5,0.043351,60.2292627393409
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900.png,sseq,True,1,0.041337,13.4446292321465
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384.png,sseq,True,7,0.044227,61.6954578425217
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618.png,sseq,True,10,0.041432,66.8281816994004
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463.png,sseq,True,15,0.040486,62.757272191337
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459.png,sseq,True,10,0.039939,59.7081585225914
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206.png,sseq,True,1,0.040482,32.620933985771
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633.png,sseq,True,7,0.04006,64.5081238067974
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416.png,sseq,True,15,0.040271,64.7617597663602
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503.png,sseq,True,7,0.04029,65.3295551602642
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797.png,sseq,True,5,0.03993,62.1356971766564
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237.png,sseq,True,0,0.039875,23.4564210251246
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587.png,sseq,True,7,0.041091,60.9363513008327
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238.png,sseq,True,10,0.042452,58.9766498367962
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332.png,sseq,True,5,0.040859,63.7943175324509
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244.png,sseq,True,1,0.040529,27.0971921787284
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229.png,sseq,True,7,0.039991,60.4623386339154
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573.png,sseq,True,10,0.041243,61.2766480978453
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578.png,sseq,True,3,0.041097,50.32990429596
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336.png,sseq,True,15,0.039911,59.3636545993541
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495.png,sseq,True,3,0.040179,48.38804848982
