dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_nr-flive,False,5,0.013374090194702148,0.6634917259216309
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_nr-flive,False,1,0.01271200180053711,0.682919442653656
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_nr-flive,False,3,0.012448310852050781,0.6168198585510254
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_nr-flive,False,7,0.012423992156982422,0.6398664116859436
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_nr-flive,False,7,0.012381315231323242,0.6187093257904053
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,topiq_nr-flive,False,1,0.012534856796264648,0.6859357953071594
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_nr-flive,False,10,0.012321949005126953,0.6095461249351501
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,topiq_nr-flive,False,5,0.012384653091430664,0.6068698763847351
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_nr-flive,False,3,0.01246786117553711,0.6046837568283081
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_nr-flive,False,3,0.012452840805053711,0.5705827474594116
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_nr-flive,False,7,0.012311697006225586,0.6239386796951294
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_nr-flive,False,10,0.012307882308959961,0.6473463773727417
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_nr-flive,False,5,0.012359380722045898,0.6390281319618225
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_nr-flive,False,1,0.012464523315429688,0.7047231793403625
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_nr-flive,False,7,0.012355566024780273,0.6610026359558105
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_nr-flive,False,10,0.012349605560302734,0.6469156742095947
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_nr-flive,False,15,0.012348175048828125,0.6140730977058411
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_nr-flive,False,10,0.012318849563598633,0.6334654688835144
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_nr-flive,False,1,0.012528419494628906,0.6835023164749146
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_nr-flive,False,7,0.012339115142822266,0.6179251670837402
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_nr-flive,False,15,0.012144088745117188,0.6181581020355225
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,topiq_nr-flive,False,7,0.012279987335205078,0.6575587391853333
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_nr-flive,False,5,0.01237344741821289,0.6245598793029785
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_nr-flive,False,0,0.012508630752563477,0.6383151412010193
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,topiq_nr-flive,False,7,0.012330770492553711,0.6185467839241028
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_nr-flive,False,10,0.01228475570678711,0.6435366272926331
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_nr-flive,False,5,0.012277841567993164,0.6525763869285583
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_nr-flive,False,1,0.012642145156860352,0.6945725083351135
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,topiq_nr-flive,False,7,0.012332677841186523,0.6261857151985168
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,topiq_nr-flive,False,10,0.012319564819335938,0.6421202421188354
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,topiq_nr-flive,False,3,0.012363195419311523,0.722324788570404
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,topiq_nr-flive,False,15,0.012262105941772461,0.6143957376480103
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,topiq_nr-flive,False,3,0.01233530044555664,0.6119175553321838
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,topiq_nr-flive,False,0,0.012460470199584961,0.7213799357414246
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,topiq_nr-flive,False,10,0.012337207794189453,0.6274023056030273
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,topiq_nr-flive,False,0,0.012525320053100586,0.5879538655281067
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,topiq_nr-flive,False,1,0.01243901252746582,0.7425093054771423
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,topiq_nr-flive,False,7,0.012293815612792969,0.6174753904342651
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,topiq_nr-flive,False,15,0.012243032455444336,0.6189678907394409
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,topiq_nr-flive,False,10,0.012265920639038086,0.5934630036354065
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,topiq_nr-flive,False,15,0.012120485305786133,0.5973082184791565
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,topiq_nr-flive,False,7,0.012264013290405273,0.6304469704627991
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,topiq_nr-flive,False,1,0.012343406677246094,0.719672441482544
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,topiq_nr-flive,False,1,0.012575626373291016,0.6851206421852112
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,topiq_nr-flive,False,5,0.012304067611694336,0.6453828811645508
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,topiq_nr-flive,False,7,0.01235342025756836,0.6193460822105408
deblurred_nb3,0053_lp_dnn_0_knife_10_n03041632_22570,topiq_nr-flive,False,0,0.012392044067382812,0.7303140163421631
deblurred_nb3,0054_lp_dnn_0_bear_10_n02132136_7586,topiq_nr-flive,False,0,0.012365579605102539,0.6976361870765686
deblurred_nb3,0055_lp_dnn_5_clock_10_n04548280_9144,topiq_nr-flive,False,5,0.012324094772338867,0.604712188243866
deblurred_nb3,0056_lp_dnn_0_bottle_10_n04591713_2680,topiq_nr-flive,False,0,0.012479305267333984,0.7382835149765015
deblurred_nb3,0057_lp_dnn_3_cat_10_n02123045_1596,topiq_nr-flive,False,3,0.012369632720947266,0.5663065314292908
deblurred_nb3,0058_lp_dnn_10_cat_10_n02123597_19450,topiq_nr-flive,False,10,0.012327432632446289,0.6416255831718445
deblurred_nb3,0059_lp_dnn_15_chair_10_n03376595_3462,topiq_nr-flive,False,15,0.012282609939575195,0.686839759349823
deblurred_nb3,0060_lp_dnn_3_bottle_10_n04591713_3683,topiq_nr-flive,False,3,0.01236271858215332,0.5980786681175232
deblurred_nb3,0061_lp_dnn_7_clock_10_n03196217_4309,topiq_nr-flive,False,7,0.012220382690429688,0.6354033350944519
deblurred_nb3,0062_lp_dnn_15_bear_10_n02134084_4923,topiq_nr-flive,False,15,0.01229715347290039,0.6247294545173645
deblurred_nb3,0063_lp_dnn_1_chair_10_n04429376_5238,topiq_nr-flive,False,1,0.012525081634521484,0.6605062484741211
deblurred_nb3,0064_lp_dnn_0_clock_10_n03196217_2414,topiq_nr-flive,False,0,0.012527227401733398,0.6750101447105408
deblurred_nb3,0065_lp_dnn_3_bird_10_n01797886_2711,topiq_nr-flive,False,3,0.01243901252746582,0.6047742366790771
deblurred_nb3,0066_lp_dnn_15_truck_10_n04467665_68463,topiq_nr-flive,False,15,0.01212310791015625,0.5865982174873352
deblurred_nb3,0067_lp_dnn_0_truck_10_n03417042_10099,topiq_nr-flive,False,0,0.012393474578857422,0.7284238338470459
deblurred_nb3,0068_lp_dnn_10_bear_10_n02134418_3793,topiq_nr-flive,False,10,0.01233053207397461,0.6444849371910095
deblurred_nb3,0069_lp_dnn_10_bottle_10_n03937543_9524,topiq_nr-flive,False,10,0.012328147888183594,0.6338129639625549
deblurred_nb3,0070_lp_dnn_3_cat_10_n02123394_1038,topiq_nr-flive,False,3,0.012310504913330078,0.6579269170761108
deblurred_nb3,0071_lp_dnn_5_dog_10_n02110185_7886,topiq_nr-flive,False,5,0.012257814407348633,0.6029152870178223
deblurred_nb3,0072_lp_dnn_3_clock_10_n02708093_4912,topiq_nr-flive,False,3,0.012345552444458008,0.6567187905311584
deblurred_nb3,0073_lp_dnn_15_dog_10_n02108422_932,topiq_nr-flive,False,15,0.012323379516601562,0.6393945813179016
deblurred_nb3,0074_lp_dnn_0_truck_10_n04467665_18621,topiq_nr-flive,False,0,0.012628316879272461,0.6831942200660706
deblurred_nb3,0075_lp_dnn_1_truck_10_n04467665_50932,topiq_nr-flive,False,1,0.01262664794921875,0.6757842302322388
deblurred_nb3,0076_lp_dnn_1_dog_10_n02102480_7293,topiq_nr-flive,False,1,0.012544631958007812,0.6712365746498108
deblurred_nb3,0077_lp_dnn_1_bottle_10_n04591713_4764,topiq_nr-flive,False,1,0.012564420700073242,0.6818889379501343
deblurred_nb3,0078_lp_dnn_15_clock_10_n02708093_274,topiq_nr-flive,False,15,0.01230764389038086,0.6078539490699768
deblurred_nb3,0079_lp_dnn_5_bottle_10_n04557648_29772,topiq_nr-flive,False,5,0.012351512908935547,0.6095067858695984
deblurred_nb3,0080_lp_dnn_15_car_10_n03100240_22499,topiq_nr-flive,False,15,0.012246131896972656,0.6108731627464294
deblurred_nb3,0081_lp_dnn_3_clock_10_n02708093_6252,topiq_nr-flive,False,3,0.012360572814941406,0.7097689509391785
deblurred_nb3,0082_lp_dnn_10_airplane_10_n02690373_5427,topiq_nr-flive,False,10,0.012199878692626953,0.6837770342826843
deblurred_nb3,0083_lp_dnn_15_dog_10_n02107142_46045,topiq_nr-flive,False,15,0.012295007705688477,0.5979086756706238
deblurred_nb3,0085_lp_dnn_3_bicycle_10_n03792782_12421,topiq_nr-flive,False,3,0.012392282485961914,0.5254588723182678
deblurred_nb3,0086_lp_dnn_0_airplane_10_n02690373_1310,topiq_nr-flive,False,0,0.012321233749389648,0.6833091378211975
deblurred_nb3,0087_lp_dnn_15_oven_10_n04111531_8793,topiq_nr-flive,False,15,0.012338876724243164,0.6707277894020081
deblurred_nb3,0088_lp_dnn_5_airplane_10_n02690373_633,topiq_nr-flive,False,5,0.01223897933959961,0.6392402052879333
deblurred_nb3,0089_lp_dnn_5_clock_10_n02708093_2307,topiq_nr-flive,False,5,0.012328863143920898,0.5920472145080566
deblurred_nb3,0090_lp_dnn_10_oven_10_n04111531_13795,topiq_nr-flive,False,10,0.012288093566894531,0.5934357047080994
deblurred_nb3,0091_lp_dnn_3_boat_10_n03662601_1427,topiq_nr-flive,False,3,0.012320995330810547,0.6229799389839172
deblurred_nb3,0092_lp_dnn_5_boat_10_n04612504_15944,topiq_nr-flive,False,5,0.01233816146850586,0.5991798043251038
deblurred_nb3,0094_lp_dnn_7_elephant_10_n02504458_1848,topiq_nr-flive,False,7,0.01231241226196289,0.6238660216331482
deblurred_nb3,0095_lp_dnn_5_oven_10_n04111531_4155,topiq_nr-flive,False,5,0.01230621337890625,0.6325891017913818
deblurred_nb3,0096_lp_dnn_0_car_10_n03100240_8327,topiq_nr-flive,False,0,0.012451410293579102,0.7331991791725159
deblurred_nb3,0097_lp_dnn_0_chair_10_n04429376_24319,topiq_nr-flive,False,0,0.012553691864013672,0.6658549904823303
deblurred_nb3,0098_lp_dnn_3_chair_10_n03376595_5112,topiq_nr-flive,False,3,0.012398481369018555,0.5910543203353882
deblurred_nb3,0099_lp_dnn_1_cat_10_n02124075_2268,topiq_nr-flive,False,1,0.01251840591430664,0.6407142281532288
deblurred_nb3,0100_lp_dnn_3_boat_10_n04273569_1137,topiq_nr-flive,False,3,0.012313365936279297,0.635392963886261
deblurred_nb3,0101_lp_dnn_1_chair_10_n02791124_15383,topiq_nr-flive,False,1,0.012502670288085938,0.7121358513832092
deblurred_nb3,0102_lp_dnn_15_clock_10_n04548280_8998,topiq_nr-flive,False,15,0.012214899063110352,0.6344439387321472
deblurred_nb3,0103_lp_dnn_0_dog_10_n02097047_2800,topiq_nr-flive,False,0,0.012420654296875,0.6906130909919739
deblurred_nb3,0104_lp_dnn_15_bicycle_10_n03792782_18294,topiq_nr-flive,False,15,0.012212038040161133,0.6084917187690735
deblurred_nb3,0105_lp_dnn_0_elephant_10_n02504013_24486,topiq_nr-flive,False,0,0.012328624725341797,0.7536419034004211
deblurred_nb3,0106_lp_dnn_7_airplane_10_n02690373_2923,topiq_nr-flive,False,7,0.012322187423706055,0.6284258961677551
