dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_nr-spaq,False,5,0.01337885856628418,0.29618439078330994
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_nr-spaq,False,1,0.012746334075927734,0.6513693928718567
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_nr-spaq,False,3,0.012445926666259766,0.35742291808128357
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_nr-spaq,False,7,0.012345075607299805,0.258462518453598
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_nr-spaq,False,7,0.012335777282714844,0.23875893652439117
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,topiq_nr-spaq,False,1,0.012510061264038086,0.6254690289497375
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_nr-spaq,False,10,0.012283086776733398,0.19481050968170166
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,topiq_nr-spaq,False,5,0.012380838394165039,0.2698042392730713
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_nr-spaq,False,3,0.012369632720947266,0.3426024615764618
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_nr-spaq,False,3,0.012408256530761719,0.37055569887161255
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_nr-spaq,False,7,0.012290716171264648,0.2668267488479614
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_nr-spaq,False,10,0.012283563613891602,0.2279723435640335
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_nr-spaq,False,5,0.012314081192016602,0.28093698620796204
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_nr-spaq,False,1,0.012452363967895508,0.6457490921020508
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_nr-spaq,False,7,0.012348413467407227,0.32998397946357727
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_nr-spaq,False,10,0.01224374771118164,0.20641519129276276
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_nr-spaq,False,15,0.012307882308959961,0.14914996922016144
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_nr-spaq,False,10,0.012286663055419922,0.21449176967144012
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_nr-spaq,False,1,0.012443065643310547,0.5668079257011414
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_nr-spaq,False,7,0.012308120727539062,0.2566497027873993
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_nr-spaq,False,15,0.01212453842163086,0.20415280759334564
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,topiq_nr-spaq,False,7,0.01224827766418457,0.2920685112476349
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_nr-spaq,False,5,0.012328624725341797,0.2592269480228424
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_nr-spaq,False,0,0.012516260147094727,0.7567904591560364
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,topiq_nr-spaq,False,7,0.012282371520996094,0.22746606171131134
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_nr-spaq,False,10,0.012376070022583008,0.2129964381456375
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_nr-spaq,False,5,0.012286186218261719,0.3132540285587311
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_nr-spaq,False,1,0.012507915496826172,0.6306290030479431
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,topiq_nr-spaq,False,7,0.012292623519897461,0.2745063602924347
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,topiq_nr-spaq,False,10,0.012290239334106445,0.1869283765554428
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,topiq_nr-spaq,False,3,0.012309789657592773,0.416388601064682
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,topiq_nr-spaq,False,15,0.012259483337402344,0.1746753305196762
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,topiq_nr-spaq,False,3,0.012315988540649414,0.26505401730537415
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,topiq_nr-spaq,False,0,0.012511968612670898,0.5836161375045776
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,topiq_nr-spaq,False,10,0.012529134750366211,0.18209274113178253
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,topiq_nr-spaq,False,0,0.012545347213745117,0.4384438693523407
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,topiq_nr-spaq,False,1,0.01242828369140625,0.5613908171653748
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,topiq_nr-spaq,False,7,0.012329339981079102,0.2700691521167755
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,topiq_nr-spaq,False,15,0.012260913848876953,0.16042740643024445
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,topiq_nr-spaq,False,10,0.01232767105102539,0.22143885493278503
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,topiq_nr-spaq,False,15,0.012175321578979492,0.18382655084133148
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,topiq_nr-spaq,False,7,0.01223611831665039,0.24772103130817413
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,topiq_nr-spaq,False,1,0.012359142303466797,0.6302219033241272
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,topiq_nr-spaq,False,1,0.012592315673828125,0.6791037321090698
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,topiq_nr-spaq,False,5,0.012349843978881836,0.2864427864551544
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,topiq_nr-spaq,False,7,0.012308120727539062,0.25174811482429504
