dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_nr,False,5,0.013537168502807617,0.09073279798030853
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_nr,False,1,0.012804985046386719,0.5273041725158691
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_nr,False,3,0.01253199577331543,0.10234516113996506
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_nr,False,7,0.01250457763671875,0.15935012698173523
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_nr,False,7,0.012417078018188477,0.14226210117340088
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,topiq_nr,False,1,0.012618064880371094,0.47263190150260925
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_nr,False,10,0.012404918670654297,0.1300836205482483
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,topiq_nr,False,5,0.012475252151489258,0.20776993036270142
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_nr,False,3,0.01251840591430664,0.17045706510543823
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_nr,False,3,0.012458562850952148,0.1188085749745369
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_nr,False,7,0.012382030487060547,0.20745059847831726
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_nr,False,10,0.012369871139526367,0.19829532504081726
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_nr,False,5,0.012424468994140625,0.12718191742897034
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_nr,False,1,0.012584209442138672,0.4962832033634186
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_nr,False,7,0.012394428253173828,0.1124991700053215
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_nr,False,10,0.012326240539550781,0.12772470712661743
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_nr,False,15,0.01236414909362793,0.15510866045951843
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_nr,False,10,0.012282848358154297,0.10361466556787491
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_nr,False,1,0.012443304061889648,0.37665098905563354
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_nr,False,7,0.012281656265258789,0.1262853741645813
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_nr,False,15,0.01212310791015625,0.17383542656898499
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,topiq_nr,False,7,0.012241601943969727,0.13061806559562683
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_nr,False,5,0.012474298477172852,0.08414147049188614
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_nr,False,0,0.012603998184204102,0.4525848925113678
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,topiq_nr,False,7,0.012365579605102539,0.10472526401281357
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_nr,False,10,0.012330055236816406,0.19985917210578918
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_nr,False,5,0.01226949691772461,0.15156105160713196
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_nr,False,1,0.01249551773071289,0.4510895609855652
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,topiq_nr,False,7,0.012289285659790039,0.1369096040725708
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,topiq_nr,False,10,0.012212991714477539,0.11928728967905045
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,topiq_nr,False,3,0.01225900650024414,0.17950379848480225
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,topiq_nr,False,15,0.01225900650024414,0.1297731101512909
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,topiq_nr,False,3,0.01229405403137207,0.16351065039634705
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,topiq_nr,False,0,0.012426614761352539,0.5414173007011414
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,topiq_nr,False,10,0.01236581802368164,0.08140606433153152
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,topiq_nr,False,0,0.012500762939453125,0.22505304217338562
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,topiq_nr,False,1,0.012433052062988281,0.5797821879386902
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,topiq_nr,False,7,0.01229548454284668,0.1850048303604126
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,topiq_nr,False,15,0.012258052825927734,0.12203843146562576
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,topiq_nr,False,10,0.01230311393737793,0.11410503834486008
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,topiq_nr,False,15,0.012153148651123047,0.16048970818519592
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,topiq_nr,False,7,0.012250185012817383,0.1513444185256958
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,topiq_nr,False,1,0.012337446212768555,0.5665090680122375
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,topiq_nr,False,1,0.012595176696777344,0.43660905957221985
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,topiq_nr,False,5,0.012341499328613281,0.11419374495744705
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,topiq_nr,False,7,0.012372732162475586,0.12976273894309998
deblurred_nb3,0053_lp_dnn_0_knife_10_n03041632_22570,topiq_nr,False,0,0.012430429458618164,0.5540135502815247
deblurred_nb3,0054_lp_dnn_0_bear_10_n02132136_7586,topiq_nr,False,0,0.012336969375610352,0.5645103454589844
deblurred_nb3,0055_lp_dnn_5_clock_10_n04548280_9144,topiq_nr,False,5,0.012284994125366211,0.1597452461719513
deblurred_nb3,0056_lp_dnn_0_bottle_10_n04591713_2680,topiq_nr,False,0,0.012481927871704102,0.5613011121749878
