dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,tres-flive,False,5,0.324540376663208,78.59178161621094
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,tres-flive,False,1,0.3285117149353027,78.72576141357422
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,tres-flive,False,3,0.3282291889190674,69.07670593261719
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,tres-flive,False,7,0.3257870674133301,83.67804718017578
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,tres-flive,False,7,0.3270578384399414,75.0680923461914
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,tres-flive,False,1,0.3291778564453125,79.3829116821289
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,tres-flive,False,10,0.3274528980255127,76.39069366455078
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,tres-flive,False,5,0.3288655281066894,79.8190689086914
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,tres-flive,False,3,0.3277301788330078,77.31553649902344
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,tres-flive,False,3,0.3273599147796631,73.8924560546875
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,tres-flive,False,7,0.3277027606964111,86.53215789794922
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,tres-flive,False,10,0.329097032546997,76.33831024169922
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,tres-flive,False,5,0.3274195194244385,74.82190704345703
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,tres-flive,False,1,0.3281726837158203,79.23319244384766
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,tres-flive,False,7,0.3277873992919922,64.87670135498047
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,tres-flive,False,10,0.3281962871551513,73.56336212158203
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,tres-flive,False,15,0.328629732131958,66.4776840209961
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,tres-flive,False,10,0.3275585174560547,71.96556854248047
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,tres-flive,False,1,0.3282628059387207,79.31117248535156
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,tres-flive,False,7,0.3277184963226318,79.03689575195312
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,tres-flive,False,15,0.3278059959411621,70.79020690917969
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,tres-flive,False,7,0.3281278610229492,79.4673843383789
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,tres-flive,False,5,0.3277702331542969,75.3458023071289
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,tres-flive,False,0,0.3277738094329834,80.41920471191406
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,tres-flive,False,7,0.3274228572845459,81.67386627197266
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,tres-flive,False,10,0.3279118537902832,68.69210815429688
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,tres-flive,False,5,0.3275055885314941,77.40440368652344
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,tres-flive,False,1,0.3277716636657715,78.03218078613281
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,tres-flive,False,7,0.3279540538787842,69.38500213623047
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,tres-flive,False,10,0.3275268077850342,80.25999450683594
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,tres-flive,False,3,0.327815294265747,82.44051361083984
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,tres-flive,False,15,0.3280370235443115,75.83710479736328
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,tres-flive,False,3,0.3274009227752685,76.11666107177734
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,tres-flive,False,0,0.3289580345153808,83.13285064697266
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,tres-flive,False,10,0.3278262615203857,75.9902572631836
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,tres-flive,False,0,0.3284008502960205,78.47451782226562
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,tres-flive,False,1,0.3280742168426513,87.44207000732422
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,tres-flive,False,7,0.3279976844787597,83.10305786132812
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,tres-flive,False,15,0.3280141353607178,74.36006927490234
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,tres-flive,False,10,0.3281753063201904,75.73197937011719
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,tres-flive,False,15,0.3287391662597656,71.07171630859375
