dataset,image,metric,lower_better,condition,time,score
deblurred_nb3,0003_lp_dnn_5_truck_10_n04467665_34253,tres,False,5,0.29262709617614746,26.254745483398438
deblurred_nb3,0004_lp_dnn_1_clock_10_n04548280_5320,tres,False,1,0.29799461364746094,52.19480514526367
deblurred_nb3,0005_lp_dnn_3_dog_10_n02108915_3652,tres,False,3,0.2998647689819336,24.63516616821289
deblurred_nb3,0006_lp_dnn_7_keyboard_10_n04505470_578,tres,False,7,0.2968122959136963,20.78007698059082
deblurred_nb3,0007_lp_dnn_7_cat_10_n02123597_3842,tres,False,7,0.2963895797729492,22.155521392822266
deblurred_nb3,0008_lp_dnn_1_bear_10_n02134418_14,tres,False,1,0.29534387588500977,46.66836929321289
deblurred_nb3,0009_lp_dnn_10_knife_10_n03041632_29920,tres,False,10,0.2963218688964844,16.567392349243164
deblurred_nb3,0010_lp_dnn_5_bird_10_n01795545_952,tres,False,5,0.2960801124572754,27.86590003967285
deblurred_nb3,0011_lp_dnn_3_bear_10_n02132136_6441,tres,False,3,0.29621410369873047,43.57436752319336
deblurred_nb3,0012_lp_dnn_3_bird_10_n01829413_8792,tres,False,3,0.29818129539489746,32.573326110839844
deblurred_nb3,0013_lp_dnn_7_keyboard_10_n04505470_4458,tres,False,7,0.29645252227783203,26.93108367919922
deblurred_nb3,0014_lp_dnn_10_chair_10_n03376595_9176,tres,False,10,0.2947874069213867,21.836626052856445
deblurred_nb3,0017_lp_dnn_5_oven_10_n04111531_1580,tres,False,5,0.2952001094818115,27.05360221862793
deblurred_nb3,0018_lp_dnn_1_elephant_10_n02504458_900,tres,False,1,0.2960472106933594,49.39373779296875
deblurred_nb3,0019_lp_dnn_7_dog_10_n02106662_2384,tres,False,7,0.29683446884155273,23.051786422729492
deblurred_nb3,0020_lp_dnn_10_truck_10_n03796401_22618,tres,False,10,0.2967360019683838,25.950443267822266
deblurred_nb3,0021_lp_dnn_15_elephant_10_n02504013_5463,tres,False,15,0.29468584060668945,22.031795501708984
deblurred_nb3,0022_lp_dnn_10_chair_10_n04429376_16459,tres,False,10,0.29459309577941895,16.800586700439453
deblurred_nb3,0023_lp_dnn_1_cat_10_n02123045_12206,tres,False,1,0.29766392707824707,42.73939514160156
deblurred_nb3,0024_lp_dnn_7_truck_10_n03417042_2633,tres,False,7,0.29643774032592773,25.830358505249023
deblurred_nb3,0025_lp_dnn_15_keyboard_10_n03085013_24416,tres,False,15,0.29616522789001465,24.13319206237793
deblurred_nb3,0026_lp_dnn_7_car_10_n02814533_44503,tres,False,7,0.295196533203125,28.13943862915039
deblurred_nb3,0027_lp_dnn_5_elephant_10_n02504458_5797,tres,False,5,0.29758143424987793,27.763933181762695
deblurred_nb3,0028_lp_dnn_0_chair_10_n04429376_8237,tres,False,0,0.29683971405029297,64.42986297607422
deblurred_nb3,0029_lp_dnn_7_cat_10_n02123159_587,tres,False,7,0.29552674293518066,16.443876266479492
deblurred_nb3,0030_lp_dnn_10_bird_10_n02028035_17238,tres,False,10,0.29709935188293457,27.693334579467773
deblurred_nb3,0032_lp_dnn_5_boat_10_n04273569_22332,tres,False,5,0.2957122325897217,30.444074630737305
deblurred_nb3,0033_lp_dnn_1_elephant_10_n02504013_1244,tres,False,1,0.29494214057922363,49.00334930419922
deblurred_nb3,0034_lp_dnn_7_bicycle_10_n03792782_30229,tres,False,7,0.2962942123413086,18.959041595458984
deblurred_nb3,0035_lp_dnn_10_keyboard_10_n03085013_7573,tres,False,10,0.295184850692749,20.732601165771484
deblurred_nb3,0036_lp_dnn_3_keyboard_10_n03085013_24578,tres,False,3,0.2973499298095703,27.62555694580078
deblurred_nb3,0037_lp_dnn_15_truck_10_n03417042_1336,tres,False,15,0.29491329193115234,16.2415714263916
deblurred_nb3,0038_lp_dnn_3_knife_10_n03041632_7495,tres,False,3,0.29566431045532227,24.456005096435547
deblurred_nb3,0039_lp_dnn_0_car_10_n03100240_9625,tres,False,0,0.29735517501831055,72.73271179199219
deblurred_nb3,0040_lp_dnn_10_elephant_10_n02504458_6107,tres,False,10,0.29583168029785156,21.416467666625977
deblurred_nb3,0041_lp_dnn_0_bicycle_10_n03792782_33649,tres,False,0,0.29650020599365234,52.0532112121582
deblurred_nb3,0042_lp_dnn_1_clock_10_n03196217_8282,tres,False,1,0.29628825187683105,83.89727020263672
deblurred_nb3,0043_lp_dnn_7_keyboard_10_n03085013_21534,tres,False,7,0.2946004867553711,22.256576538085938
deblurred_nb3,0044_lp_dnn_15_elephant_10_n02504013_22813,tres,False,15,0.29692840576171875,15.9964599609375
deblurred_nb3,0045_lp_dnn_10_truck_10_n03796401_16425,tres,False,10,0.2955467700958252,16.946630477905273
deblurred_nb3,0046_lp_dnn_15_airplane_10_n02690373_9427,tres,False,15,0.29602646827697754,24.996423721313477
deblurred_nb3,0047_lp_dnn_7_bird_10_n02009912_11907,tres,False,7,0.2958385944366455,19.977027893066406
deblurred_nb3,0048_lp_dnn_1_airplane_10_n02690373_5773,tres,False,1,0.2960348129272461,67.64109802246094
deblurred_nb3,0050_lp_dnn_1_bird_10_n01819313_18188,tres,False,1,0.2950563430786133,60.23545837402344
deblurred_nb3,0051_lp_dnn_5_car_10_n04285008_7428,tres,False,5,0.2957463264465332,17.624271392822266
deblurred_nb3,0052_lp_dnn_7_bottle_10_n04591713_6923,tres,False,7,0.2962160110473633,15.472861289978027
deblurred_nb3,0053_lp_dnn_0_knife_10_n03041632_22570,tres,False,0,0.29674339294433594,79.655517578125
deblurred_nb3,0054_lp_dnn_0_bear_10_n02132136_7586,tres,False,0,0.2948801517486572,65.31642150878906
deblurred_nb3,0055_lp_dnn_5_clock_10_n04548280_9144,tres,False,5,0.2956252098083496,17.727209091186523
deblurred_nb3,0056_lp_dnn_0_bottle_10_n04591713_2680,tres,False,0,0.2960336208343506,68.14663696289062
deblurred_nb3,0057_lp_dnn_3_cat_10_n02123045_1596,tres,False,3,0.2980952262878418,34.874549865722656
deblurred_nb3,0058_lp_dnn_10_cat_10_n02123597_19450,tres,False,10,0.2973024845123291,15.046928405761719
deblurred_nb3,0059_lp_dnn_15_chair_10_n03376595_3462,tres,False,15,0.29537224769592285,20.927690505981445
deblurred_nb3,0060_lp_dnn_3_bottle_10_n04591713_3683,tres,False,3,0.2946803569793701,17.26840591430664
deblurred_nb3,0061_lp_dnn_7_clock_10_n03196217_4309,tres,False,7,0.2975776195526123,22.527362823486328
deblurred_nb3,0062_lp_dnn_15_bear_10_n02134084_4923,tres,False,15,0.29579877853393555,14.70962142944336
deblurred_nb3,0063_lp_dnn_1_chair_10_n04429376_5238,tres,False,1,0.29779577255249023,46.94509506225586
deblurred_nb3,0064_lp_dnn_0_clock_10_n03196217_2414,tres,False,0,0.29796576499938965,63.4553108215332
deblurred_nb3,0065_lp_dnn_3_bird_10_n01797886_2711,tres,False,3,0.29584240913391113,46.36127471923828
deblurred_nb3,0066_lp_dnn_15_truck_10_n04467665_68463,tres,False,15,0.2941291332244873,37.41565704345703
deblurred_nb3,0067_lp_dnn_0_truck_10_n03417042_10099,tres,False,0,0.29682087898254395,82.41545104980469
deblurred_nb3,0068_lp_dnn_10_bear_10_n02134418_3793,tres,False,10,0.2959327697753906,14.941229820251465
deblurred_nb3,0069_lp_dnn_10_bottle_10_n03937543_9524,tres,False,10,0.29620957374572754,20.31088638305664
deblurred_nb3,0070_lp_dnn_3_cat_10_n02123394_1038,tres,False,3,0.2954401969909668,25.708480834960938
deblurred_nb3,0071_lp_dnn_5_dog_10_n02110185_7886,tres,False,5,0.29631567001342773,25.943037033081055
deblurred_nb3,0072_lp_dnn_3_clock_10_n02708093_4912,tres,False,3,0.29613661766052246,34.35701370239258
deblurred_nb3,0073_lp_dnn_15_dog_10_n02108422_932,tres,False,15,0.29773998260498047,15.411666870117188
deblurred_nb3,0074_lp_dnn_0_truck_10_n04467665_18621,tres,False,0,0.29828405380249023,61.55735778808594
deblurred_nb3,0075_lp_dnn_1_truck_10_n04467665_50932,tres,False,1,0.2975621223449707,56.83955383300781
deblurred_nb3,0076_lp_dnn_1_dog_10_n02102480_7293,tres,False,1,0.2975647449493408,35.233131408691406
deblurred_nb3,0077_lp_dnn_1_bottle_10_n04591713_4764,tres,False,1,0.2956066131591797,60.45934295654297
deblurred_nb3,0078_lp_dnn_15_clock_10_n02708093_274,tres,False,15,0.2961390018463135,13.787455558776855
deblurred_nb3,0079_lp_dnn_5_bottle_10_n04557648_29772,tres,False,5,0.29681825637817383,19.272233963012695
deblurred_nb3,0080_lp_dnn_15_car_10_n03100240_22499,tres,False,15,0.29544711112976074,20.05282211303711
deblurred_nb3,0081_lp_dnn_3_clock_10_n02708093_6252,tres,False,3,0.29671502113342285,44.5961799621582
deblurred_nb3,0082_lp_dnn_10_airplane_10_n02690373_5427,tres,False,10,0.29487037658691406,27.20334243774414
deblurred_nb3,0083_lp_dnn_15_dog_10_n02107142_46045,tres,False,15,0.293318510055542,14.265236854553223
deblurred_nb3,0085_lp_dnn_3_bicycle_10_n03792782_12421,tres,False,3,0.29647350311279297,27.191532135009766
deblurred_nb3,0086_lp_dnn_0_airplane_10_n02690373_1310,tres,False,0,0.2972450256347656,70.2276382446289
deblurred_nb3,0087_lp_dnn_15_oven_10_n04111531_8793,tres,False,15,0.2960226535797119,17.987661361694336
deblurred_nb3,0088_lp_dnn_5_airplane_10_n02690373_633,tres,False,5,0.294508695602417,22.493148803710938
deblurred_nb3,0089_lp_dnn_5_clock_10_n02708093_2307,tres,False,5,0.296142578125,18.732208251953125
deblurred_nb3,0090_lp_dnn_10_oven_10_n04111531_13795,tres,False,10,0.29502439498901367,20.28539276123047
deblurred_nb3,0091_lp_dnn_3_boat_10_n03662601_1427,tres,False,3,0.2978334426879883,34.401084899902344
deblurred_nb3,0092_lp_dnn_5_boat_10_n04612504_15944,tres,False,5,0.29659485816955566,17.8338623046875
deblurred_nb3,0094_lp_dnn_7_elephant_10_n02504458_1848,tres,False,7,0.29465365409851074,20.71944236755371
deblurred_nb3,0095_lp_dnn_5_oven_10_n04111531_4155,tres,False,5,0.2954709529876709,23.79472541809082
deblurred_nb3,0096_lp_dnn_0_car_10_n03100240_8327,tres,False,0,0.2973661422729492,75.34536743164062
deblurred_nb3,0097_lp_dnn_0_chair_10_n04429376_24319,tres,False,0,0.29636478424072266,63.20158386230469
deblurred_nb3,0098_lp_dnn_3_chair_10_n03376595_5112,tres,False,3,0.2973935604095459,32.58555221557617
deblurred_nb3,0099_lp_dnn_1_cat_10_n02124075_2268,tres,False,1,0.29692959785461426,49.16561508178711
deblurred_nb3,0100_lp_dnn_3_boat_10_n04273569_1137,tres,False,3,0.29444074630737305,34.570980072021484
deblurred_nb3,0101_lp_dnn_1_chair_10_n02791124_15383,tres,False,1,0.2976365089416504,56.70342254638672
deblurred_nb3,0102_lp_dnn_15_clock_10_n04548280_8998,tres,False,15,0.29559826850891113,12.916369438171387
deblurred_nb3,0103_lp_dnn_0_dog_10_n02097047_2800,tres,False,0,0.29668378829956055,67.0345458984375
deblurred_nb3,0104_lp_dnn_15_bicycle_10_n03792782_18294,tres,False,15,0.2966947555541992,19.9870548248291
deblurred_nb3,0105_lp_dnn_0_elephant_10_n02504013_24486,tres,False,0,0.2955310344696045,90.12013244628906
deblurred_nb3,0106_lp_dnn_7_airplane_10_n02690373_2923,tres,False,7,0.2954833507537842,29.41652488708496
deblurred_nb3,0107_lp_dnn_3_airplane_10_n02690373_15392,tres,False,3,0.2959105968475342,35.55817413330078
deblurred_nb3,0108_lp_dnn_5_oven_10_n04111531_6080,tres,False,5,0.2977137565612793,17.55792999267578
deblurred_nb3,0109_lp_dnn_15_bear_10_n02134084_22736,tres,False,15,0.29709720611572266,17.162553787231445
deblurred_nb3,0110_lp_dnn_1_knife_10_n03041632_33326,tres,False,1,0.2981264591217041,71.00189208984375
deblurred_nb3,0113_lp_dnn_7_bicycle_10_n03792782_5416,tres,False,7,0.29584336280822754,21.138715744018555
deblurred_nb3,0114_lp_dnn_7_knife_10_n03041632_25772,tres,False,7,0.29452967643737793,24.065832138061523
deblurred_nb3,0115_lp_dnn_10_bicycle_10_n03792782_7108,tres,False,10,0.2954859733581543,21.57280158996582
deblurred_nb3,0116_lp_dnn_0_chair_10_n03376595_1981,tres,False,0,0.2970888614654541,69.08914184570312
deblurred_nb3,0117_lp_dnn_15_oven_10_n04111531_6508,tres,False,15,0.2961900234222412,16.67024803161621
deblurred_nb3,0118_lp_dnn_15_bird_10_n01843383_2843,tres,False,15,0.2942521572113037,13.82651138305664
deblurred_nb3,0119_lp_dnn_5_cat_10_n02123597_5887,tres,False,5,0.29416966438293457,12.665464401245117
deblurred_nb3,0121_lp_dnn_1_bird_10_n01530575_10332,tres,False,1,0.2972109317779541,60.03942108154297
deblurred_nb3,0122_lp_dnn_15_elephant_10_n02504013_5887,tres,False,15,0.29630517959594727,21.118322372436523
