dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,ckdn,False,5,0.005742073059082,0.3404662609100342
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,ckdn,False,1,0.005403995513916,0.4956319332122803
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,ckdn,False,3,0.0052590370178222,0.4207996726036072
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,ckdn,False,7,0.0051379203796386,0.2773628532886505
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,ckdn,False,7,0.0051186084747314,0.3029975295066833
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,ckdn,False,1,0.0052089691162109,0.4487408101558685
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,ckdn,False,10,0.0051677227020263,0.2404531389474868
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,ckdn,False,5,0.0049872398376464,0.3480065166950226
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,ckdn,False,3,0.0050694942474365,0.3455252349376678
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,ckdn,False,3,0.0052542686462402,0.3319174349308014
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,ckdn,False,7,0.0050520896911621,0.2790940105915069
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,ckdn,False,10,0.004962682723999,0.2119133174419403
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,ckdn,False,5,0.0051941871643066,0.3288599252700805
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,ckdn,False,1,0.0051238536834716,0.5141257643699646
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,ckdn,False,7,0.0051684379577636,0.3280589878559112
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,ckdn,False,10,0.0050306320190429,0.2957740128040313
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,ckdn,False,15,0.0050904750823974,0.2218404859304428
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,ckdn,False,10,0.0051791667938232,0.2342059314250946
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206,ckdn,False,1,0.0052020549774169,0.4319120645523071
deblurred_nb_ls_adhoc,0024_lp_dnn_7_truck_10_n03417042_2633,ckdn,False,7,0.0052595138549804,0.2885047197341919
deblurred_nb_ls_adhoc,0025_lp_dnn_15_keyboard_10_n03085013_24416,ckdn,False,15,0.0052456855773925,0.2755806744098663
deblurred_nb_ls_adhoc,0026_lp_dnn_7_car_10_n02814533_44503,ckdn,False,7,0.0052297115325927,0.3489899337291717
deblurred_nb_ls_adhoc,0027_lp_dnn_5_elephant_10_n02504458_5797,ckdn,False,5,0.0052921772003173,0.3182747066020965
deblurred_nb_ls_adhoc,0028_lp_dnn_0_chair_10_n04429376_8237,ckdn,False,0,0.0054366588592529,0.5062965750694275
deblurred_nb_ls_adhoc,0029_lp_dnn_7_cat_10_n02123159_587,ckdn,False,7,0.0054216384887695,0.2519377470016479
deblurred_nb_ls_adhoc,0030_lp_dnn_10_bird_10_n02028035_17238,ckdn,False,10,0.0052735805511474,0.2499506026506424
deblurred_nb_ls_adhoc,0032_lp_dnn_5_boat_10_n04273569_22332,ckdn,False,5,0.0051910877227783,0.3744734525680542
deblurred_nb_ls_adhoc,0033_lp_dnn_1_elephant_10_n02504013_1244,ckdn,False,1,0.0054805278778076,0.5174300074577332
deblurred_nb_ls_adhoc,0034_lp_dnn_7_bicycle_10_n03792782_30229,ckdn,False,7,0.0052614212036132,0.2831268012523651
deblurred_nb_ls_adhoc,0035_lp_dnn_10_keyboard_10_n03085013_7573,ckdn,False,10,0.0052099227905273,0.2321880757808685
deblurred_nb_ls_adhoc,0036_lp_dnn_3_keyboard_10_n03085013_24578,ckdn,False,3,0.0052547454833984,0.3882572948932647
deblurred_nb_ls_adhoc,0037_lp_dnn_15_truck_10_n03417042_1336,ckdn,False,15,0.0053167343139648,0.2249740660190582
deblurred_nb_ls_adhoc,0038_lp_dnn_3_knife_10_n03041632_7495,ckdn,False,3,0.0053901672363281,0.3885099291801452
deblurred_nb_ls_adhoc,0039_lp_dnn_0_car_10_n03100240_9625,ckdn,False,0,0.0053837299346923,0.5940879583358765
deblurred_nb_ls_adhoc,0040_lp_dnn_10_elephant_10_n02504458_6107,ckdn,False,10,0.0058770179748535,0.2507845461368561
deblurred_nb_ls_adhoc,0041_lp_dnn_0_bicycle_10_n03792782_33649,ckdn,False,0,0.0054948329925537,0.5589224100112915
deblurred_nb_ls_adhoc,0042_lp_dnn_1_clock_10_n03196217_8282,ckdn,False,1,0.0052657127380371,0.580402135848999
deblurred_nb_ls_adhoc,0043_lp_dnn_7_keyboard_10_n03085013_21534,ckdn,False,7,0.0052125453948974,0.2561413049697876
deblurred_nb_ls_adhoc,0044_lp_dnn_15_elephant_10_n02504013_22813,ckdn,False,15,0.0054116249084472,0.1992091238498687
deblurred_nb_ls_adhoc,0045_lp_dnn_10_truck_10_n03796401_16425,ckdn,False,10,0.005408763885498,0.232963740825653
deblurred_nb_ls_adhoc,0046_lp_dnn_15_airplane_10_n02690373_9427,ckdn,False,15,0.0052754878997802,0.2681198716163635
deblurred_nb_ls_adhoc,0047_lp_dnn_7_bird_10_n02009912_11907,ckdn,False,7,0.0052101612091064,0.3473130762577057
deblurred_nb_ls_adhoc,0048_lp_dnn_1_airplane_10_n02690373_5773,ckdn,False,1,0.0051922798156738,0.5241339802742004
deblurred_nb_ls_adhoc,0050_lp_dnn_1_bird_10_n01819313_18188,ckdn,False,1,0.0054700374603271,0.5451900362968445
deblurred_nb_ls_adhoc,0051_lp_dnn_5_car_10_n04285008_7428,ckdn,False,5,0.0052554607391357,0.2862515747547149
deblurred_nb_ls_adhoc,0052_lp_dnn_7_bottle_10_n04591713_6923,ckdn,False,7,0.0053863525390625,0.2650159895420074
deblurred_nb_ls_adhoc,0053_lp_dnn_0_knife_10_n03041632_22570,ckdn,False,0,0.0053462982177734,0.628145158290863
deblurred_nb_ls_adhoc,0054_lp_dnn_0_bear_10_n02132136_7586,ckdn,False,0,0.0053925514221191,0.6522051692008972
deblurred_nb_ls_adhoc,0055_lp_dnn_5_clock_10_n04548280_9144,ckdn,False,5,0.0053293704986572,0.3512123227119446
deblurred_nb_ls_adhoc,0056_lp_dnn_0_bottle_10_n04591713_2680,ckdn,False,0,0.0054168701171875,0.5950942039489746
deblurred_nb_ls_adhoc,0057_lp_dnn_3_cat_10_n02123045_1596,ckdn,False,3,0.0054049491882324,0.3367324769496918
deblurred_nb_ls_adhoc,0058_lp_dnn_10_cat_10_n02123597_19450,ckdn,False,10,0.0051372051239013,0.2584842145442962
deblurred_nb_ls_adhoc,0059_lp_dnn_15_chair_10_n03376595_3462,ckdn,False,15,0.0049588680267333,0.368709534406662
deblurred_nb_ls_adhoc,0060_lp_dnn_3_bottle_10_n04591713_3683,ckdn,False,3,0.0051612854003906,0.3409661054611206
deblurred_nb_ls_adhoc,0061_lp_dnn_7_clock_10_n03196217_4309,ckdn,False,7,0.0048656463623046,0.3847402930259704
deblurred_nb_ls_adhoc,0062_lp_dnn_15_bear_10_n02134084_4923,ckdn,False,15,0.0051600933074951,0.2301996052265167
deblurred_nb_ls_adhoc,0063_lp_dnn_1_chair_10_n04429376_5238,ckdn,False,1,0.0053114891052246,0.5195526480674744
deblurred_nb_ls_adhoc,0064_lp_dnn_0_clock_10_n03196217_2414,ckdn,False,0,0.005220890045166,0.6073898673057556
deblurred_nb_ls_adhoc,0065_lp_dnn_3_bird_10_n01797886_2711,ckdn,False,3,0.0053765773773193,0.2477909624576568
deblurred_nb_ls_adhoc,0066_lp_dnn_15_truck_10_n04467665_68463,ckdn,False,15,0.0051321983337402,0.3180336356163025
deblurred_nb_ls_adhoc,0067_lp_dnn_0_truck_10_n03417042_10099,ckdn,False,0,0.0052342414855957,0.6536586284637451
deblurred_nb_ls_adhoc,0068_lp_dnn_10_bear_10_n02134418_3793,ckdn,False,10,0.00533127784729,0.2530384659767151
deblurred_nb_ls_adhoc,0069_lp_dnn_10_bottle_10_n03937543_9524,ckdn,False,10,0.0052878856658935,0.221426635980606
deblurred_nb_ls_adhoc,0070_lp_dnn_3_cat_10_n02123394_1038,ckdn,False,3,0.0051555633544921,0.3458053469657898
deblurred_nb_ls_adhoc,0071_lp_dnn_5_dog_10_n02110185_7886,ckdn,False,5,0.0053212642669677,0.4038900434970855
deblurred_nb_ls_adhoc,0072_lp_dnn_3_clock_10_n02708093_4912,ckdn,False,3,0.0051715373992919,0.3847641944885254
deblurred_nb_ls_adhoc,0073_lp_dnn_15_dog_10_n02108422_932,ckdn,False,15,0.0053493976593017,0.235587403178215
deblurred_nb_ls_adhoc,0074_lp_dnn_0_truck_10_n04467665_18621,ckdn,False,0,0.0053715705871582,0.6058126091957092
deblurred_nb_ls_adhoc,0075_lp_dnn_1_truck_10_n04467665_50932,ckdn,False,1,0.0053520202636718,0.4890496432781219
deblurred_nb_ls_adhoc,0076_lp_dnn_1_dog_10_n02102480_7293,ckdn,False,1,0.0053737163543701,0.4803413450717926
deblurred_nb_ls_adhoc,0077_lp_dnn_1_bottle_10_n04591713_4764,ckdn,False,1,0.0050218105316162,0.4464979171752929
deblurred_nb_ls_adhoc,0078_lp_dnn_15_clock_10_n02708093_274,ckdn,False,15,0.0051431655883789,0.2463624775409698
deblurred_nb_ls_adhoc,0079_lp_dnn_5_bottle_10_n04557648_29772,ckdn,False,5,0.0051932334899902,0.2771195769309997
deblurred_nb_ls_adhoc,0080_lp_dnn_15_car_10_n03100240_22499,ckdn,False,15,0.0050842761993408,0.246219128370285
deblurred_nb_ls_adhoc,0081_lp_dnn_3_clock_10_n02708093_6252,ckdn,False,3,0.0049159526824951,0.2906889021396637
deblurred_nb_ls_adhoc,0082_lp_dnn_10_airplane_10_n02690373_5427,ckdn,False,10,0.0049943923950195,0.2796879410743713
deblurred_nb_ls_adhoc,0083_lp_dnn_15_dog_10_n02107142_46045,ckdn,False,15,0.0051417350769042,0.2409785836935043
