dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,dists,True,5,0.0071337223052978,0.3853052854537964
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,dists,True,1,0.0069847106933593,0.1548475623130798
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,dists,True,3,0.006995677947998,0.2787611484527588
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,dists,True,7,0.0069074630737304,0.4155128002166748
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,dists,True,7,0.0069003105163574,0.3538210988044739
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,dists,True,1,0.0069868564605712,0.116844356060028
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,dists,True,10,0.0069501399993896,0.4388279318809509
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,dists,True,5,0.006760835647583,0.3904511928558349
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,dists,True,3,0.0068588256835937,0.3362576961517334
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,dists,True,3,0.0072054862976074,0.3023806810379028
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,dists,True,7,0.0068814754486083,0.4022002220153808
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,dists,True,10,0.0067570209503173,0.4810075163841247
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,dists,True,5,0.0069875717163085,0.3657934665679931
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,dists,True,1,0.0069265365600585,0.1613255739212036
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,dists,True,7,0.0070493221282958,0.3951452374458313
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,dists,True,10,0.0068311691284179,0.4354161620140075
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,dists,True,15,0.0068726539611816,0.5446339845657349
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,dists,True,10,0.0068860054016113,0.4736252427101135
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206,dists,True,1,0.0069549083709716,0.1002789735794067
deblurred_nb_ls_adhoc,0024_lp_dnn_7_truck_10_n03417042_2633,dists,True,7,0.0069169998168945,0.4416946768760681
