dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,gmsd,True,5,0.003667116165161133,0.2600686550140381
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,gmsd,True,1,0.003613710403442383,0.030785977840423584
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,gmsd,True,3,0.0035762786865234375,0.09038495272397995
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,gmsd,True,7,0.003488302230834961,0.24378865957260132
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,gmsd,True,7,0.003565549850463867,0.17534923553466797
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,gmsd,True,1,0.0035767555236816406,0.026219092309474945
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,gmsd,True,10,0.003525257110595703,0.2385735660791397
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,gmsd,True,5,0.0032892227172851562,0.2497253566980362
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,gmsd,True,3,0.003424406051635742,0.15153758227825165
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,gmsd,True,3,0.0036270618438720703,0.1376125067472458
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,gmsd,True,7,0.003387451171875,0.21255238354206085
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,gmsd,True,10,0.003289461135864258,0.2897389233112335
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,gmsd,True,5,0.0036313533782958984,0.21851465106010437
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,gmsd,True,1,0.0034644603729248047,0.07374323159456253
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,gmsd,True,7,0.003543376922607422,0.21442437171936035
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,gmsd,True,10,0.003373861312866211,0.25060418248176575
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,gmsd,True,15,0.003419637680053711,0.2955624759197235
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,gmsd,True,10,0.003457784652709961,0.2729247808456421
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206,gmsd,True,1,0.0035119056701660156,0.020392540842294693
deblurred_nb_ls_adhoc,0024_lp_dnn_7_truck_10_n03417042_2633,gmsd,True,7,0.0034890174865722656,0.26231643557548523
