dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,lpips-vgg,True,5,0.009952783584594727,0.597659170627594
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,lpips-vgg,True,1,0.009799718856811523,0.177867591381073
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,lpips-vgg,True,3,0.009768009185791016,0.4602997303009033
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,lpips-vgg,True,7,0.009689807891845703,0.5516237020492554
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,lpips-vgg,True,7,0.009661197662353516,0.4969252943992615
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,lpips-vgg,True,1,0.009801387786865234,0.1683061718940735
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,lpips-vgg,True,10,0.009740829467773438,0.6170876622200012
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,lpips-vgg,True,5,0.009495019912719727,0.5276877880096436
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,lpips-vgg,True,3,0.009624004364013672,0.6219591498374939
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,lpips-vgg,True,3,0.009845972061157227,0.4388677477836609
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,lpips-vgg,True,7,0.009671449661254883,0.5223597884178162
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,lpips-vgg,True,10,0.009498834609985352,0.7854174375534058
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,lpips-vgg,True,5,0.009780406951904297,0.5874630808830261
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,lpips-vgg,True,1,0.009673595428466797,0.2232273668050766
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,lpips-vgg,True,7,0.009738445281982422,0.630059540271759
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,lpips-vgg,True,10,0.009625911712646484,0.6304265856742859
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,lpips-vgg,True,15,0.009683370590209961,0.8225432634353638
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,lpips-vgg,True,10,0.009676218032836914,0.686347484588623
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206,lpips-vgg,True,1,0.009724140167236328,0.1543620526790619
deblurred_nb_ls_adhoc,0024_lp_dnn_7_truck_10_n03417042_2633,lpips-vgg,True,7,0.009711027145385742,0.6521991491317749
deblurred_nb_ls_adhoc,0025_lp_dnn_15_keyboard_10_n03085013_24416,lpips-vgg,True,15,0.009612798690795898,0.7810289859771729
deblurred_nb_ls_adhoc,0026_lp_dnn_7_car_10_n02814533_44503,lpips-vgg,True,7,0.009629011154174805,0.6625519394874573
deblurred_nb_ls_adhoc,0027_lp_dnn_5_elephant_10_n02504458_5797,lpips-vgg,True,5,0.009661436080932617,0.6992306709289551
deblurred_nb_ls_adhoc,0028_lp_dnn_0_chair_10_n04429376_8237,lpips-vgg,True,0,0.009985208511352539,0.033182673156261444
deblurred_nb_ls_adhoc,0029_lp_dnn_7_cat_10_n02123159_587,lpips-vgg,True,7,0.009398698806762695,0.6624274253845215
deblurred_nb_ls_adhoc,0030_lp_dnn_10_bird_10_n02028035_17238,lpips-vgg,True,10,0.009191036224365234,0.7090277671813965
deblurred_nb_ls_adhoc,0032_lp_dnn_5_boat_10_n04273569_22332,lpips-vgg,True,5,0.009052276611328125,0.6227270364761353
deblurred_nb_ls_adhoc,0033_lp_dnn_1_elephant_10_n02504013_1244,lpips-vgg,True,1,0.009409427642822266,0.17777016758918762
deblurred_nb_ls_adhoc,0034_lp_dnn_7_bicycle_10_n03792782_30229,lpips-vgg,True,7,0.009137630462646484,0.6168067455291748
deblurred_nb_ls_adhoc,0035_lp_dnn_10_keyboard_10_n03085013_7573,lpips-vgg,True,10,0.009043693542480469,0.7565019130706787
deblurred_nb_ls_adhoc,0036_lp_dnn_3_keyboard_10_n03085013_24578,lpips-vgg,True,3,0.009148597717285156,0.5369864702224731
deblurred_nb_ls_adhoc,0037_lp_dnn_15_truck_10_n03417042_1336,lpips-vgg,True,15,0.009367704391479492,0.7560795545578003
deblurred_nb_ls_adhoc,0038_lp_dnn_3_knife_10_n03041632_7495,lpips-vgg,True,3,0.00938868522644043,0.45787620544433594
deblurred_nb_ls_adhoc,0039_lp_dnn_0_car_10_n03100240_9625,lpips-vgg,True,0,0.009544134140014648,0.01907637156546116
deblurred_nb_ls_adhoc,0040_lp_dnn_10_elephant_10_n02504458_6107,lpips-vgg,True,10,0.00914764404296875,0.7698318362236023
deblurred_nb_ls_adhoc,0041_lp_dnn_0_bicycle_10_n03792782_33649,lpips-vgg,True,0,0.009646892547607422,0.019394289702177048
deblurred_nb_ls_adhoc,0042_lp_dnn_1_clock_10_n03196217_8282,lpips-vgg,True,1,0.009169578552246094,0.26079243421554565
deblurred_nb_ls_adhoc,0043_lp_dnn_7_keyboard_10_n03085013_21534,lpips-vgg,True,7,0.009080886840820312,0.5533264875411987
