dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,ms_ssim,False,5,0.012639284133911133,0.7850648522333451
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,ms_ssim,False,1,0.012621164321899414,0.9895519448629787
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,ms_ssim,False,3,0.012610197067260742,0.9539783015570598
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,ms_ssim,False,7,0.012532234191894531,0.7672703355882652
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,ms_ssim,False,7,0.012523889541625977,0.8459347878890108
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,ms_ssim,False,1,0.012646675109863281,0.9873897366915502
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,ms_ssim,False,10,0.01257181167602539,0.684106701773509
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,ms_ssim,False,5,0.012481927871704102,0.836467369137315
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,ms_ssim,False,3,0.012481451034545898,0.81184596163085
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,ms_ssim,False,3,0.012694835662841797,0.9159722126474973
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,ms_ssim,False,7,0.012450695037841797,0.7964702523056636
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,ms_ssim,False,10,0.012343883514404297,0.496152455157531
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,ms_ssim,False,5,0.012628793716430664,0.8214222291217395
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,ms_ssim,False,1,0.012535810470581055,0.9831146890640493
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,ms_ssim,False,7,0.012580156326293945,0.7879107902309532
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,ms_ssim,False,10,0.01248478889465332,0.727505974566834
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,ms_ssim,False,15,0.012546539306640625,0.47580643763712965
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,ms_ssim,False,10,0.012486457824707031,0.5277532960082967
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206,ms_ssim,False,1,0.012566566467285156,0.9928920042899453
deblurred_nb_ls_adhoc,0024_lp_dnn_7_truck_10_n03417042_2633,ms_ssim,False,7,0.012559890747070312,0.7004979602441558
deblurred_nb_ls_adhoc,0025_lp_dnn_15_keyboard_10_n03085013_24416,ms_ssim,False,15,0.01247406005859375,0.5518834375281524
deblurred_nb_ls_adhoc,0026_lp_dnn_7_car_10_n02814533_44503,ms_ssim,False,7,0.01244354248046875,0.7220422667747243
deblurred_nb_ls_adhoc,0027_lp_dnn_5_elephant_10_n02504458_5797,ms_ssim,False,5,0.012506246566772461,0.7694009784199001
deblurred_nb_ls_adhoc,0028_lp_dnn_0_chair_10_n04429376_8237,ms_ssim,False,0,0.01303243637084961,0.9776195713405964
deblurred_nb_ls_adhoc,0029_lp_dnn_7_cat_10_n02123159_587,ms_ssim,False,7,0.012645483016967773,0.6496375627561645
deblurred_nb_ls_adhoc,0030_lp_dnn_10_bird_10_n02028035_17238,ms_ssim,False,10,0.012479305267333984,0.5518677631212515
deblurred_nb_ls_adhoc,0032_lp_dnn_5_boat_10_n04273569_22332,ms_ssim,False,5,0.012357473373413086,0.8026463877235399
