dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,stlpips-vgg,True,5,0.010829687118530273,0.6779845952987671
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,stlpips-vgg,True,1,0.0106353759765625,0.20218074321746826
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,stlpips-vgg,True,3,0.010474443435668945,0.36544883251190186
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,stlpips-vgg,True,7,0.010227441787719727,0.8129434585571289
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,stlpips-vgg,True,7,0.01018834114074707,0.6069628000259399
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,stlpips-vgg,True,1,0.010300874710083008,0.1941772699356079
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,stlpips-vgg,True,10,0.010212182998657227,0.737089216709137
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,stlpips-vgg,True,5,0.009971380233764648,0.6099806427955627
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,stlpips-vgg,True,3,0.010092735290527344,0.8615887761116028
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,stlpips-vgg,True,3,0.010403633117675781,0.49051111936569214
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,stlpips-vgg,True,7,0.010068178176879883,0.5000055432319641
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,stlpips-vgg,True,10,0.009974956512451172,1.0513451099395752
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,stlpips-vgg,True,5,0.010232925415039062,0.7586219310760498
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,stlpips-vgg,True,1,0.010132312774658203,0.30166301131248474
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,stlpips-vgg,True,7,0.010200738906860352,0.6828699707984924
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,stlpips-vgg,True,10,0.010019779205322266,0.6909816861152649
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,stlpips-vgg,True,15,0.010083436965942383,0.9978309869766235
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,stlpips-vgg,True,10,0.010105609893798828,0.9623501300811768
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206,stlpips-vgg,True,1,0.010178565979003906,0.0995832234621048
