dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_fr-pipal,False,5,0.019431352615356445,0.1983775645494461
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_fr-pipal,False,1,0.01869964599609375,0.6944421529769897
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_fr-pipal,False,3,0.018656253814697266,0.5315625071525574
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_fr-pipal,False,7,0.018503189086914062,0.15695145726203918
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_fr-pipal,False,7,0.018572092056274414,0.21152043342590332
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,topiq_fr-pipal,False,1,0.018802165985107422,0.6817446351051331
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_fr-pipal,False,10,0.018613100051879883,0.13079294562339783
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,topiq_fr-pipal,False,5,0.01844477653503418,0.246541365981102
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_fr-pipal,False,3,0.018530607223510742,0.4296872615814209
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_fr-pipal,False,3,0.018732070922851562,0.41248035430908203
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_fr-pipal,False,7,0.018372774124145508,0.18260742723941803
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_fr-pipal,False,10,0.018378496170043945,0.17333723604679108
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_fr-pipal,False,5,0.018651962280273438,0.2633770704269409
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_fr-pipal,False,1,0.0185089111328125,0.6944493055343628
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_fr-pipal,False,7,0.01864171028137207,0.18649473786354065
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_fr-pipal,False,10,0.01840806007385254,0.13356271386146545
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_fr-pipal,False,15,0.01851677894592285,0.08949176967144012
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_fr-pipal,False,10,0.018610239028930664,0.13354551792144775
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_fr-pipal,False,1,0.01865100860595703,0.7018824219703674
deblurred_nb_ls_adhoc,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_fr-pipal,False,7,0.01861262321472168,0.1736118048429489
deblurred_nb_ls_adhoc,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_fr-pipal,False,15,0.018487215042114258,0.13984669744968414
deblurred_nb_ls_adhoc,0026_lp_dnn_7_car_10_n02814533_44503,topiq_fr-pipal,False,7,0.018352985382080078,0.15220753848552704
deblurred_nb_ls_adhoc,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_fr-pipal,False,5,0.018468141555786133,0.3078291118144989
deblurred_nb_ls_adhoc,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_fr-pipal,False,0,0.019147157669067383,0.7641111612319946
deblurred_nb_ls_adhoc,0029_lp_dnn_7_cat_10_n02123159_587,topiq_fr-pipal,False,7,0.01864147186279297,0.18576286733150482
deblurred_nb_ls_adhoc,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_fr-pipal,False,10,0.018454313278198242,0.1290745884180069
deblurred_nb_ls_adhoc,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_fr-pipal,False,5,0.01832723617553711,0.28561657667160034
deblurred_nb_ls_adhoc,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_fr-pipal,False,1,0.018686771392822266,0.6984190344810486
deblurred_nb_ls_adhoc,0034_lp_dnn_7_bicycle_10_n03792782_30229,topiq_fr-pipal,False,7,0.018412351608276367,0.1877388209104538
deblurred_nb_ls_adhoc,0035_lp_dnn_10_keyboard_10_n03085013_7573,topiq_fr-pipal,False,10,0.01836991310119629,0.11417467147111893
deblurred_nb_ls_adhoc,0036_lp_dnn_3_keyboard_10_n03085013_24578,topiq_fr-pipal,False,3,0.018437862396240234,0.37396153807640076
deblurred_nb_ls_adhoc,0037_lp_dnn_15_truck_10_n03417042_1336,topiq_fr-pipal,False,15,0.018489599227905273,0.1027425229549408
deblurred_nb_ls_adhoc,0038_lp_dnn_3_knife_10_n03041632_7495,topiq_fr-pipal,False,3,0.018572092056274414,0.37132397294044495
deblurred_nb_ls_adhoc,0039_lp_dnn_0_car_10_n03100240_9625,topiq_fr-pipal,False,0,0.018790245056152344,0.8144121170043945
deblurred_nb_ls_adhoc,0040_lp_dnn_10_elephant_10_n02504458_6107,topiq_fr-pipal,False,10,0.018410682678222656,0.16435691714286804
