dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa+_rn50_512,False,5,0.1432709693908691,0.1783541440963745
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa+_rn50_512,False,1,0.1044211387634277,0.3870396614074707
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa+_rn50_512,False,3,0.0898623466491699,0.1478002965450287
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa+_rn50_512,False,7,0.0873425006866455,0.1403150856494903
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa+_rn50_512,False,7,0.0805246829986572,0.1775321960449218
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa+_rn50_512,False,1,0.0499627590179443,0.4456362724304199
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa+_rn50_512,False,10,0.0678045749664306,0.1436765193939209
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa+_rn50_512,False,5,0.0689227581024169,0.1248484775424003
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa+_rn50_512,False,3,0.0649263858795166,0.1115336492657661
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa+_rn50_512,False,3,0.0721886157989502,0.2007599025964737
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa+_rn50_512,False,7,0.0630872249603271,0.1856926828622818
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa+_rn50_512,False,10,0.0679564476013183,0.1366709470748901
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa+_rn50_512,False,5,0.0648183822631836,0.1953442245721817
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa+_rn50_512,False,1,0.058591604232788,0.5184864401817322
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa+_rn50_512,False,7,0.0696816444396972,0.1721870750188827
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa+_rn50_512,False,10,0.0759339332580566,0.1966061890125274
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa+_rn50_512,False,15,0.0728302001953125,0.1863340884447097
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,clipiqa+_rn50_512,False,10,0.074700117111206,0.134771466255188
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206,clipiqa+_rn50_512,False,1,0.0852274894714355,0.4322637319564819
deblurred_nb_ls_adhoc,0024_lp_dnn_7_truck_10_n03417042_2633,clipiqa+_rn50_512,False,7,0.093207836151123,0.1531185656785965
deblurred_nb_ls_adhoc,0025_lp_dnn_15_keyboard_10_n03085013_24416,clipiqa+_rn50_512,False,15,0.0825376510620117,0.2052862346172332
deblurred_nb_ls_adhoc,0026_lp_dnn_7_car_10_n02814533_44503,clipiqa+_rn50_512,False,7,0.0179216861724853,0.1500991135835647
