dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa,False,5,0.08897686004638672,0.15130086243152618
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa,False,1,0.018711328506469727,0.3622826933860779
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa,False,3,0.018364429473876953,0.18394963443279266
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa,False,7,0.01817464828491211,0.18358062207698822
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa,False,7,0.017714977264404297,0.1972190886735916
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa,False,1,0.017503976821899414,0.7679314613342285
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa,False,10,0.017418622970581055,0.1808168888092041
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa,False,5,0.017447233200073242,0.2165083885192871
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa,False,3,0.017413854598999023,0.13743512332439423
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa,False,3,0.017625808715820312,0.33659717440605164
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa,False,7,0.01757335662841797,0.17588627338409424
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa,False,10,0.017563343048095703,0.18472075462341309
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa,False,5,0.017640113830566406,0.22808270156383514
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa,False,1,0.01754593849182129,0.6630051732063293
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa,False,7,0.017404556274414062,0.22567880153656006
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa,False,10,0.01735234260559082,0.23141756653785706
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa,False,15,0.017352819442749023,0.23101602494716644
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,clipiqa,False,10,0.017589092254638672,0.17684440314769745
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206,clipiqa,False,1,0.017700910568237305,0.29517099261283875
deblurred_nb_ls_adhoc,0024_lp_dnn_7_truck_10_n03417042_2633,clipiqa,False,7,0.017670869827270508,0.22986836731433868
deblurred_nb_ls_adhoc,0025_lp_dnn_15_keyboard_10_n03085013_24416,clipiqa,False,15,0.017611265182495117,0.2474067062139511
deblurred_nb_ls_adhoc,0026_lp_dnn_7_car_10_n02814533_44503,clipiqa,False,7,0.017386674880981445,0.21581049263477325
deblurred_nb_ls_adhoc,0027_lp_dnn_5_elephant_10_n02504458_5797,clipiqa,False,5,0.017404556274414062,0.13817046582698822
deblurred_nb_ls_adhoc,0028_lp_dnn_0_chair_10_n04429376_8237,clipiqa,False,0,0.017473220825195312,0.5315357446670532
deblurred_nb_ls_adhoc,0029_lp_dnn_7_cat_10_n02123159_587,clipiqa,False,7,0.017386913299560547,0.1275329887866974
deblurred_nb_ls_adhoc,0030_lp_dnn_10_bird_10_n02028035_17238,clipiqa,False,10,0.017671823501586914,0.22223742306232452
deblurred_nb_ls_adhoc,0032_lp_dnn_5_boat_10_n04273569_22332,clipiqa,False,5,0.01763319969177246,0.18159067630767822
deblurred_nb_ls_adhoc,0033_lp_dnn_1_elephant_10_n02504013_1244,clipiqa,False,1,0.017765283584594727,0.6758611798286438
deblurred_nb_ls_adhoc,0034_lp_dnn_7_bicycle_10_n03792782_30229,clipiqa,False,7,0.01763606071472168,0.23928649723529816
deblurred_nb_ls_adhoc,0035_lp_dnn_10_keyboard_10_n03085013_7573,clipiqa,False,10,0.0174868106842041,0.2268550843000412
deblurred_nb_ls_adhoc,0036_lp_dnn_3_keyboard_10_n03085013_24578,clipiqa,False,3,0.01743769645690918,0.3071272373199463
deblurred_nb_ls_adhoc,0037_lp_dnn_15_truck_10_n03417042_1336,clipiqa,False,15,0.01735067367553711,0.18917392194271088
deblurred_nb_ls_adhoc,0038_lp_dnn_3_knife_10_n03041632_7495,clipiqa,False,3,0.017595529556274414,0.2604243755340576
deblurred_nb_ls_adhoc,0039_lp_dnn_0_car_10_n03100240_9625,clipiqa,False,0,0.017640352249145508,0.489553838968277
deblurred_nb_ls_adhoc,0040_lp_dnn_10_elephant_10_n02504458_6107,clipiqa,False,10,0.017624855041503906,0.15622341632843018
deblurred_nb_ls_adhoc,0041_lp_dnn_0_bicycle_10_n03792782_33649,clipiqa,False,0,0.017771244049072266,0.25189194083213806
deblurred_nb_ls_adhoc,0042_lp_dnn_1_clock_10_n03196217_8282,clipiqa,False,1,0.0176393985748291,0.43172597885131836
deblurred_nb_ls_adhoc,0043_lp_dnn_7_keyboard_10_n03085013_21534,clipiqa,False,7,0.017609596252441406,0.15871012210845947
deblurred_nb_ls_adhoc,0044_lp_dnn_15_elephant_10_n02504013_22813,clipiqa,False,15,0.017391681671142578,0.23302264511585236
deblurred_nb_ls_adhoc,0045_lp_dnn_10_truck_10_n03796401_16425,clipiqa,False,10,0.017329692840576172,0.18363691866397858
deblurred_nb_ls_adhoc,0046_lp_dnn_15_airplane_10_n02690373_9427,clipiqa,False,15,0.01734447479248047,0.2226519137620926
deblurred_nb_ls_adhoc,0047_lp_dnn_7_bird_10_n02009912_11907,clipiqa,False,7,0.017531871795654297,0.22875447571277618
deblurred_nb_ls_adhoc,0048_lp_dnn_1_airplane_10_n02690373_5773,clipiqa,False,1,0.017668962478637695,0.5250148177146912
deblurred_nb_ls_adhoc,0050_lp_dnn_1_bird_10_n01819313_18188,clipiqa,False,1,0.0178375244140625,0.5976776480674744
deblurred_nb_ls_adhoc,0051_lp_dnn_5_car_10_n04285008_7428,clipiqa,False,5,0.017629146575927734,0.1553039401769638
deblurred_nb_ls_adhoc,0052_lp_dnn_7_bottle_10_n04591713_6923,clipiqa,False,7,0.017577171325683594,0.12207678705453873
deblurred_nb_ls_adhoc,0053_lp_dnn_0_knife_10_n03041632_22570,clipiqa,False,0,0.017487764358520508,0.6285876631736755
deblurred_nb_ls_adhoc,0054_lp_dnn_0_bear_10_n02132136_7586,clipiqa,False,0,0.017345905303955078,0.7007572650909424
deblurred_nb_ls_adhoc,0055_lp_dnn_5_clock_10_n04548280_9144,clipiqa,False,5,0.017425537109375,0.14773817360401154
deblurred_nb_ls_adhoc,0056_lp_dnn_0_bottle_10_n04591713_2680,clipiqa,False,0,0.0175933837890625,0.6468417048454285
deblurred_nb_ls_adhoc,0057_lp_dnn_3_cat_10_n02123045_1596,clipiqa,False,3,0.01749253273010254,0.2430838793516159
deblurred_nb_ls_adhoc,0058_lp_dnn_10_cat_10_n02123597_19450,clipiqa,False,10,0.01746845245361328,0.20196139812469482
deblurred_nb_ls_adhoc,0059_lp_dnn_15_chair_10_n03376595_3462,clipiqa,False,15,0.017530441284179688,0.2705431580543518
deblurred_nb_ls_adhoc,0060_lp_dnn_3_bottle_10_n04591713_3683,clipiqa,False,3,0.017626047134399414,0.19300580024719238
deblurred_nb_ls_adhoc,0061_lp_dnn_7_clock_10_n03196217_4309,clipiqa,False,7,0.01739645004272461,0.3052387833595276
deblurred_nb_ls_adhoc,0062_lp_dnn_15_bear_10_n02134084_4923,clipiqa,False,15,0.01738762855529785,0.22860030829906464
deblurred_nb_ls_adhoc,0063_lp_dnn_1_chair_10_n04429376_5238,clipiqa,False,1,0.01756596565246582,0.35240888595581055
deblurred_nb_ls_adhoc,0064_lp_dnn_0_clock_10_n03196217_2414,clipiqa,False,0,0.017670631408691406,0.6492000818252563
deblurred_nb_ls_adhoc,0065_lp_dnn_3_bird_10_n01797886_2711,clipiqa,False,3,0.017695188522338867,0.18742774426937103
deblurred_nb_ls_adhoc,0066_lp_dnn_15_truck_10_n04467665_68463,clipiqa,False,15,0.017520666122436523,0.25632596015930176
deblurred_nb_ls_adhoc,0067_lp_dnn_0_truck_10_n03417042_10099,clipiqa,False,0,0.017747163772583008,0.7243342995643616
deblurred_nb_ls_adhoc,0068_lp_dnn_10_bear_10_n02134418_3793,clipiqa,False,10,0.017688512802124023,0.2498030662536621
deblurred_nb_ls_adhoc,0069_lp_dnn_10_bottle_10_n03937543_9524,clipiqa,False,10,0.01742267608642578,0.19105829298496246
deblurred_nb_ls_adhoc,0070_lp_dnn_3_cat_10_n02123394_1038,clipiqa,False,3,0.01741480827331543,0.23080480098724365
deblurred_nb_ls_adhoc,0071_lp_dnn_5_dog_10_n02110185_7886,clipiqa,False,5,0.01741766929626465,0.26287803053855896
deblurred_nb_ls_adhoc,0072_lp_dnn_3_clock_10_n02708093_4912,clipiqa,False,3,0.017444610595703125,0.20716305077075958
deblurred_nb_ls_adhoc,0073_lp_dnn_15_dog_10_n02108422_932,clipiqa,False,15,0.01767110824584961,0.23022715747356415
deblurred_nb_ls_adhoc,0074_lp_dnn_0_truck_10_n04467665_18621,clipiqa,False,0,0.017887353897094727,0.5736101269721985
deblurred_nb_ls_adhoc,0075_lp_dnn_1_truck_10_n04467665_50932,clipiqa,False,1,0.017788171768188477,0.35105735063552856
deblurred_nb_ls_adhoc,0076_lp_dnn_1_dog_10_n02102480_7293,clipiqa,False,1,0.017764806747436523,0.53481125831604
deblurred_nb_ls_adhoc,0077_lp_dnn_1_bottle_10_n04591713_4764,clipiqa,False,1,0.017619848251342773,0.5029301643371582
deblurred_nb_ls_adhoc,0078_lp_dnn_15_clock_10_n02708093_274,clipiqa,False,15,0.0173799991607666,0.2120291292667389
deblurred_nb_ls_adhoc,0079_lp_dnn_5_bottle_10_n04557648_29772,clipiqa,False,5,0.01737380027770996,0.12279222160577774
deblurred_nb_ls_adhoc,0080_lp_dnn_15_car_10_n03100240_22499,clipiqa,False,15,0.017417192459106445,0.2335270643234253
deblurred_nb_ls_adhoc,0081_lp_dnn_3_clock_10_n02708093_6252,clipiqa,False,3,0.01763129234313965,0.3530332148075104
deblurred_nb_ls_adhoc,0082_lp_dnn_10_airplane_10_n02690373_5427,clipiqa,False,10,0.01760125160217285,0.35113102197647095
deblurred_nb_ls_adhoc,0083_lp_dnn_15_dog_10_n02107142_46045,clipiqa,False,15,0.01757669448852539,0.24961483478546143
deblurred_nb_ls_adhoc,0085_lp_dnn_3_bicycle_10_n03792782_12421,clipiqa,False,3,0.01768326759338379,0.17361164093017578
