dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,cnniqa,False,5,0.015206098556518555,0.2645699679851532
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,cnniqa,False,1,0.014997720718383789,0.3851819634437561
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,cnniqa,False,3,0.014834880828857422,0.25626030564308167
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,cnniqa,False,7,0.014765739440917969,0.18991440534591675
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,cnniqa,False,7,0.014757156372070312,0.2004205882549286
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,cnniqa,False,1,0.01479959487915039,0.4197559058666229
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,cnniqa,False,10,0.014822006225585938,0.2405112385749817
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,cnniqa,False,5,0.014761686325073242,0.14553867280483246
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,cnniqa,False,3,0.014801502227783203,0.26222673058509827
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,cnniqa,False,3,0.01482248306274414,0.23842240869998932
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,cnniqa,False,7,0.014691829681396484,0.1016426756978035
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,cnniqa,False,10,0.014739513397216797,0.22357934713363647
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,cnniqa,False,5,0.014781951904296875,0.17664746940135956
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,cnniqa,False,1,0.014894723892211914,0.40684714913368225
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,cnniqa,False,7,0.014765739440917969,0.22852429747581482
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,cnniqa,False,10,0.014741182327270508,0.28268906474113464
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,cnniqa,False,15,0.014698982238769531,0.32163920998573303
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,cnniqa,False,10,0.014727115631103516,0.3261752426624298
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206,cnniqa,False,1,0.014825820922851562,0.39595890045166016
deblurred_nb_ls_adhoc,0024_lp_dnn_7_truck_10_n03417042_2633,cnniqa,False,7,0.014743328094482422,0.32360169291496277
deblurred_nb_ls_adhoc,0025_lp_dnn_15_keyboard_10_n03085013_24416,cnniqa,False,15,0.014743804931640625,0.19667242467403412
deblurred_nb_ls_adhoc,0026_lp_dnn_7_car_10_n02814533_44503,cnniqa,False,7,0.014746427536010742,0.24762435257434845
deblurred_nb_ls_adhoc,0027_lp_dnn_5_elephant_10_n02504458_5797,cnniqa,False,5,0.014772891998291016,0.3033318519592285
deblurred_nb_ls_adhoc,0028_lp_dnn_0_chair_10_n04429376_8237,cnniqa,False,0,0.014880180358886719,0.6664472818374634
