dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,hyperiqa,False,5,0.2336573600769043,0.1186435744166374
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,hyperiqa,False,1,0.0982739925384521,0.3788133263587951
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,hyperiqa,False,3,0.082226276397705,0.1725888848304748
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,hyperiqa,False,7,0.0829646587371826,0.1660459488630294
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,hyperiqa,False,7,0.0820052623748779,0.1347773075103759
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,hyperiqa,False,1,0.0807063579559326,0.3154184520244598
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,hyperiqa,False,10,0.072075605392456,0.1242682784795761
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,hyperiqa,False,5,0.0655522346496582,0.141952097415924
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,hyperiqa,False,3,0.0817606449127197,0.1569892764091491
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,hyperiqa,False,3,0.0751268863677978,0.1791779696941375
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,hyperiqa,False,7,0.0591616630554199,0.2313243448734283
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,hyperiqa,False,10,0.0249989032745361,0.1255632191896438
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,hyperiqa,False,5,0.0214757919311523,0.1532845050096511
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,hyperiqa,False,1,0.0213816165924072,0.4154257774353027
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,hyperiqa,False,7,0.0217232704162597,0.1391738355159759
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,hyperiqa,False,10,0.0630977153778076,0.1199271902441978
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,hyperiqa,False,15,0.0738060474395752,0.1410676091909408
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,hyperiqa,False,10,0.0211627483367919,0.1785027682781219
