dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,maniqa-kadid,False,5,0.3981757164001465,0.1228393986821174
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,maniqa-kadid,False,1,0.401677131652832,0.2934117019176483
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,maniqa-kadid,False,3,0.4131639003753662,0.224489688873291
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,maniqa-kadid,False,7,0.4029853343963623,0.0891119837760925
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,maniqa-kadid,False,7,0.4076979160308838,0.1100503206253051
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,maniqa-kadid,False,1,0.4056301116943359,0.2631070017814636
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,maniqa-kadid,False,10,0.4037964344024658,0.0705331191420555
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,maniqa-kadid,False,5,0.4093713760375976,0.1549389362335205
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,maniqa-kadid,False,3,0.4045119285583496,0.1432382762432098
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,maniqa-kadid,False,3,0.4072690010070801,0.2042445987462997
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,maniqa-kadid,False,7,0.4058256149291992,0.1115878000855445
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,maniqa-kadid,False,10,0.408189058303833,0.0649828910827636
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,maniqa-kadid,False,5,0.4068777561187744,0.153771311044693
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,maniqa-kadid,False,1,0.4058754444122314,0.3082325458526611
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,maniqa-kadid,False,7,0.4081153869628906,0.1411425471305847
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,maniqa-kadid,False,10,0.4058823585510254,0.1284908205270767
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,maniqa-kadid,False,15,0.4074416160583496,0.0673577263951301
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,maniqa-kadid,False,10,0.4060041904449463,0.0978884622454643
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206,maniqa-kadid,False,1,0.4062461853027344,0.2611616551876068
deblurred_nb_ls_adhoc,0024_lp_dnn_7_truck_10_n03417042_2633,maniqa-kadid,False,7,0.4076979160308838,0.1383973658084869
deblurred_nb_ls_adhoc,0025_lp_dnn_15_keyboard_10_n03085013_24416,maniqa-kadid,False,15,0.4058213233947754,0.1107403859496116
deblurred_nb_ls_adhoc,0026_lp_dnn_7_car_10_n02814533_44503,maniqa-kadid,False,7,0.4090337753295898,0.1185812205076217
deblurred_nb_ls_adhoc,0027_lp_dnn_5_elephant_10_n02504458_5797,maniqa-kadid,False,5,0.4064888954162597,0.1157441213726997
deblurred_nb_ls_adhoc,0028_lp_dnn_0_chair_10_n04429376_8237,maniqa-kadid,False,0,0.4071168899536133,0.3274518847465515
deblurred_nb_ls_adhoc,0029_lp_dnn_7_cat_10_n02123159_587,maniqa-kadid,False,7,0.407527208328247,0.0693117976188659
deblurred_nb_ls_adhoc,0030_lp_dnn_10_bird_10_n02028035_17238,maniqa-kadid,False,10,0.4055097103118896,0.0722158104181289
deblurred_nb_ls_adhoc,0032_lp_dnn_5_boat_10_n04273569_22332,maniqa-kadid,False,5,0.4080810546875,0.1996778398752212
deblurred_nb_ls_adhoc,0033_lp_dnn_1_elephant_10_n02504013_1244,maniqa-kadid,False,1,0.4071054458618164,0.2963198125362396
deblurred_nb_ls_adhoc,0034_lp_dnn_7_bicycle_10_n03792782_30229,maniqa-kadid,False,7,0.4074704647064209,0.1701527535915374
deblurred_nb_ls_adhoc,0035_lp_dnn_10_keyboard_10_n03085013_7573,maniqa-kadid,False,10,0.407102108001709,0.0663071423768997
deblurred_nb_ls_adhoc,0036_lp_dnn_3_keyboard_10_n03085013_24578,maniqa-kadid,False,3,0.4070491790771484,0.227054476737976
deblurred_nb_ls_adhoc,0037_lp_dnn_15_truck_10_n03417042_1336,maniqa-kadid,False,15,0.406717300415039,0.0602257475256919
deblurred_nb_ls_adhoc,0038_lp_dnn_3_knife_10_n03041632_7495,maniqa-kadid,False,3,0.4090979099273681,0.224039077758789
deblurred_nb_ls_adhoc,0039_lp_dnn_0_car_10_n03100240_9625,maniqa-kadid,False,0,0.4070258140563965,0.3567412197589874
deblurred_nb_ls_adhoc,0040_lp_dnn_10_elephant_10_n02504458_6107,maniqa-kadid,False,10,0.4055964946746826,0.0762602612376213
deblurred_nb_ls_adhoc,0041_lp_dnn_0_bicycle_10_n03792782_33649,maniqa-kadid,False,0,0.408665657043457,0.2520182132720947
deblurred_nb_ls_adhoc,0042_lp_dnn_1_clock_10_n03196217_8282,maniqa-kadid,False,1,0.4063303470611572,0.3268147110939026
deblurred_nb_ls_adhoc,0043_lp_dnn_7_keyboard_10_n03085013_21534,maniqa-kadid,False,7,0.4078285694122314,0.1483821421861648
deblurred_nb_ls_adhoc,0044_lp_dnn_15_elephant_10_n02504013_22813,maniqa-kadid,False,15,0.4080908298492431,0.0700064599514007
deblurred_nb_ls_adhoc,0045_lp_dnn_10_truck_10_n03796401_16425,maniqa-kadid,False,10,0.4052407741546631,0.1044057682156562
deblurred_nb_ls_adhoc,0046_lp_dnn_15_airplane_10_n02690373_9427,maniqa-kadid,False,15,0.4077861309051513,0.1363515704870224
deblurred_nb_ls_adhoc,0047_lp_dnn_7_bird_10_n02009912_11907,maniqa-kadid,False,7,0.4082217216491699,0.173014223575592
