dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,maniqa-pipal,False,5,0.8337762355804443,0.23119422793388367
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,maniqa-pipal,False,1,0.8574905395507812,0.6359605193138123
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,maniqa-pipal,False,3,0.8622541427612305,0.29936549067497253
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,maniqa-pipal,False,7,0.8582274913787842,0.312782347202301
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,maniqa-pipal,False,7,0.8574025630950928,0.23727315664291382
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,maniqa-pipal,False,1,0.8560786247253418,0.5549280643463135
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,maniqa-pipal,False,10,0.8598675727844238,0.21961478888988495
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,maniqa-pipal,False,5,0.857499361038208,0.2764478623867035
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,maniqa-pipal,False,3,0.856806755065918,0.35734865069389343
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,maniqa-pipal,False,3,0.858086109161377,0.32666051387786865
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,maniqa-pipal,False,7,0.8581914901733398,0.32568877935409546
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,maniqa-pipal,False,10,0.8585700988769531,0.22160324454307556
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,maniqa-pipal,False,5,0.8591358661651611,0.2048823982477188
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,maniqa-pipal,False,1,0.858464241027832,0.6041565537452698
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,maniqa-pipal,False,7,0.8592824935913086,0.26171180605888367
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,maniqa-pipal,False,10,0.8571550846099854,0.28877002000808716
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,maniqa-pipal,False,15,0.8598039150238037,0.27789661288261414
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,maniqa-pipal,False,10,0.858814001083374,0.24870634078979492
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206,maniqa-pipal,False,1,0.859062671661377,0.5492349863052368
deblurred_nb_ls_adhoc,0024_lp_dnn_7_truck_10_n03417042_2633,maniqa-pipal,False,7,0.8588829040527344,0.2385770082473755
deblurred_nb_ls_adhoc,0025_lp_dnn_15_keyboard_10_n03085013_24416,maniqa-pipal,False,15,0.8580775260925293,0.3135930597782135
