dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,maniqa,False,5,0.4570310115814209,0.1029961258172988
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,maniqa,False,1,0.5055301189422607,0.2240927219390869
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,maniqa,False,3,0.4646284580230713,0.0353163853287696
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,maniqa,False,7,0.4851136207580566,0.2515205144882202
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,maniqa,False,7,0.457709789276123,0.1096799671649932
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,maniqa,False,1,0.459500789642334,0.1444990038871765
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,maniqa,False,10,0.4509258270263672,0.0813621804118156
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,maniqa,False,5,0.4626631736755371,0.1352956444025039
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,maniqa,False,3,0.4399330615997314,0.157491996884346
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,maniqa,False,3,0.4037516117095947,0.0392101295292377
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,maniqa,False,7,0.4085049629211426,0.2608742713928222
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,maniqa,False,10,0.4505224227905273,0.1262660324573516
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,maniqa,False,5,0.3994593620300293,0.1106324195861816
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,maniqa,False,1,0.4401936531066894,0.2079388499259948
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,maniqa,False,7,0.4130854606628418,0.1503626108169555
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,maniqa,False,10,0.4066781997680664,0.1540099084377288
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,maniqa,False,15,0.4524376392364502,0.1769665330648422
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,maniqa,False,10,0.452373743057251,0.1893421560525894
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206,maniqa,False,1,0.4732193946838379,0.1945018321275711
deblurred_nb_ls_adhoc,0024_lp_dnn_7_truck_10_n03417042_2633,maniqa,False,7,0.4953677654266357,0.1670853197574615
deblurred_nb_ls_adhoc,0025_lp_dnn_15_keyboard_10_n03085013_24416,maniqa,False,15,0.5137479305267334,0.2461952120065689
deblurred_nb_ls_adhoc,0026_lp_dnn_7_car_10_n02814533_44503,maniqa,False,7,0.5049023628234863,0.2149350196123123
deblurred_nb_ls_adhoc,0027_lp_dnn_5_elephant_10_n02504458_5797,maniqa,False,5,0.452505350112915,0.1185328736901283
deblurred_nb_ls_adhoc,0028_lp_dnn_0_chair_10_n04429376_8237,maniqa,False,0,0.4401366710662842,0.3192877769470215
deblurred_nb_ls_adhoc,0029_lp_dnn_7_cat_10_n02123159_587,maniqa,False,7,0.4507241249084472,0.1542049050331115
