dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,musiq-ava,False,5,0.023707628250122,2.7736458778381348
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,musiq-ava,False,1,0.0140590667724609,3.1646151542663574
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,musiq-ava,False,3,0.0197560787200927,3.193233013153076
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,musiq-ava,False,7,0.0717246532440185,2.8888649940490723
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,musiq-ava,False,7,0.0854425430297851,2.954240560531616
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,musiq-ava,False,1,0.0597257614135742,3.721757411956787
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,musiq-ava,False,10,0.0233097076416015,3.1704978942871094
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,musiq-ava,False,5,0.0243754386901855,2.871565341949463
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,musiq-ava,False,3,0.0351006984710693,3.0062496662139893
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,musiq-ava,False,3,0.0244855880737304,3.464639902114868
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,musiq-ava,False,7,0.0230710506439209,2.562295198440552
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,musiq-ava,False,10,0.0336921215057373,2.6633286476135254
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,musiq-ava,False,5,0.0244033336639404,2.9033334255218506
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,musiq-ava,False,1,0.0295345783233642,3.882880926132202
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,musiq-ava,False,7,0.0270802974700927,3.045703649520874
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,musiq-ava,False,10,0.0245096683502197,2.878955602645874
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,musiq-ava,False,15,0.0229709148406982,3.200472354888916
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,musiq-ava,False,10,0.0336828231811523,2.755605697631836
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206,musiq-ava,False,1,0.0245389938354492,3.1954779624938965
deblurred_nb_ls_adhoc,0024_lp_dnn_7_truck_10_n03417042_2633,musiq-ava,False,7,0.0138332843780517,2.8821072578430176
deblurred_nb_ls_adhoc,0025_lp_dnn_15_keyboard_10_n03085013_24416,musiq-ava,False,15,0.0255079269409179,2.9593868255615234
deblurred_nb_ls_adhoc,0026_lp_dnn_7_car_10_n02814533_44503,musiq-ava,False,7,0.021597146987915,2.935499668121338
deblurred_nb_ls_adhoc,0027_lp_dnn_5_elephant_10_n02504458_5797,musiq-ava,False,5,0.0334804058074951,2.8951005935668945
deblurred_nb_ls_adhoc,0028_lp_dnn_0_chair_10_n04429376_8237,musiq-ava,False,0,0.0960214138031005,3.5973074436187744
deblurred_nb_ls_adhoc,0029_lp_dnn_7_cat_10_n02123159_587,musiq-ava,False,7,0.0551025867462158,2.450345516204834
deblurred_nb_ls_adhoc,0030_lp_dnn_10_bird_10_n02028035_17238,musiq-ava,False,10,0.0252408981323242,3.0133843421936035
deblurred_nb_ls_adhoc,0032_lp_dnn_5_boat_10_n04273569_22332,musiq-ava,False,5,0.0250935554504394,2.7616119384765625
deblurred_nb_ls_adhoc,0033_lp_dnn_1_elephant_10_n02504013_1244,musiq-ava,False,1,0.0252094268798828,4.065045356750488
deblurred_nb_ls_adhoc,0034_lp_dnn_7_bicycle_10_n03792782_30229,musiq-ava,False,7,0.021752119064331,2.6337637901306152
deblurred_nb_ls_adhoc,0035_lp_dnn_10_keyboard_10_n03085013_7573,musiq-ava,False,10,0.1132717132568359,2.887385129928589
deblurred_nb_ls_adhoc,0036_lp_dnn_3_keyboard_10_n03085013_24578,musiq-ava,False,3,0.0920112133026123,2.77979063987732
deblurred_nb_ls_adhoc,0037_lp_dnn_15_truck_10_n03417042_1336,musiq-ava,False,15,0.1133539676666259,2.6987552642822266
deblurred_nb_ls_adhoc,0038_lp_dnn_3_knife_10_n03041632_7495,musiq-ava,False,3,0.1190459728240966,3.1078381538391118
deblurred_nb_ls_adhoc,0039_lp_dnn_0_car_10_n03100240_9625,musiq-ava,False,0,0.1005473136901855,3.8058929443359375
deblurred_nb_ls_adhoc,0040_lp_dnn_10_elephant_10_n02504458_6107,musiq-ava,False,10,0.1203250885009765,2.8915834426879883
deblurred_nb_ls_adhoc,0041_lp_dnn_0_bicycle_10_n03792782_33649,musiq-ava,False,0,0.1212496757507324,3.597229480743408
deblurred_nb_ls_adhoc,0042_lp_dnn_1_clock_10_n03196217_8282,musiq-ava,False,1,0.1122093200683593,4.402437210083008
deblurred_nb_ls_adhoc,0043_lp_dnn_7_keyboard_10_n03085013_21534,musiq-ava,False,7,0.097367525100708,2.6196444034576416
deblurred_nb_ls_adhoc,0044_lp_dnn_15_elephant_10_n02504013_22813,musiq-ava,False,15,0.0170955657958984,2.838357925415039
deblurred_nb_ls_adhoc,0045_lp_dnn_10_truck_10_n03796401_16425,musiq-ava,False,10,0.114337682723999,2.766136646270752
deblurred_nb_ls_adhoc,0046_lp_dnn_15_airplane_10_n02690373_9427,musiq-ava,False,15,0.0977013111114502,2.8292598724365234
deblurred_nb_ls_adhoc,0047_lp_dnn_7_bird_10_n02009912_11907,musiq-ava,False,7,0.1105930805206298,3.492115974426269
deblurred_nb_ls_adhoc,0048_lp_dnn_1_airplane_10_n02690373_5773,musiq-ava,False,1,0.0457682609558105,3.941472291946411
deblurred_nb_ls_adhoc,0050_lp_dnn_1_bird_10_n01819313_18188,musiq-ava,False,1,0.1028637886047363,3.5327601432800293
deblurred_nb_ls_adhoc,0051_lp_dnn_5_car_10_n04285008_7428,musiq-ava,False,5,0.1002371311187744,3.011190891265869
deblurred_nb_ls_adhoc,0052_lp_dnn_7_bottle_10_n04591713_6923,musiq-ava,False,7,0.058917760848999,2.958315372467041
deblurred_nb_ls_adhoc,0053_lp_dnn_0_knife_10_n03041632_22570,musiq-ava,False,0,0.1126651763916015,3.788651466369629
deblurred_nb_ls_adhoc,0054_lp_dnn_0_bear_10_n02132136_7586,musiq-ava,False,0,0.1203548908233642,4.171291351318359
deblurred_nb_ls_adhoc,0055_lp_dnn_5_clock_10_n04548280_9144,musiq-ava,False,5,0.0991184711456298,2.814714908599853
deblurred_nb_ls_adhoc,0056_lp_dnn_0_bottle_10_n04591713_2680,musiq-ava,False,0,0.1080307960510253,4.016043186187744
deblurred_nb_ls_adhoc,0057_lp_dnn_3_cat_10_n02123045_1596,musiq-ava,False,3,0.1110055446624755,3.092790365219116
