dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,musiq,False,5,0.011996746063232422,16.190298080444336
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,musiq,False,1,0.011548995971679688,40.09622573852539
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,musiq,False,3,0.011392354965209961,15.43377685546875
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,musiq,False,7,0.011283159255981445,17.925151824951172
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,musiq,False,7,0.011297225952148438,16.184093475341797
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,musiq,False,1,0.01128244400024414,22.003477096557617
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,musiq,False,10,0.011200428009033203,16.7359619140625
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,musiq,False,5,0.011212825775146484,18.357107162475586
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,musiq,False,3,0.011340856552124023,20.579341888427734
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,musiq,False,3,0.011293411254882812,21.357521057128906
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,musiq,False,7,0.011165142059326172,19.64668083190918
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,musiq,False,10,0.011197566986083984,16.432458877563477
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,musiq,False,5,0.011248350143432617,19.30760955810547
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,musiq,False,1,0.011303186416625977,41.85633850097656
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,musiq,False,7,0.011228561401367188,15.437276840209961
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,musiq,False,10,0.011434316635131836,17.028614044189453
