dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,paq2piq,False,5,0.0037839412689208984,47.081085205078125
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,paq2piq,False,1,0.0033922195434570312,65.28809356689453
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,paq2piq,False,3,0.0032265186309814453,45.34142303466797
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,paq2piq,False,7,0.003139495849609375,46.66044998168945
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,paq2piq,False,7,0.003141164779663086,43.23406982421875
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,paq2piq,False,1,0.0031707286834716797,67.68260955810547
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,paq2piq,False,10,0.003249645233154297,41.194435119628906
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,paq2piq,False,5,0.0031960010528564453,44.41970443725586
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,paq2piq,False,3,0.003160238265991211,51.681636810302734
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,paq2piq,False,3,0.0031981468200683594,51.74946594238281
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,paq2piq,False,7,0.003080129623413086,46.207454681396484
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,paq2piq,False,10,0.0030994415283203125,41.79092025756836
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,paq2piq,False,5,0.003154754638671875,44.08472442626953
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,paq2piq,False,1,0.003188610076904297,67.88790893554688
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,paq2piq,False,7,0.003139019012451172,43.81221389770508
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,paq2piq,False,10,0.003111124038696289,42.82735061645508
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,paq2piq,False,15,0.003092050552368164,39.64842224121094
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,paq2piq,False,10,0.0031211376190185547,42.237083435058594
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206,paq2piq,False,1,0.003240823745727539,65.52983856201172
deblurred_nb_ls_adhoc,0024_lp_dnn_7_truck_10_n03417042_2633,paq2piq,False,7,0.0031163692474365234,41.65874481201172
deblurred_nb_ls_adhoc,0025_lp_dnn_15_keyboard_10_n03085013_24416,paq2piq,False,15,0.0030298233032226562,46.68916702270508
deblurred_nb_ls_adhoc,0026_lp_dnn_7_car_10_n02814533_44503,paq2piq,False,7,0.003136873245239258,45.444114685058594
deblurred_nb_ls_adhoc,0027_lp_dnn_5_elephant_10_n02504458_5797,paq2piq,False,5,0.0031414031982421875,43.79957580566406
deblurred_nb_ls_adhoc,0028_lp_dnn_0_chair_10_n04429376_8237,paq2piq,False,0,0.0032575130462646484,64.18079376220703
deblurred_nb_ls_adhoc,0029_lp_dnn_7_cat_10_n02123159_587,paq2piq,False,7,0.0031321048736572266,44.074798583984375
