dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253.png,sseq,True,5,0.040698,49.2857022217068
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320.png,sseq,True,1,0.039356,26.2287758600392
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652.png,sseq,True,3,0.03897,44.266277699997
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578.png,sseq,True,7,0.039279,59.6841082584862
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842.png,sseq,True,7,0.041572,58.7013125280574
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14.png,sseq,True,1,0.039602,27.7972035600309
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920.png,sseq,True,10,0.039095,59.9119187146103
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952.png,sseq,True,5,0.03873,58.5558046304565
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441.png,sseq,True,3,0.039286,49.0284422467543
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792.png,sseq,True,3,0.039146,43.0358165563567
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458.png,sseq,True,7,0.039207,62.2880671782285
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176.png,sseq,True,10,0.038868,63.6158822581835
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580.png,sseq,True,5,0.039236,51.9515841093366
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900.png,sseq,True,1,0.039122,15.8866342633278
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384.png,sseq,True,7,0.038801,53.6960119860898
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618.png,sseq,True,10,0.038759,60.8466853045655
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463.png,sseq,True,15,0.040663,67.7281086943701
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459.png,sseq,True,10,0.04022,59.3556295830234
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206.png,sseq,True,1,0.039346,29.6869822469363
deblurred_nb_ls_adhoc,0024_lp_dnn_7_truck_10_n03417042_2633.png,sseq,True,7,0.03914,57.6167791524582
deblurred_nb_ls_adhoc,0025_lp_dnn_15_keyboard_10_n03085013_24416.png,sseq,True,15,0.038742,67.1181378612356
deblurred_nb_ls_adhoc,0026_lp_dnn_7_car_10_n02814533_44503.png,sseq,True,7,0.039098,62.952099455569
deblurred_nb_ls_adhoc,0027_lp_dnn_5_elephant_10_n02504458_5797.png,sseq,True,5,0.038765,55.638626912178
deblurred_nb_ls_adhoc,0028_lp_dnn_0_chair_10_n04429376_8237.png,sseq,True,0,0.039142,23.2721217264144
deblurred_nb_ls_adhoc,0029_lp_dnn_7_cat_10_n02123159_587.png,sseq,True,7,0.038903,58.7558800734124
