dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_nr-flive,False,5,0.0724732875823974,0.5872369408607483
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_nr-flive,False,1,0.0800473690032959,0.6620875000953674
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_nr-flive,False,3,0.1080832481384277,0.5368381142616272
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_nr-flive,False,7,0.0839650630950927,0.6624307036399841
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_nr-flive,False,7,0.1447091102600097,0.6180885434150696
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,topiq_nr-flive,False,1,0.1247751712799072,0.6773849725723267
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_nr-flive,False,10,0.0682156085968017,0.6232130527496338
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,topiq_nr-flive,False,5,0.1292257308959961,0.6087506413459778
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_nr-flive,False,3,0.1190412044525146,0.599799394607544
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_nr-flive,False,3,0.0841023921966552,0.5559720396995544
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_nr-flive,False,7,0.1047556400299072,0.6615006327629089
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_nr-flive,False,10,0.1183624267578125,0.6024177074432373
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_nr-flive,False,5,0.0713844299316406,0.6252151131629944
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_nr-flive,False,1,0.0749440193176269,0.6988968849182129
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_nr-flive,False,7,0.0879759788513183,0.6636925339698792
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_nr-flive,False,10,0.0811235904693603,0.6457461714744568
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_nr-flive,False,15,0.06901216506958,0.5943118929862976
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_nr-flive,False,10,0.0903859138488769,0.6488816142082214
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_nr-flive,False,1,0.1007270812988281,0.6742839813232422
deblurred_nb_ls_adhoc,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_nr-flive,False,7,0.131312608718872,0.6154782176017761
deblurred_nb_ls_adhoc,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_nr-flive,False,15,0.1230669021606445,0.6174324154853821
deblurred_nb_ls_adhoc,0026_lp_dnn_7_car_10_n02814533_44503,topiq_nr-flive,False,7,0.0775697231292724,0.639992356300354
deblurred_nb_ls_adhoc,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_nr-flive,False,5,0.1020705699920654,0.6028644442558289
deblurred_nb_ls_adhoc,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_nr-flive,False,0,0.0902216434478759,0.638039767742157
deblurred_nb_ls_adhoc,0029_lp_dnn_7_cat_10_n02123159_587,topiq_nr-flive,False,7,0.0882928371429443,0.6218609809875488
deblurred_nb_ls_adhoc,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_nr-flive,False,10,0.0866904258728027,0.6228042244911194
deblurred_nb_ls_adhoc,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_nr-flive,False,5,0.1047697067260742,0.624649703502655
deblurred_nb_ls_adhoc,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_nr-flive,False,1,0.1073973178863525,0.6894530057907104
