dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_nr,False,5,0.013537406921386719,0.09532856941223145
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_nr,False,1,0.012682437896728516,0.4498618543148041
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_nr,False,3,0.012504816055297852,0.09192265570163727
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_nr,False,7,0.012436389923095703,0.13014188408851624
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_nr,False,7,0.012414216995239258,0.0767977312207222
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,topiq_nr,False,1,0.012445926666259766,0.4152469336986542
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_nr,False,10,0.012340068817138672,0.07480713725090027
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,topiq_nr,False,5,0.012455940246582031,0.13625460863113403
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_nr,False,3,0.012426376342773438,0.13843929767608643
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_nr,False,3,0.012437582015991211,0.10680448263883591
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_nr,False,7,0.012319087982177734,0.17470306158065796
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_nr,False,10,0.012305498123168945,0.11115915328264236
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_nr,False,5,0.012361526489257812,0.13692006468772888
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_nr,False,1,0.012477874755859375,0.4071718156337738
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_nr,False,7,0.012398958206176758,0.09074186533689499
