dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,tres,False,5,0.29079198837280273,19.463199615478516
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,tres,False,1,0.29441380500793457,39.91996383666992
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,tres,False,3,0.29890990257263184,19.049104690551758
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,tres,False,7,0.29712605476379395,19.783458709716797
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,tres,False,7,0.2971465587615967,18.7300968170166
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,tres,False,1,0.2966196537017822,38.71399688720703
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,tres,False,10,0.29452061653137207,14.218912124633789
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,tres,False,5,0.2950937747955322,17.26816749572754
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,tres,False,3,0.29595470428466797,34.14088821411133
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,tres,False,3,0.2956395149230957,22.852014541625977
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,tres,False,7,0.29419445991516113,19.559133529663086
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,tres,False,10,0.2965061664581299,17.409339904785156
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,tres,False,5,0.29655027389526367,19.14253044128418
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,tres,False,1,0.29624414443969727,41.168304443359375
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,tres,False,7,0.2974700927734375,22.390199661254883
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,tres,False,10,0.29587411880493164,15.728886604309082
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,tres,False,15,0.29463863372802734,26.580533981323242
deblurred_nb_ls_adhoc,0022_lp_dnn_10_chair_10_n04429376_16459,tres,False,10,0.29501962661743164,16.642459869384766
deblurred_nb_ls_adhoc,0023_lp_dnn_1_cat_10_n02123045_12206,tres,False,1,0.29613542556762695,40.95902633666992
deblurred_nb_ls_adhoc,0024_lp_dnn_7_truck_10_n03417042_2633,tres,False,7,0.29616570472717285,18.930255889892578
deblurred_nb_ls_adhoc,0025_lp_dnn_15_keyboard_10_n03085013_24416,tres,False,15,0.29413461685180664,34.27299499511719
deblurred_nb_ls_adhoc,0026_lp_dnn_7_car_10_n02814533_44503,tres,False,7,0.29520463943481445,24.48528480529785
deblurred_nb_ls_adhoc,0027_lp_dnn_5_elephant_10_n02504458_5797,tres,False,5,0.29600977897644043,18.634801864624023
deblurred_nb_ls_adhoc,0028_lp_dnn_0_chair_10_n04429376_8237,tres,False,0,0.297656774520874,64.34159851074219
deblurred_nb_ls_adhoc,0029_lp_dnn_7_cat_10_n02123159_587,tres,False,7,0.29537224769592285,13.98138427734375
deblurred_nb_ls_adhoc,0030_lp_dnn_10_bird_10_n02028035_17238,tres,False,10,0.2946279048919678,29.066755294799805
deblurred_nb_ls_adhoc,0032_lp_dnn_5_boat_10_n04273569_22332,tres,False,5,0.295320987701416,22.61928367614746
deblurred_nb_ls_adhoc,0033_lp_dnn_1_elephant_10_n02504013_1244,tres,False,1,0.2959127426147461,44.38127517700195
deblurred_nb_ls_adhoc,0034_lp_dnn_7_bicycle_10_n03792782_30229,tres,False,7,0.29614853858947754,20.10759925842285
deblurred_nb_ls_adhoc,0035_lp_dnn_10_keyboard_10_n03085013_7573,tres,False,10,0.2948639392852783,24.474199295043945
deblurred_nb_ls_adhoc,0036_lp_dnn_3_keyboard_10_n03085013_24578,tres,False,3,0.29433679580688477,34.55825424194336
deblurred_nb_ls_adhoc,0037_lp_dnn_15_truck_10_n03417042_1336,tres,False,15,0.29499030113220215,22.022851943969727
deblurred_nb_ls_adhoc,0038_lp_dnn_3_knife_10_n03041632_7495,tres,False,3,0.29725217819213867,38.1087532043457
