dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,ckdn,False,5,0.006278514862060547,0.3234453797340393
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,ckdn,False,1,0.005974292755126953,0.605511486530304
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,ckdn,False,3,0.00577545166015625,0.4230148494243622
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,ckdn,False,7,0.0057086944580078125,0.24071207642555237
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,ckdn,False,7,0.005703449249267578,0.2790790796279907
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,ckdn,False,1,0.005974769592285156,0.5856769680976868
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,ckdn,False,10,0.005739927291870117,0.2324880063533783
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,ckdn,False,5,0.005460977554321289,0.32135191559791565
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,ckdn,False,3,0.0056819915771484375,0.3417281210422516
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,ckdn,False,3,0.005864143371582031,0.32740336656570435
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,ckdn,False,7,0.005592823028564453,0.2822073996067047
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,ckdn,False,10,0.005493879318237305,0.20402930676937103
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,ckdn,False,5,0.005772113800048828,0.30262982845306396
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,ckdn,False,1,0.005819082260131836,0.6027156114578247
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,ckdn,False,7,0.00572514533996582,0.29238277673721313
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,ckdn,False,10,0.005526065826416016,0.297375351190567
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,ckdn,False,15,0.005635261535644531,0.2215249091386795
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,ckdn,False,10,0.005726337432861328,0.22037486732006073
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,ckdn,False,1,0.005779266357421875,0.5567926168441772
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,ckdn,False,7,0.005669116973876953,0.2506800591945648
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,ckdn,False,15,0.005612373352050781,0.28942230343818665
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,ckdn,False,7,0.0054836273193359375,0.30101272463798523
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,ckdn,False,5,0.0057125091552734375,0.28919345140457153
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,ckdn,False,0,0.006578683853149414,0.45965468883514404
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,ckdn,False,7,0.005834817886352539,0.2313050776720047
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,ckdn,False,10,0.005763053894042969,0.23392470180988312
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,ckdn,False,5,0.0054891109466552734,0.327779620885849
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,ckdn,False,1,0.006031513214111328,0.6056031584739685
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,ckdn,False,7,0.005615711212158203,0.27769753336906433
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,ckdn,False,10,0.005608558654785156,0.2037307322025299
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,ckdn,False,3,0.0055921077728271484,0.3887099623680115
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,ckdn,False,15,0.005738258361816406,0.21308960020542145
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,ckdn,False,3,0.005685091018676758,0.4039561450481415
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,ckdn,False,0,0.0064067840576171875,0.5651718378067017
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,ckdn,False,10,0.005652427673339844,0.21554917097091675
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,ckdn,False,0,0.006742715835571289,0.4928566813468933
