dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,dists,True,5,0.0071139335632324,0.3448294401168823
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,dists,True,1,0.0070633888244628,0.1795536279678344
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,dists,True,3,0.0069713592529296,0.3161439895629883
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,dists,True,7,0.0069401264190673,0.382996916770935
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,dists,True,7,0.0069296360015869,0.3399907946586609
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,dists,True,1,0.0071547031402587,0.1768338680267334
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,dists,True,10,0.0069739818572998,0.4013514518737793
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,dists,True,5,0.0067486763000488,0.3582979440689087
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,dists,True,3,0.0069060325622558,0.3669305443763733
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,dists,True,3,0.0070576667785644,0.2984402179718017
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,dists,True,7,0.0068538188934326,0.371948778629303
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,dists,True,10,0.0067663192749023,0.4594535231590271
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,dists,True,5,0.0069992542266845,0.3707128167152405
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,dists,True,1,0.0070288181304931,0.2203560471534729
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,dists,True,7,0.0070416927337646,0.3614424467086792
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,dists,True,10,0.0068256855010986,0.4033958911895752
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,dists,True,15,0.0068824291229248,0.501614511013031
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,dists,True,10,0.0068840980529785,0.4465194344520569
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,dists,True,1,0.0070164203643798,0.1671348214149475
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,dists,True,7,0.0069437026977539,0.4004953503608703
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,dists,True,15,0.0068564414978027,0.5197436809539795
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,dists,True,7,0.0067584514617919,0.4049614667892456
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,dists,True,5,0.0069267749786376,0.3998773097991943
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,dists,True,0,0.0073816776275634,-1.1920928955078125e-07
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,dists,True,7,0.0070300102233886,0.4414396286010742
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,dists,True,10,0.006880760192871,0.4914299845695495
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,dists,True,5,0.0067520141601562,0.3472713828086853
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,dists,True,1,0.0071942806243896,0.2062029838562011
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,dists,True,7,0.0068533420562744,0.3992512822151184
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,dists,True,10,0.006911277770996,0.4419804811477661
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,dists,True,3,0.0068297386169433,0.3082245588302612
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,dists,True,15,0.0069375038146972,0.4761877059936523
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,dists,True,3,0.0069279670715332,0.2552834153175354
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,dists,True,0,0.0072748661041259,-1.1920928955078125e-07
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,dists,True,10,0.0069086551666259,0.439638078212738
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,dists,True,0,0.00740647315979,-1.1920928955078125e-07
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,dists,True,1,0.0069420337677001,0.2349836826324463
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,dists,True,7,0.0068230628967285,0.3328102827072143
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,dists,True,15,0.007037878036499,0.5061122179031372
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,dists,True,10,0.0069489479064941,0.4007206559181213
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,dists,True,15,0.0068099498748779,0.5390807390213013
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,dists,True,7,0.006732702255249,0.3537557721138
deblurred_pmp3,0048_lp_dnn_1_airplane_10_n02690373_5773,dists,True,1,0.0067973136901855,0.2054610252380371
deblurred_pmp3,0050_lp_dnn_1_bird_10_n01819313_18188,dists,True,1,0.0071609020233154,0.1845310926437378
deblurred_pmp3,0051_lp_dnn_5_car_10_n04285008_7428,dists,True,5,0.0069582462310791,0.3502619862556457
deblurred_pmp3,0052_lp_dnn_7_bottle_10_n04591713_6923,dists,True,7,0.0070171356201171,0.4070754051208496
deblurred_pmp3,0053_lp_dnn_0_knife_10_n03041632_22570,dists,True,0,0.0073587894439697,0.0
deblurred_pmp3,0054_lp_dnn_0_bear_10_n02132136_7586,dists,True,0,0.0075635910034179,-1.1920928955078125e-07
deblurred_pmp3,0055_lp_dnn_5_clock_10_n04548280_9144,dists,True,5,0.0069286823272705,0.3874506950378418
deblurred_pmp3,0056_lp_dnn_0_bottle_10_n04591713_2680,dists,True,0,0.0074226856231689,-1.1920928955078125e-07
deblurred_pmp3,0057_lp_dnn_3_cat_10_n02123045_1596,dists,True,3,0.0070648193359375,0.3148454427719116
deblurred_pmp3,0058_lp_dnn_10_cat_10_n02123597_19450,dists,True,10,0.0069179534912109,0.3769325613975525
deblurred_pmp3,0059_lp_dnn_15_chair_10_n03376595_3462,dists,True,15,0.0067400932312011,0.4449198246002197
